sample_index,candidate,global_shift_tv
82,mass_times_exp_mean_q,1.0408340855860843e-16
82,partition_sum,7.32920668600201e-17
83,mean_q_softmax,9.459663954936026e-17
83,mass_times_exp_mean_q,3.133344278483108e-17
83,partition_sum,8.023096076392733e-17
84,mean_q_softmax,6.402213828526904e-17
84,mass_times_exp_mean_q,1.1823224690954426e-16
84,partition_sum,9.23198149871407e-17
85,mean_q_softmax,1.962609220106104e-16
85,mass_times_exp_mean_q,9.497611030973019e-17
85,partition_sum,1.6338926739356552e-16
86,mean_q_softmax,6.429318882839041e-17
86,mass_times_exp_mean_q,9.454242944073599e-17
86,partition_sum,5.312590645178972e-17
87,mean_q_softmax,3.6652809693588084e-17
87,mass_times_exp_mean_q,8.524539581167279e-17
87,partition_sum,6.288372600415926e-17
88,mean_q_softmax,1.9949319973733282e-17
88,mass_times_exp_mean_q,2.0751629581372555e-16
88,partition_sum,1.3444106938820255e-16
89,mean_q_softmax,1.481020167615199e-16
89,mass_times_exp_mean_q,1.3487475025719675e-16
89,partition_sum,9.367506770274758e-17
90,mean_q_softmax,1.7200867466482528e-16
90,mass_times_exp_mean_q,1.9927635930283571e-16
90,partition_sum,1.1579279202145187e-16
91,mean_q_softmax,6.337796972888214e-17
91,mass_times_exp_mean_q,3.4509816337034704e-17
91,partition_sum,1.4943016442281465e-16
92,mean_q_softmax,1.1107651257113993e-16
92,mass_times_exp_mean_q,5.312590645178972e-17
92,partition_sum,1.446325698095663e-16
93,mean_q_softmax,3.2612801348363973e-16
93,mass_times_exp_mean_q,1.3975366003338152e-16
93,partition_sum,1.5807667674838655e-16
94,mean_q_softmax,3.0791341698588326e-17
94,mass_times_exp_mean_q,1.6740081543176188e-16
94,partition_sum,8.153200337090993e-17
95,mean_q_softmax,5.4969050145015075e-17
95,mass_times_exp_mean_q,8.142358315366138e-17
95,partition_sum,5.2475385148298415e-17
96,mean_q_softmax,1.3660947373317356e-17
96,mass_times_exp_mean_q,7.41594285980085e-17
96,partition_sum,2.688821387764051e-17
97,mean_q_softmax,8.516408064873637e-17
97,mass_times_exp_mean_q,2.238335385096324e-16
97,partition_sum,1.4016023584806359e-16
98,mean_q_softmax,1.4029576111962427e-16
98,mass_times_exp_mean_q,1.8453120975703285e-16
98,partition_sum,1.8171228410857054e-16
99,mean_q_softmax,4.5644911461639737e-17
99,mass_times_exp_mean_q,5.422366115143129e-17
99,partition_sum,1.2805782909769414e-16
100,mean_q_softmax,9.603320742790356e-17
100,mass_times_exp_mean_q,4.739318746477261e-17
100,partition_sum,1.6902711869049014e-16
101,mean_q_softmax,4.456070928915423e-17
101,mass_times_exp_mean_q,8.126095282778856e-17
101,partition_sum,7.48099499014998e-17
102,mean_q_softmax,7.589415207398531e-17
102,mass_times_exp_mean_q,4.206704429243757e-17
102,partition_sum,9.768661574094395e-17
103,mean_q_softmax,1.5612511283791264e-16
103,mass_times_exp_mean_q,5.2909066017292616e-17
103,partition_sum,6.765421556309548e-17
104,mean_q_softmax,7.07712968089913e-17
104,mass_times_exp_mean_q,1.5081252219273367e-16
104,partition_sum,1.1373280789372942e-16
105,mean_q_softmax,7.32920668600201e-17
105,mass_times_exp_mean_q,1.0755285551056204e-16
