sample_index,hierarchical_probability_error,maxent_stationarity_range
401,5.551115123125783e-17,5.551115123125783e-16
402,5.551115123125783e-17,4.440892098500626e-16
403,5.551115123125783e-17,3.3306690738754696e-16
404,6.938893903907228e-18,3.3306690738754696e-16
405,2.7755575615628914e-17,4.440892098500626e-16
406,4.163336342344337e-17,4.440892098500626e-16
407,1.1102230246251565e-16,2.220446049250313e-16
408,5.551115123125783e-17,4.440892098500626e-16
409,2.7755575615628914e-17,4.440892098500626e-16
410,1.3877787807814457e-17,2.498001805406602e-16
411,5.551115123125783e-17,3.3306690738754696e-16
412,5.551115123125783e-17,4.440892098500626e-16
413,5.551115123125783e-17,1.1102230246251565e-16
414,1.1102230246251565e-16,3.3306690738754696e-16
415,2.220446049250313e-16,4.440892098500626e-16
416,5.551115123125783e-17,6.106226635438361e-16
417,2.7755575615628914e-17,5.551115123125783e-16
418,8.326672684688674e-17,2.220446049250313e-16
419,2.7755575615628914e-17,3.3306690738754696e-16
420,5.551115123125783e-17,6.661338147750939e-16
421,4.163336342344337e-17,4.440892098500626e-16
422,2.7755575615628914e-17,4.440892098500626e-16
423,2.7755575615628914e-17,2.7755575615628914e-16
424,1.3877787807814457e-17,4.440892098500626e-16
425,5.551115123125783e-17,4.440892098500626e-16
426,5.551115123125783e-17,4.440892098500626e-16
427,1.1102230246251565e-16,4.440892098500626e-16
428,2.7755575615628914e-17,4.440892098500626e-16
429,2.7755575615628914e-17,2.220446049250313e-16
430,1.3877787807814457e-17,4.440892098500626e-16
431,5.551115123125783e-17,4.440892098500626e-16
432,5.551115123125783e-17,4.440892098500626e-16
433,2.7755575615628914e-17,3.3306690738754696e-16
434,2.7755575615628914e-17,4.440892098500626e-16
435,2.7755575615628914e-17,4.440892098500626e-16
436,5.551115123125783e-17,4.440892098500626e-16
437,5.551115123125783e-17,4.440892098500626e-16
438,5.551115123125783e-17,4.440892098500626e-16
439,5.551115123125783e-17,3.3306690738754696e-16
440,5.551115123125783e-17,2.220446049250313e-16
441,1.1102230246251565e-16,3.3306690738754696e-16
442,5.551115123125783e-17,4.440892098500626e-16
443,5.551115123125783e-17,4.440892098500626e-16
444,5.551115123125783e-17,4.440892098500626e-16
445,2.220446049250313e-16,5.551115123125783e-16
446,5.551115123125783e-17,3.3306690738754696e-16
447,8.326672684688674e-17,3.3306690738754696e-16
448,2.7755575615628914e-17,5.551115123125783e-16
449,1.6653345369377348e-16,4.440892098500626e-16
450,1.1102230246251565e-16,5.551115123125783e-16
451,2.7755575615628914e-17,3.3306690738754696e-16
452,2.7755575615628914e-17,3.3306690738754696e-16
453,3.3306690738754696e-16,8.881784197001252e-16
454,2.7755575615628914e-17,6.661338147750939e-16
455,1.1102230246251565e-16,3.3306690738754696e-16
456,5.551115123125783e-17,3.885780586188048e-16
457,5.551115123125783e-17,4.440892098500626e-16
458,5.551115123125783e-17,6.661338147750939e-16
459,2.7755575615628914e-17,3.885780586188048e-16
460,4.163336342344337e-17,4.440892098500626e-16
461,5.551115123125783e-17,4.440892098500626e-16
462,5.551115123125783e-17,2.220446049250313e-16
463,2.7755575615628914e-17,4.440892098500626e-16
464,1.1102230246251565e-16,4.440892098500626e-16
465,5.551115123125783e-17,4.440892098500626e-16
466,2.7755575615628914e-17,4.440892098500626e-16
467,5.551115123125783e-17,0.0
468,2.7755575615628914e-17,3.3306690738754696e-16
469,5.551115123125783e-17,2.220446049250313e-16
470,5.551115123125783e-17,4.440892098500626e-16
471,2.7755575615628914e-17,3.885780586188048e-16
472,5.551115123125783e-17,4.440892098500626e-16
473,4.163336342344337e-17,3.3306690738754696e-16
474,5.551115123125783e-17,6.661338147750939e-16
475,8.326672684688674e-17,3.608224830031759e-16
476,8.326672684688674e-17,5.551115123125783e-16
477,2.220446049250313e-16,2.220446049250313e-16
478,1.1102230246251565e-16,4.440892098500626e-16
479,1.1102230246251565e-16,4.440892098500626e-16
480,2.7755575615628914e-17,3.3306690738754696e-16
481,2.7755575615628914e-17,4.440892098500626e-16
482,5.551115123125783e-17,4.440892098500626e-16
483,1.3877787807814457e-17,5.551115123125783e-16
484,5.551115123125783e-17,4.440892098500626e-16
485,2.7755575615628914e-17,4.440892098500626e-16
486,1.1102230246251565e-16,3.3306690738754696e-16
487,2.7755575615628914e-17,4.440892098500626e-16
488,5.551115123125783e-17,2.220446049250313e-16
489,2.7755575615628914e-17,2.220446049250313e-16
490,1.1102230246251565e-16,4.440892098500626e-16
491,1.3877787807814457e-17,5.551115123125783e-16
492,1.6653345369377348e-16,4.440892098500626e-16
493,1.1102230246251565e-16,4.440892098500626e-16
494,2.7755575615628914e-17,4.440892098500626e-16
495,2.7755575615628914e-17,4.440892098500626e-16
496,5.551115123125783e-17,3.3306690738754696e-16
497,2.7755575615628914e-17,3.3306690738754696e-16
498,1.1102230246251565e-16,2.220446049250313e-16
499,1.3877787807814457e-17,4.440892098500626e-16
500,5.551115123125783e-17,3.3306690738754696e-16
501,1.3877787807814457e-17,4.440892098500626e-16
502,2.7755575615628914e-17,3.3306690738754696e-16
503,1.1102230246251565e-16,3.3306690738754696e-16
504,2.7755575615628914e-17,4.440892098500626e-16
505,5.551115123125783e-17,5.551115123125783e-16
506,8.326672684688674e-17,6.661338147750939e-16
507,5.551115123125783e-17,3.885780586188048e-16
508,1.6653345369377348e-16,4.440892098500626e-16
509,5.551115123125783e-17,4.440892098500626e-16
510,2.7755575615628914e-17,4.440892098500626e-16
511,8.326672684688674e-17,5.551115123125783e-16
512,4.163336342344337e-17,3.3306690738754696e-16
513,1.1102230246251565e-16,4.440892098500626e-16
514,1.1102230246251565e-16,4.163336342344337e-16
515,1.3877787807814457e-17,2.220446049250313e-16
516,1.734723475976807e-18,4.440892098500626e-16
517,5.551115123125783e-17,2.220446049250313e-16
518,1.1102230246251565e-16,2.220446049250313e-16
519,6.938893903907228e-18,4.440892098500626e-16
520,8.326672684688674e-17,4.440892098500626e-16
521,8.326672684688674e-17,2.220446049250313e-16
522,5.551115123125783e-17,4.440892098500626e-16
523,1.1102230246251565e-16,4.440892098500626e-16
524,1.3877787807814457e-17,4.440892098500626e-16
525,2.7755575615628914e-17,4.440892098500626e-16
526,2.7755575615628914e-17,3.885780586188048e-16
527,2.0816681711721685e-17,4.440892098500626e-16
528,5.551115123125783e-17,3.3306690738754696e-16
529,5.551115123125783e-17,6.661338147750939e-16
530,2.7755575615628914e-17,4.440892098500626e-16
531,2.7755575615628914e-17,2.220446049250313e-16
532,5.551115123125783e-17,4.440892098500626e-16
533,5.551115123125783e-17,3.3306690738754696e-16
534,2.7755575615628914e-17,4.440892098500626e-16
535,1.1102230246251565e-16,6.661338147750939e-16
536,2.7755575615628914e-17,2.7755575615628914e-16
