sample_index,maximum_recursive_partition_sum_error
265,1.1102230246251565e-16
266,2.220446049250313e-16
267,4.440892098500626e-16
268,2.220446049250313e-16
269,0.0
270,4.440892098500626e-16
271,2.220446049250313e-16
272,2.220446049250313e-16
273,1.3322676295501878e-15
274,1.1102230246251565e-16
275,4.440892098500626e-16
276,2.7755575615628914e-17
277,1.1102230246251565e-16
278,4.440892098500626e-16
279,5.551115123125783e-17
280,1.1102230246251565e-16
281,0.0
282,2.220446049250313e-16
283,2.220446049250313e-16
284,2.220446049250313e-16
285,2.220446049250313e-16
286,1.7763568394002505e-15
287,2.220446049250313e-16
288,4.440892098500626e-16
289,2.220446049250313e-16
290,4.440892098500626e-16
291,8.881784197001252e-16
292,4.440892098500626e-16
293,2.220446049250313e-16
294,1.1102230246251565e-16
295,1.1102230246251565e-16
296,2.220446049250313e-16
297,2.220446049250313e-16
298,0.0
299,2.220446049250313e-16
300,4.440892098500626e-16
301,2.220446049250313e-16
302,1.1102230246251565e-16
303,2.220446049250313e-16
304,2.220446049250313e-16
305,4.440892098500626e-16
306,2.220446049250313e-16
307,2.220446049250313e-16
308,2.220446049250313e-16
309,1.1102230246251565e-16
310,1.1102230246251565e-16
311,4.440892098500626e-16
312,1.1102230246251565e-16
313,0.0
314,4.440892098500626e-16
315,4.440892098500626e-16
316,4.440892098500626e-16
317,4.440892098500626e-16
318,5.551115123125783e-17
319,4.440892098500626e-16
320,2.220446049250313e-16
321,2.7755575615628914e-17
322,4.440892098500626e-16
323,2.7755575615628914e-17
324,2.220446049250313e-16
325,4.440892098500626e-16
326,4.440892098500626e-16
327,2.220446049250313e-16
328,4.440892098500626e-16
329,2.220446049250313e-16
330,2.220446049250313e-16
331,1.1102230246251565e-16
332,2.220446049250313e-16
333,1.1102230246251565e-16
334,4.440892098500626e-16
335,4.440892098500626e-16
336,4.440892098500626e-16
337,8.881784197001252e-16
338,4.440892098500626e-16
339,5.551115123125783e-17
340,4.440892098500626e-16
341,4.440892098500626e-16
342,2.220446049250313e-16
343,4.440892098500626e-16
344,1.1102230246251565e-16
345,1.7763568394002505e-15
346,2.220446049250313e-16
347,4.440892098500626e-16
348,4.440892098500626e-16
