sample_index,n,candidate,maximum_pairwise_tree_tv,mean_target_tv,maximum_target_tv
50,12,descendant_count,6.938893903907228e-17,2.1973164029039556e-17,6.938893903907228e-17
50,12,base_mass,9.020562075079397e-17,5.204170427930421e-17,8.673617379884035e-17
50,12,mean_q_softmax,0.6462787804138241,0.41383877493131854,0.6133866566461197
50,12,mass_times_exp_mean_q,0.4309043308847032,0.15737473312165107,0.2665539451331205
50,12,partition_sum,1.6393136847980827e-16,6.01732205729455e-17,1.2836953722228372e-16
51,28,uniform_child,0.7349537037037037,0.43353174603174605,0.5357142857142857
51,28,descendant_count,9.71445146547012e-17,3.122502256758253e-17,5.204170427930421e-17
51,28,base_mass,1.5439038936193583e-16,5.0523821237824507e-17,9.454242944073599e-17
51,28,mean_q_softmax,0.811345423206084,0.5862080833294102,0.6800667658125559
51,28,mass_times_exp_mean_q,0.30620424194800633,0.19544164015742907,0.31412948233262605
51,28,partition_sum,1.1373280789372942e-16,4.8337346856645404e-17,7.188260403578894e-17
52,6,uniform_child,0.45833333333333337,0.20833333333333334,0.3333333333333333
52,6,descendant_count,2.7755575615628914e-17,4.625929269271485e-18,2.7755575615628914e-17
52,6,base_mass,1.2836953722228372e-16,6.707597440443654e-17,1.0061396160665481e-16
52,6,mean_q_softmax,0.6706197107593271,0.44783009410947855,0.748287096120043
52,6,mass_times_exp_mean_q,0.3020830010836293,0.11737060164836959,0.24741903371922558
52,6,partition_sum,7.296680620827445e-17,2.087089182034596e-17,7.123208273229764e-17
53,18,uniform_child,0.6226851851851851,0.34953703703703703,0.48611111111111116
53,18,descendant_count,8.673617379884035e-17,3.0646781408923594e-17,5.204170427930421e-17
53,18,base_mass,1.4051260155412137e-16,1.0755285551056204e-16,1.726049858596923e-16
53,18,mean_q_softmax,0.6657047556696594,0.4681616200660998,0.5832673820322396
53,18,mass_times_exp_mean_q,0.19161608572681804,0.14622604506074288,0.20101397521167713
53,18,partition_sum,2.437286483747414e-16,8.644705321951089e-17,1.8149544367407344e-16
54,15,uniform_child,0.5624999999999999,0.34027777777777773,0.55
54,15,descendant_count,8.326672684688674e-17,1.734723475976807e-17,8.326672684688674e-17
54,15,base_mass,1.0928757898653885e-16,2.876749764328205e-17,8.153200337090993e-17
54,15,mean_q_softmax,0.8307627736578647,0.4618968434313986,0.7370122605619648
54,15,mass_times_exp_mean_q,0.35642613589429445,0.1796192015247355,0.24506226112952034
54,15,partition_sum,1.1470858984896637e-16,9.075675685514077e-17,1.319474043914859e-16
55,9,uniform_child,0.5416666666666666,0.2731481481481482,0.41666666666666663
55,9,descendant_count,0.0,0.0,0.0
55,9,base_mass,9.367506770274758e-17,2.312964634635743e-17,8.673617379884035e-17
55,9,mean_q_softmax,0.6202642224384558,0.29613239489697696,0.45415265099069035
55,9,mass_times_exp_mean_q,0.16811056849950448,0.07219815626494491,0.12106012624539027
55,9,partition_sum,1.6132928326584306e-16,6.591949208711867e-17,9.71445146547012e-17
56,23,uniform_child,0.7473958333333336,0.3950281803542673,0.6195652173913042
56,23,descendant_count,1.734723475976807e-17,2.8912057932946786e-18,1.734723475976807e-17
56,23,base_mass,1.7780915628762273e-16,5.131890283098054e-17,1.1882855810441129e-16
56,23,mean_q_softmax,0.7547071388796197,0.4621774566710002,0.6207670007397839
56,23,mass_times_exp_mean_q,0.13585542577775553,0.08301337481281124,0.10854323398675599
56,23,partition_sum,1.6197980456933436e-16,8.57603918436034e-17,1.20346441145891e-16
57,14,uniform_child,0.6354166666666666,0.3095238095238095,0.5357142857142858
57,14,descendant_count,7.632783294297951e-17,2.6599093298311043e-17,7.632783294297951e-17
57,14,base_mass,1.249000902703301e-16,4.192248400277284e-17,1.1102230246251565e-16
57,14,mean_q_softmax,0.6269743316133131,0.32482040319739997,0.477950407622574
57,14,mass_times_exp_mean_q,0.1019922357390283,0.05688980987602441,0.09611278385557394
57,14,partition_sum,1.249000902703301e-16,6.259460542482979e-17,1.3183898417423734e-16
58,17,uniform_child,0.5833333333333334,0.3191040305010893,0.4522058823529412
58,17,descendant_count,7.28583859910259e-17,2.1973164029039556e-17,4.163336342344337e-17
58,17,base_mass,1.8041124150158794e-16,5.898059818321144e-17,1.3704315460216776e-16
