sample_index,absolute_closure_error
651,2.220446049250313e-16
652,1.1102230246251565e-16
653,4.440892098500626e-16
654,5.551115123125783e-17
655,0.0
656,2.220446049250313e-16
657,2.7755575615628914e-17
658,4.163336342344337e-17
659,0.0
660,2.220446049250313e-16
661,0.0
662,0.0
663,0.0
664,4.440892098500626e-16
665,0.0
666,0.0
667,5.551115123125783e-17
668,0.0
669,2.0816681711721685e-17
670,0.0
671,2.220446049250313e-16
672,1.1102230246251565e-16
673,0.0
674,1.1102230246251565e-16
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,5.551115123125783e-17
681,0.0
682,1.1102230246251565e-16
683,0.0
684,4.440892098500626e-16
685,5.551115123125783e-17
686,1.1102230246251565e-16
687,1.1102230246251565e-16
688,0.0
689,0.0
690,0.0
691,0.0
692,8.326672684688674e-17
693,0.0
694,0.0
695,0.0
696,5.551115123125783e-17
697,0.0
698,2.220446049250313e-16
699,0.0
700,4.440892098500626e-16
701,0.0
702,0.0
703,0.0
704,0.0
705,0.0
706,0.0
707,8.881784197001252e-16
708,1.1102230246251565e-16
709,0.0
710,1.1102230246251565e-16
711,0.0
712,0.0
713,0.0
714,4.440892098500626e-16
715,0.0
716,1.1102230246251565e-16
717,5.551115123125783e-17
718,4.440892098500626e-16
719,0.0
720,0.0
721,5.551115123125783e-17
722,0.0
723,2.7755575615628914e-17
724,1.0408340855860843e-17
725,4.163336342344337e-17
726,0.0
727,1.1102230246251565e-16
728,0.0
729,2.220446049250313e-16
730,2.7755575615628914e-17
731,0.0
732,0.0
733,0.0
734,0.0
735,2.220446049250313e-16
736,0.0
737,0.0
738,0.0
739,2.7755575615628914e-17
740,0.0
741,0.0
742,1.757762772142124e-17
743,4.440892098500626e-16
744,0.0
745,0.0
746,1.3877787807814457e-17
747,0.0
748,3.469446951953614e-17
749,1.1102230246251565e-16
750,0.0
751,1.1102230246251565e-16
752,0.0
753,0.0
754,0.0
755,5.551115123125783e-17
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,5.551115123125783e-17
763,2.7755575615628914e-17
764,8.326672684688674e-17
765,1.1102230246251565e-16
766,5.551115123125783e-17
767,0.0
768,5.551115123125783e-17
769,0.0
770,2.7755575615628914e-17
771,0.0
772,0.0
773,2.220446049250313e-16
774,0.0
775,0.0
776,0.0
777,1.1102230246251565e-16
778,1.1102230246251565e-16
779,0.0
780,1.1102230246251565e-16
781,0.0
782,0.0
783,5.551115123125783e-17
784,1.1102230246251565e-16
785,1.1102230246251565e-16
786,0.0
787,4.440892098500626e-16
788,0.0
789,0.0
790,0.0
791,0.0
792,1.3877787807814457e-17
793,5.551115123125783e-17
794,4.440892098500626e-16
795,1.1102230246251565e-16
796,2.220446049250313e-16
797,0.0
798,2.7755575615628914e-17
799,0.0
800,1.1102230246251565e-16
801,1.3877787807814457e-17
802,0.0
803,2.220446049250313e-16
804,0.0
805,5.551115123125783e-17
806,2.220446049250313e-16
807,1.1102230246251565e-16
808,5.898059818321144e-17
809,0.0
810,0.0
811,0.0
812,1.3877787807814457e-17
813,2.220446049250313e-16
814,2.220446049250313e-16
815,4.440892098500626e-16
816,0.0
817,0.0
818,0.0
819,0.0
