n,sample_index,model,relation_identical,order_measurable_q_identical,shared_random_q_identical,rank_gap_q_identical,coordinate_q_identical,coordinate_q_centered_rms_difference
32,109,power_anisotropic,True,True,True,True,False,0.206205338913207
32,109,beta_skew,True,True,True,True,False,0.1873714821489034
32,110,power_anisotropic,True,True,True,True,False,0.19725342192515918
32,110,beta_skew,True,True,True,True,False,0.18576029281843132
32,111,power_anisotropic,True,True,True,True,False,0.18449828022706377
32,111,beta_skew,True,True,True,True,False,0.18544653243824613
32,112,power_anisotropic,True,True,True,True,False,0.2136163258946904
32,112,beta_skew,True,True,True,True,False,0.20185706513478482
32,113,power_anisotropic,True,True,True,True,False,0.21572645958297085
32,113,beta_skew,True,True,True,True,False,0.18562027376787513
32,114,power_anisotropic,True,True,True,True,False,0.21014287026012202
32,114,beta_skew,True,True,True,True,False,0.19503134368391137
32,115,power_anisotropic,True,True,True,True,False,0.2018982056164332
32,115,beta_skew,True,True,True,True,False,0.20729338644807338
32,116,power_anisotropic,True,True,True,True,False,0.19082050687839802
32,116,beta_skew,True,True,True,True,False,0.19424280857159684
32,117,power_anisotropic,True,True,True,True,False,0.19102434265180368
32,117,beta_skew,True,True,True,True,False,0.17922433724897202
32,118,power_anisotropic,True,True,True,True,False,0.2113162251941551
32,118,beta_skew,True,True,True,True,False,0.18274296195576398
32,119,power_anisotropic,True,True,True,True,False,0.18187455042766082
32,119,beta_skew,True,True,True,True,False,0.1740376055204459
32,120,power_anisotropic,True,True,True,True,False,0.22362894363788338
32,120,beta_skew,True,True,True,True,False,0.1705618305304103
32,121,power_anisotropic,True,True,True,True,False,0.19956532756510073
32,121,beta_skew,True,True,True,True,False,0.20738208757569382
32,122,power_anisotropic,True,True,True,True,False,0.20277243623893507
32,122,beta_skew,True,True,True,True,False,0.17822080543319865
32,123,power_anisotropic,True,True,True,True,False,0.22654605688480442
32,123,beta_skew,True,True,True,True,False,0.1763821806729632
32,124,power_anisotropic,True,True,True,True,False,0.17242425976232023
32,124,beta_skew,True,True,True,True,False,0.2047879290494708
32,125,power_anisotropic,True,True,True,True,False,0.18122399342554937
32,125,beta_skew,True,True,True,True,False,0.1690552079789341
32,126,power_anisotropic,True,True,True,True,False,0.19081610329167137
32,126,beta_skew,True,True,True,True,False,0.19711554912199705
32,127,power_anisotropic,True,True,True,True,False,0.2118271342090863
32,127,beta_skew,True,True,True,True,False,0.18850195521815793
32,128,power_anisotropic,True,True,True,True,False,0.23915443855309723
32,128,beta_skew,True,True,True,True,False,0.2033140766724983
32,129,power_anisotropic,True,True,True,True,False,0.19823203886084242
32,129,beta_skew,True,True,True,True,False,0.1972344851917176
32,130,power_anisotropic,True,True,True,True,False,0.20258403722722368
32,130,beta_skew,True,True,True,True,False,0.2000286816910719
32,131,power_anisotropic,True,True,True,True,False,0.22045023529242663
32,131,beta_skew,True,True,True,True,False,0.2209011752319917
32,132,power_anisotropic,True,True,True,True,False,0.2288544283979237
32,132,beta_skew,True,True,True,True,False,0.2085368489851271
32,133,power_anisotropic,True,True,True,True,False,0.19504143401557655
32,133,beta_skew,True,True,True,True,False,0.18387110674820034
32,134,power_anisotropic,True,True,True,True,False,0.2079808457948758
32,134,beta_skew,True,True,True,True,False,0.18853664519217725
32,135,power_anisotropic,True,True,True,True,False,0.24094290120960157
32,135,beta_skew,True,True,True,True,False,0.22001586842336784
32,136,power_anisotropic,True,True,True,True,False,0.1821344431533295
32,136,beta_skew,True,True,True,True,False,0.1810508077626837
32,137,power_anisotropic,True,True,True,True,False,0.21666514634706044
32,137,beta_skew,True,True,True,True,False,0.20703897404431013
32,138,power_anisotropic,True,True,True,True,False,0.22290535674327477
32,138,beta_skew,True,True,True,True,False,0.1745192784566393
32,139,power_anisotropic,True,True,True,True,False,0.20466953677481872
32,139,beta_skew,True,True,True,True,False,0.1946463453349084
32,140,power_anisotropic,True,True,True,True,False,0.22674757194232484
32,140,beta_skew,True,True,True,True,False,0.21825246989510416
32,141,power_anisotropic,True,True,True,True,False,0.21982985951940384
32,141,beta_skew,True,True,True,True,False,0.19204281751313818
32,142,power_anisotropic,True,True,True,True,False,0.21246910915376888
32,142,beta_skew,True,True,True,True,False,0.1694859200434789
32,143,power_anisotropic,True,True,True,True,False,0.22894060799921306
32,143,beta_skew,True,True,True,True,False,0.18552711722259072
32,144,power_anisotropic,True,True,True,True,False,0.21348651791713694
32,144,beta_skew,True,True,True,True,False,0.22189537082904265
32,145,power_anisotropic,True,True,True,True,False,0.2302193645237514
