sample_index,offset,effective_distance_scaling_relative_error,normalized_distance_invariance_error,centered_q_invariance_error
18,-0.5,3.4498680685112586e-16,4.440892098500626e-16,1.1102230246251565e-16
18,0.75,3.5543721324214986e-16,4.440892098500626e-16,1.1102230246251565e-16
18,1.6,3.876835628205104e-16,4.440892098500626e-16,2.220446049250313e-16
19,-2.0,3.934788933527138e-16,4.440892098500626e-16,7.771561172376096e-16
19,-0.5,3.511880339552719e-16,4.440892098500626e-16,2.220446049250313e-16
19,0.75,2.6497695406141593e-16,2.220446049250313e-16,2.220446049250313e-16
19,1.6,3.4404185826679625e-16,4.440892098500626e-16,4.440892098500626e-16
20,-2.0,4.4128310869921844e-16,8.881784197001252e-16,4.440892098500626e-16
20,-0.5,2.830269030433311e-16,4.440892098500626e-16,2.220446049250313e-16
20,0.75,4.3735400453918573e-16,4.440892098500626e-16,2.220446049250313e-16
20,1.6,4.426102579442662e-16,4.440892098500626e-16,2.220446049250313e-16
21,-2.0,4.471428768851783e-16,6.661338147750939e-16,3.3306690738754696e-16
21,-0.5,3.5522749950567763e-16,6.661338147750939e-16,2.220446049250313e-16
21,0.75,4.065887402376288e-16,4.440892098500626e-16,2.220446049250313e-16
21,1.6,2.920128686500828e-16,4.440892098500626e-16,4.440892098500626e-16
22,-2.0,4.104314364128971e-16,6.661338147750939e-16,4.440892098500626e-16
22,-0.5,3.645748472149665e-16,4.440892098500626e-16,2.220446049250313e-16
22,0.75,4.005683336175029e-16,4.440892098500626e-16,4.440892098500626e-16
22,1.6,3.396684464577869e-16,6.661338147750939e-16,3.3306690738754696e-16
23,-2.0,3.624089153285828e-16,4.440892098500626e-16,3.608224830031759e-16
23,-0.5,2.9519644940567953e-16,4.440892098500626e-16,2.220446049250313e-16
23,0.75,2.8121968131032116e-16,4.440892098500626e-16,2.220446049250313e-16
23,1.6,3.3072818542643477e-16,2.220446049250313e-16,3.3306690738754696e-16
24,-2.0,4.1740168533361586e-16,4.440892098500626e-16,6.661338147750939e-16
24,-0.5,3.341780633513259e-16,4.440892098500626e-16,1.1102230246251565e-16
24,0.75,3.178920836415082e-16,4.440892098500626e-16,2.220446049250313e-16
24,1.6,3.516346394422615e-16,4.440892098500626e-16,2.7755575615628914e-16
25,-2.0,3.7976299661297855e-16,6.661338147750939e-16,7.216449660063518e-16
25,-0.5,2.984355881556969e-16,4.440892098500626e-16,2.220446049250313e-16
25,0.75,3.72707324293563e-16,4.440892098500626e-16,2.220446049250313e-16
25,1.6,3.21815289504869e-16,4.440892098500626e-16,2.220446049250313e-16
26,-2.0,4.2475912855082074e-16,4.440892098500626e-16,4.440892098500626e-16
26,-0.5,2.1937949208137483e-16,4.440892098500626e-16,1.1102230246251565e-16
26,0.75,3.765652115682175e-16,2.220446049250313e-16,2.7755575615628914e-16
26,1.6,3.5498749910081476e-16,4.440892098500626e-16,2.7755575615628914e-16
27,-2.0,3.389767054945047e-16,8.881784197001252e-16,6.661338147750939e-16
27,-0.5,3.2419360874542755e-16,4.440892098500626e-16,1.1102230246251565e-16
