sample_index,initial_offset,initial_mean_gap,final_mean_gap,maximum_centered_trajectory_error,maximum_constant_mode_change_error
74,-0.8574999306153561,-0.8574999306153561,-0.8574999306153559,6.661338147750939e-16,2.220446049250313e-16
75,-1.089460622302007,-1.089460622302007,-1.089460622302007,8.881784197001252e-16,2.220446049250313e-16
76,0.04317442728107679,0.043174427281076816,0.0431744272810768,1.1102230246251565e-16,4.163336342344337e-17
77,-0.6802108524099388,-0.6802108524099387,-0.6802108524099388,4.440892098500626e-16,1.1102230246251565e-16
78,-2.7900839705928506,-2.7900839705928506,-2.7900839705928506,1.2351231148954867e-15,4.440892098500626e-16
79,2.261201667000744,2.2612016670007447,2.2612016670007438,1.2698175844150228e-15,8.881784197001252e-16
80,0.8706999863474687,0.8706999863474686,0.8706999863474688,5.551115123125783e-16,3.3306690738754696e-16
81,-1.4728777470870607,-1.4728777470870607,-1.4728777470870607,7.771561172376096e-16,2.220446049250313e-16
82,-1.292499935933295,-1.292499935933295,-1.292499935933295,5.551115123125783e-16,2.220446049250313e-16
83,-0.6985527560649869,-0.6985527560649868,-0.6985527560649868,4.440892098500626e-16,1.1102230246251565e-16
84,1.5180958643433513,1.518095864343351,1.5180958643433513,7.91033905045424e-16,2.220446049250313e-16
85,-2.495209231738837,-2.495209231738837,-2.495209231738837,1.1934897514720433e-15,4.440892098500626e-16
86,-2.881249319688724,-2.881249319688724,-2.881249319688724,1.1102230246251565e-15,4.440892098500626e-16
87,2.124700001022493,2.1247000010224935,2.124700001022493,1.061650767297806e-15,4.440892098500626e-16
88,2.203641076163878,2.203641076163878,2.2036410761638776,1.1102230246251565e-15,4.440892098500626e-16
89,-2.840273403286842,-2.8402734032868424,-2.840273403286843,1.4016565685892601e-15,4.440892098500626e-16
90,-1.260998629504845,-1.260998629504845,-1.2609986295048452,6.661338147750939e-16,2.220446049250313e-16
91,-0.7501451694661601,-0.75014516946616,-0.7501451694661601,4.440892098500626e-16,2.220446049250313e-16
92,2.956288220117605,2.956288220117605,2.956288220117605,1.0824674490095276e-15,4.440892098500626e-16
93,1.5221581583124992,1.5221581583124992,1.5221581583124992,9.43689570931383e-16,4.440892098500626e-16
94,2.34105331522887,2.34105331522887,2.3410533152288697,1.1518563880486e-15,4.440892098500626e-16
95,1.4101591187690365,1.4101591187690365,1.4101591187690365,4.996003610813204e-16,2.220446049250313e-16
96,1.2051316231814786,1.2051316231814786,1.2051316231814788,8.881784197001252e-16,2.220446049250313e-16
97,-0.3731467311930654,-0.3731467311930654,-0.37314673119306535,4.440892098500626e-16,1.6653345369377348e-16
98,1.4789278236704044,1.4789278236704044,1.4789278236704044,6.661338147750939e-16,2.220446049250313e-16
99,-0.2659386204211174,-0.2659386204211173,-0.2659386204211173,2.220446049250313e-16,5.551115123125783e-17
