n,family,sample_index,q_score,p_value,compatible_at_alpha,hellinger_squared,ordering_fraction,target_ordering_fraction,ordering_fraction_mismatch,perturbation_fraction,profile_m0,profile_m1,profile_m2,profile_m3,profile_m4,profile_m5
96,minkowski_holdout,72,54.732334726370475,0.0796812749003984,True,0.006711078098715961,0.49144736842105263,,0.0,0.0,0.14457831325301204,0.0963855421686747,0.08522980812137439,0.05845604640785364,0.06157965194109773,0.04373047746541722
96,minkowski_holdout,73,49.375575121004616,0.14741035856573706,True,0.008935825212220805,0.45745614035087717,,0.0,0.0,0.14237775647171622,0.10354745925215723,0.07670182166826463,0.06999041227229147,0.05560882070949185,0.05081495685522531
96,minkowski_holdout,74,40.457282532302756,0.40239043824701193,True,0.009932994739440315,0.44956140350877194,,0.0,0.0,0.15317073170731707,0.10292682926829268,0.08048780487804878,0.07414634146341463,0.06536585365853659,0.04780487804878049
96,minkowski_holdout,75,40.148918164046066,0.4302788844621514,True,0.011124096874368106,0.4605263157894737,,0.0,0.0,0.1361904761904762,0.11047619047619048,0.07142857142857142,0.055714285714285716,0.055714285714285716,0.06
96,minkowski_holdout,76,36.73171239422586,0.5418326693227091,True,0.005890014951232647,0.4820175438596491,,0.0,0.0,0.1292083712465878,0.09736123748862602,0.0718835304822566,0.055505004549590536,0.051865332120109194,0.04777070063694268
96,minkowski_holdout,77,45.35022769831055,0.23904382470119523,True,0.005764200346568327,0.5063596491228071,,0.0,0.0,0.12299696838458207,0.0978778692074491,0.075790385448246,0.060199220441749676,0.051104374187960155,0.04893893460372455
96,minkowski_holdout,78,62.73108036250943,0.03187250996015936,False,0.010878805205203679,0.46096491228070174,,0.0,0.0,0.1489058039961941,0.11274976213130353,0.0780209324452902,0.06707897240723121,0.06374881065651761,0.049476688867745006
96,minkowski_holdout,79,18.75402886290752,0.9920318725099602,True,0.004912918159357238,0.5179824561403509,,0.0,0.0,0.1380186282811177,0.0850973751058425,0.07620660457239628,0.06773920406435224,0.0554614733276884,0.04360711261642676
96,transitive_percolation,0,98.94622079896699,0.00398406374501992,False,0.012326514027074964,0.5631578947368421,0.5633771929824561,0.00021929824561406353,0.0,0.08099688473520249,0.10046728971962617,0.10046728971962617,0.07554517133956386,0.05996884735202492,0.05101246105919003
96,three_layer,0,8761.539550073496,0.00398406374501992,False,0.5583439663772946,0.5633771929824561,0.5633771929824561,0.0,0.0,0.7757882444530946,0.0,0.0,0.0,0.0,0.0
96,transitive_percolation,1,159.12366100543736,0.00398406374501992,False,0.03758121207043097,0.4517543859649123,0.4557017543859649,0.003947368421052588,0.0,0.11213592233009709,0.14223300970873787,0.11699029126213592,0.0912621359223301,0.07815533980582524,0.054854368932038836
96,three_layer,1,7550.659900135374,0.00398406374501992,False,0.434730635485994,0.4557017543859649,0.4557017543859649,0.0,0.0,0.7228103946102021,0.0,0.0,0.0,0.0,0.0
96,transitive_percolation,2,152.63436049123,0.00398406374501992,False,0.033890684263762294,0.4605263157894737,0.4605263157894737,0.0,0.0,0.09857142857142857,0.1219047619047619,0.10380952380952381,0.08428571428571428,0.07476190476190477,0.062380952380952384
96,three_layer,2,7913.999760850898,0.00398406374501992,False,0.46462707000695824,0.4605263157894737,0.4605263157894737,0.0,0.0,0.7257142857142858,0.0,0.0,0.0,0.0,0.0
96,transitive_percolation,3,112.75244395719099,0.00398406374501992,False,0.011546117781974674,0.6076754385964912,0.6076754385964912,0.0,0.0,0.08841573439191627,0.10970768675568388,0.09924215084806928,0.07722843738722483,0.058823529411764705,0.04619271021291952
96,three_layer,3,8775.52132719904,0.00398406374501992,False,0.603427954109608,0.6076754385964912,0.6076754385964912,0.0,0.0,0.7921328040418621,0.0,0.0,0.0,0.0,0.0
96,transitive_percolation,4,157.8391501230471,0.00398406374501992,False,0.018051075384458604,0.5048245614035087,0.5048245614035087,0.0,0.0,0.09165942658557776,0.11120764552562988,0.11164205039096438,0.08818418766290183,0.07688966116420504,0.05994787141615986
96,three_layer,4,8453.636231795012,0.00398406374501992,False,0.49892788442150615,0.5048245614035087,0.5048245614035087,0.0,0.0,0.7497827975673328,0.0,0.0,0.0,0.0,0.0
96,transitive_percolation,5,180.65167314749843,0.00398406374501992,False,0.019760169076383338,0.506578947368421,0.5063596491228071,0.0002192982456139525,0.0,0.09480519480519481,0.12121212121212122,0.12121212121212122,0.09740259740259741,0.0670995670995671,0.06060606060606061
96,three_layer,5,8871.891420361799,0.00398406374501992,False,0.5155176754561402,0.5063596491228071,0.5063596491228071,0.0,0.0,0.7505413598960589,0.0,0.0,0.0,0.0,0.0
96,transitive_percolation,6,105.94663840071797,0.00398406374501992,False,0.01129739462466861,0.5504385964912281,0.5513157894736842,0.0008771929824561431,0.0,0.09561752988047809,0.1151394422310757,0.10398406374501992,0.08247011952191236,0.0649402390438247,0.05139442231075697
96,three_layer,6,9285.458734984095,0.00398406374501992,False,0.5424803560832888,0.5513157894736842,0.5513157894736842,0.0,0.0,0.7708830548926014,0.0,0.0,0.0,0.0,0.0
96,transitive_percolation,7,126.17184447097563,0.00398406374501992,False,0.01311184155383116,0.5322368421052631,0.5320175438596492,0.0002192982456139525,0.0,0.09476720230737536,0.12031314379892871,0.1100123609394314,0.08529048207663782,0.07045735475896168,0.05686032138442522
96,three_layer,7,10064.01632722335,0.00398406374501992,False,0.5449567745987264,0.5320175438596492,0.5320175438596492,0.0,0.0,0.7625721352019785,0.0,0.0,0.0,0.0,0.0
96,transitive_percolation,8,130.42232929377167,0.00398406374501992,False,0.011312916988575727,0.5642543859649123,0.5633771929824561,0.0008771929824561431,0.0,0.09755149630781189,0.1329187718616401,0.10104935872522347,0.07267780800621843,0.06412747765254567,0.04624951418577536
