sample_index,lambda,closure_probability_error
174,1.0,5.551115123125783e-17
174,2.0,1.1102230246251565e-16
175,0.5,2.7755575615628914e-17
175,1.0,5.551115123125783e-17
175,2.0,2.220446049250313e-16
176,0.5,1.1102230246251565e-16
176,1.0,1.1102230246251565e-16
176,2.0,1.1102230246251565e-16
177,0.5,5.551115123125783e-17
177,1.0,5.551115123125783e-17
177,2.0,2.0816681711721685e-17
178,0.5,5.551115123125783e-17
178,1.0,5.551115123125783e-17
178,2.0,2.0816681711721685e-17
179,0.5,2.7755575615628914e-17
179,1.0,5.551115123125783e-17
179,2.0,1.1102230246251565e-16
180,0.5,5.551115123125783e-17
180,1.0,5.551115123125783e-17
180,2.0,1.1102230246251565e-16
181,0.5,5.551115123125783e-17
181,1.0,5.551115123125783e-17
181,2.0,5.551115123125783e-17
182,0.5,5.551115123125783e-17
182,1.0,1.1102230246251565e-16
182,2.0,2.7755575615628914e-17
183,0.5,5.551115123125783e-17
183,1.0,5.551115123125783e-17
183,2.0,5.551115123125783e-17
184,0.5,5.551115123125783e-17
184,1.0,5.551115123125783e-17
184,2.0,2.7755575615628914e-16
185,0.5,5.551115123125783e-17
185,1.0,2.7755575615628914e-17
185,2.0,5.551115123125783e-17
186,0.5,5.551115123125783e-17
186,1.0,1.3877787807814457e-17
186,2.0,2.220446049250313e-16
187,0.5,2.7755575615628914e-17
187,1.0,1.3877787807814457e-17
187,2.0,8.673617379884035e-18
188,0.5,5.551115123125783e-17
188,1.0,5.551115123125783e-17
188,2.0,1.6653345369377348e-16
189,0.5,2.7755575615628914e-17
189,1.0,1.1102230246251565e-16
189,2.0,1.1102230246251565e-16
190,0.5,2.7755575615628914e-17
190,1.0,5.551115123125783e-17
190,2.0,1.6653345369377348e-16
191,0.5,8.326672684688674e-17
191,1.0,2.7755575615628914e-17
191,2.0,5.551115123125783e-17
192,0.5,5.551115123125783e-17
192,1.0,5.551115123125783e-17
192,2.0,1.1102230246251565e-16
193,0.5,2.7755575615628914e-17
193,1.0,5.551115123125783e-17
193,2.0,2.220446049250313e-16
194,0.5,1.1102230246251565e-16
194,1.0,5.551115123125783e-17
194,2.0,1.1102230246251565e-16
195,0.5,5.551115123125783e-17
195,1.0,1.1102230246251565e-16
195,2.0,1.6653345369377348e-16
196,0.5,5.551115123125783e-17
196,1.0,1.1102230246251565e-16
196,2.0,1.1102230246251565e-16
197,0.5,5.551115123125783e-17
197,1.0,2.7755575615628914e-17
197,2.0,2.220446049250313e-16
198,0.5,2.7755575615628914e-17
198,1.0,5.551115123125783e-17
198,2.0,2.7755575615628914e-17
199,0.5,5.551115123125783e-17
199,1.0,5.551115123125783e-17
199,2.0,1.1102230246251565e-16
200,0.5,2.7755575615628914e-17
200,1.0,5.551115123125783e-17
200,2.0,5.551115123125783e-17
201,0.5,5.551115123125783e-17
201,1.0,5.551115123125783e-17
201,2.0,1.6653345369377348e-16
202,0.5,2.7755575615628914e-17
202,1.0,5.551115123125783e-17
202,2.0,2.7755575615628914e-17
203,0.5,8.326672684688674e-17
203,1.0,5.551115123125783e-17
203,2.0,1.1102230246251565e-16
204,0.5,8.326672684688674e-17
204,1.0,5.551115123125783e-17
204,2.0,2.7755575615628914e-17
205,0.5,5.551115123125783e-17
205,1.0,5.551115123125783e-17
205,2.0,1.1102230246251565e-16
206,0.5,5.551115123125783e-17
206,1.0,8.326672684688674e-17
206,2.0,1.1102230246251565e-16
207,0.5,2.7755575615628914e-17
207,1.0,2.7755575615628914e-17
207,2.0,1.1102230246251565e-16
208,0.5,2.7755575615628914e-17
208,1.0,5.551115123125783e-17
208,2.0,1.1102230246251565e-16
209,0.5,5.551115123125783e-17
209,1.0,5.551115123125783e-17
209,2.0,5.551115123125783e-17
210,0.5,2.7755575615628914e-17
210,1.0,2.7755575615628914e-17
210,2.0,8.326672684688674e-17
211,0.5,5.551115123125783e-17
211,1.0,5.551115123125783e-17
211,2.0,1.1102230246251565e-16
212,0.5,1.1102230246251565e-16
212,1.0,5.551115123125783e-17
212,2.0,5.551115123125783e-17
213,0.5,5.551115123125783e-17
213,1.0,5.551115123125783e-17
213,2.0,5.551115123125783e-17
214,0.5,2.7755575615628914e-17
214,1.0,2.7755575615628914e-17
214,2.0,2.220446049250313e-16
215,0.5,2.7755575615628914e-17
215,1.0,5.551115123125783e-17
215,2.0,2.7755575615628914e-17
216,0.5,5.551115123125783e-17
216,1.0,2.7755575615628914e-17
216,2.0,1.1102230246251565e-16
217,0.5,2.7755575615628914e-17
217,1.0,5.551115123125783e-17
217,2.0,1.1102230246251565e-16
218,0.5,2.7755575615628914e-17
218,1.0,5.551115123125783e-17
218,2.0,1.1102230246251565e-16
219,0.5,2.7755575615628914e-17
219,1.0,5.551115123125783e-17
219,2.0,5.551115123125783e-17
220,0.5,2.7755575615628914e-17
220,1.0,5.551115123125783e-17
220,2.0,1.1102230246251565e-16
221,0.5,1.1102230246251565e-16
221,1.0,2.7755575615628914e-17
221,2.0,1.1102230246251565e-16
222,0.5,2.7755575615628914e-17
222,1.0,1.1102230246251565e-16
222,2.0,1.1102230246251565e-16
223,0.5,2.7755575615628914e-17
223,1.0,5.551115123125783e-17
223,2.0,5.551115123125783e-17
224,0.5,5.551115123125783e-17
224,1.0,5.551115123125783e-17
224,2.0,1.1102230246251565e-16
225,0.5,5.551115123125783e-17
225,1.0,5.551115123125783e-17
225,2.0,2.220446049250313e-16
226,0.5,5.551115123125783e-17
226,1.0,5.551115123125783e-17
226,2.0,1.1102230246251565e-16
227,0.5,2.7755575615628914e-17
227,1.0,1.1102230246251565e-16
227,2.0,5.551115123125783e-17
228,0.5,2.7755575615628914e-17
228,1.0,5.551115123125783e-17
