sample_index,lambda,closure_probability_error
137,2.0,1.1102230246251565e-16
138,0.5,2.7755575615628914e-17
138,1.0,5.551115123125783e-17
138,2.0,5.551115123125783e-17
139,0.5,2.7755575615628914e-17
139,1.0,2.7755575615628914e-17
139,2.0,1.6653345369377348e-16
140,0.5,5.551115123125783e-17
140,1.0,2.7755575615628914e-17
140,2.0,1.1102230246251565e-16
141,0.5,2.7755575615628914e-17
141,1.0,2.7755575615628914e-17
141,2.0,1.1102230246251565e-16
142,0.5,8.326672684688674e-17
142,1.0,5.551115123125783e-17
142,2.0,1.1102230246251565e-16
143,0.5,2.7755575615628914e-17
143,1.0,5.551115123125783e-17
143,2.0,1.1102230246251565e-16
144,0.5,2.7755575615628914e-17
144,1.0,5.551115123125783e-17
144,2.0,1.1102230246251565e-16
145,0.5,5.551115123125783e-17
145,1.0,1.1102230246251565e-16
145,2.0,2.0816681711721685e-17
146,0.5,5.551115123125783e-17
146,1.0,2.7755575615628914e-17
146,2.0,1.1102230246251565e-16
147,0.5,5.551115123125783e-17
147,1.0,8.326672684688674e-17
147,2.0,5.551115123125783e-17
148,0.5,2.7755575615628914e-17
148,1.0,1.1102230246251565e-16
148,2.0,2.7755575615628914e-17
149,0.5,5.551115123125783e-17
149,1.0,5.551115123125783e-17
149,2.0,1.1102230246251565e-16
150,0.5,5.551115123125783e-17
150,1.0,5.551115123125783e-17
150,2.0,8.326672684688674e-17
151,0.5,5.551115123125783e-17
151,1.0,5.551115123125783e-17
151,2.0,1.1102230246251565e-16
152,0.5,2.7755575615628914e-17
152,1.0,1.1102230246251565e-16
152,2.0,1.1102230246251565e-16
153,0.5,5.551115123125783e-17
153,1.0,1.1102230246251565e-16
153,2.0,1.1102230246251565e-16
154,0.5,5.551115123125783e-17
154,1.0,5.551115123125783e-17
154,2.0,1.6653345369377348e-16
155,0.5,5.551115123125783e-17
155,1.0,5.551115123125783e-17
155,2.0,1.1102230246251565e-16
156,0.5,8.326672684688674e-17
156,1.0,1.3877787807814457e-17
156,2.0,1.6653345369377348e-16
157,0.5,5.551115123125783e-17
157,1.0,5.551115123125783e-17
157,2.0,2.7755575615628914e-17
158,0.5,5.551115123125783e-17
158,1.0,5.551115123125783e-17
158,2.0,1.1102230246251565e-16
159,0.5,8.326672684688674e-17
159,1.0,5.551115123125783e-17
159,2.0,1.3877787807814457e-16
160,0.5,5.551115123125783e-17
160,1.0,2.7755575615628914e-17
160,2.0,2.220446049250313e-16
161,0.5,5.551115123125783e-17
161,1.0,5.551115123125783e-17
161,2.0,1.1102230246251565e-16
162,0.5,1.1102230246251565e-16
162,1.0,5.551115123125783e-17
162,2.0,5.551115123125783e-17
163,0.5,2.7755575615628914e-17
163,1.0,5.551115123125783e-17
163,2.0,1.1102230246251565e-16
164,0.5,5.551115123125783e-17
164,1.0,5.551115123125783e-17
164,2.0,2.7755575615628914e-17
165,0.5,5.551115123125783e-17
165,1.0,5.551115123125783e-17
165,2.0,2.220446049250313e-16
166,0.5,2.7755575615628914e-17
166,1.0,1.1102230246251565e-16
166,2.0,1.6653345369377348e-16
167,0.5,5.551115123125783e-17
167,1.0,5.551115123125783e-17
167,2.0,2.7755575615628914e-17
168,0.5,2.7755575615628914e-17
168,1.0,1.1102230246251565e-16
168,2.0,1.6653345369377348e-16
169,0.5,5.551115123125783e-17
169,1.0,5.551115123125783e-17
169,2.0,5.551115123125783e-17
170,0.5,5.551115123125783e-17
170,1.0,5.551115123125783e-17
170,2.0,1.6653345369377348e-16
171,0.5,5.551115123125783e-17
171,1.0,5.551115123125783e-17
171,2.0,5.551115123125783e-17
172,0.5,5.551115123125783e-17
172,1.0,5.551115123125783e-17
172,2.0,5.551115123125783e-17
173,0.5,8.326672684688674e-17
173,1.0,2.7755575615628914e-17
173,2.0,2.7755575615628914e-17
174,0.5,8.326672684688674e-17
