lambda_true,dataset_index,lambda_estimate,estimation_error,optimizer_success
1.0,15,1.0055179391588454,0.005517939158845353,True
1.0,16,0.9970989176303142,-0.0029010823696857813,True
1.0,17,1.0022138038635933,0.0022138038635932666,True
1.0,18,0.9988834835359628,-0.0011165164640372094,True
1.0,19,1.0024885573775473,0.0024885573775472736,True
1.0,20,1.0085731782894565,0.008573178289456473,True
1.0,21,1.000672956237607,0.000672956237607103,True
1.0,22,0.9996693450736863,-0.0003306549263136782,True
1.0,23,0.9915454525361119,-0.008454547463888074,True
1.0,24,1.002976627436771,0.0029766274367710732,True
1.0,25,0.9970625820878409,-0.0029374179121590682,True
1.0,26,1.0000259885212757,2.5988521275666088e-05,True
1.0,27,1.0034291064402123,0.003429106440212326,True
1.0,28,0.9954466849729106,-0.004553315027089444,True
1.0,29,1.0052826798547463,0.005282679854746286,True
1.0,30,1.0009703195003596,0.0009703195003596399,True
1.0,31,0.992987028620033,-0.007012971379967037,True
1.0,32,1.004842313839858,0.004842313839857892,True
1.0,33,0.9996112706348862,-0.0003887293651138046,True
1.0,34,1.0010450265211657,0.0010450265211656706,True
1.0,35,1.0067364974564448,0.006736497456444779,True
1.0,36,0.9907942015827378,-0.009205798417262212,True
1.0,37,1.0000436693907344,4.366939073441323e-05,True
1.0,38,0.9999031714740803,-9.682852591974545e-05,True
1.0,39,1.000444774864949,0.00044477486494898244,True
1.0,40,1.0023034170299074,0.0023034170299074397,True
1.0,41,0.9934474850034233,-0.006552514996576719,True
1.0,42,0.9944295426024244,-0.005570457397575557,True
1.0,43,0.9959944597446619,-0.004005540255338058,True
1.0,44,1.0043672806243331,0.004367280624333114,True
1.0,45,1.0038955073373275,0.003895507337327464,True
1.0,46,0.997666424700491,-0.00233357529950895,True
1.0,47,0.9960332066099999,-0.003966793390000056,True
1.0,48,1.000386988109668,0.00038698810966808495,True
1.0,49,0.9945339885838045,-0.005466011416195515,True
1.0,50,0.9934640315241746,-0.006535968475825382,True
1.0,51,1.0020601568504908,0.0020601568504907686,True
1.0,52,1.0044493703532784,0.004449370353278415,True
1.0,53,1.0000862616759294,8.626167592939993e-05,True
1.0,54,0.9977950901215642,-0.0022049098784358012,True
1.0,55,1.0073832893886943,0.0073832893886942585,True
1.0,56,0.9977346590619723,-0.00226534093802766,True
1.0,57,0.9979930403093019,-0.0020069596906980847,True
1.0,58,0.9933402837714025,-0.006659716228597512,True
1.0,59,0.9980224844823188,-0.0019775155176812165,True
1.0,60,1.002343004876919,0.0023430048769190748,True
1.0,61,0.9968558998982169,-0.0031441001017831205,True
1.0,62,0.9979014278249485,-0.002098572175051494,True
1.0,63,1.0003849159871916,0.0003849159871915919,True
1.0,64,0.9923629502443886,-0.007637049755611414,True
1.0,65,0.9945210331021491,-0.005478966897850879,True
1.0,66,1.0014288590360039,0.001428859036003871,True
1.0,67,0.9995302738071468,-0.000469726192853237,True
1.0,68,0.9957830590215894,-0.004216940978410633,True
1.0,69,0.9996716315910285,-0.0003283684089715466,True
1.0,70,0.9963735432795574,-0.0036264567204425946,True
1.0,71,1.0059826444090207,0.005982644409020743,True
1.0,72,0.9908627828090952,-0.009137217190904767,True
1.0,73,1.0001377443891186,0.0001377443891186214,True
1.0,74,0.9928755402489287,-0.007124459751071344,True
1.0,75,1.0042836372498865,0.004283637249886452,True
1.0,76,1.0063208983633758,0.006320898363375793,True
1.0,77,0.9970208350146124,-0.002979164985387639,True
1.0,78,1.0035197147976531,0.0035197147976531173,True
1.0,79,1.0026982284496657,0.0026982284496657183,True
1.0,80,0.9986561080605837,-0.0013438919394163085,True
1.0,81,1.0064587517727763,0.006458751772776328,True
1.0,82,0.9986472682556492,-0.0013527317443507991,True
1.0,83,0.9982436916966292,-0.0017563083033708127,True
1.0,84,0.9986970807894071,-0.00130291921059289,True
1.0,85,0.9941034387587685,-0.005896561241231502,True
1.0,86,1.0065279123331998,0.006527912333199826,True
1.0,87,0.9994303310419935,-0.0005696689580064751,True
1.0,88,1.007620616547232,0.007620616547231895,True
1.0,89,0.9989707105342374,-0.0010292894657626395,True
1.0,90,0.9920143999464154,-0.007985600053584618,True
1.0,91,1.0061637982070877,0.0061637982070876784,True
1.0,92,0.9942598223991246,-0.005740177600875418,True
1.0,93,1.0046389189764797,0.004638918976479722,True
1.0,94,1.004660573183106,0.004660573183105976,True
1.0,95,0.9974558029971602,-0.0025441970028398098,True
1.0,96,0.9944928150803132,-0.005507184919686825,True
1.0,97,0.9982220517919669,-0.00177794820803312,True
1.0,98,0.9954797766998394,-0.004520223300160553,True
1.0,99,1.0015284188801536,0.001528418880153648,True
