sample_index,lambda_first,lambda_second,macro_probability_total_variation
160,0.5,2.0,0.3441056327669562
160,1.0,2.0,0.24183685814064176
161,0.5,1.0,0.13041707595675617
161,0.5,2.0,0.38331579045555303
161,1.0,2.0,0.27276296645695863
162,0.5,1.0,0.045794954542113145
162,0.5,2.0,0.14760798468846795
162,1.0,2.0,0.11497479280692269
163,0.5,1.0,0.08210746480051995
163,0.5,2.0,0.3031784419822888
163,1.0,2.0,0.22107097718176888
164,0.5,1.0,0.06483969606931639
164,0.5,2.0,0.1487580830836494
164,1.0,2.0,0.08391838701433303
165,0.5,1.0,0.08693275769450526
165,0.5,2.0,0.3159189481047696
165,1.0,2.0,0.2342580388491345
166,0.5,1.0,0.10636968294641527
166,0.5,2.0,0.2257349220705061
166,1.0,2.0,0.14966283983384934
167,0.5,1.0,0.1819490680716495
167,0.5,2.0,0.4859397371035811
167,1.0,2.0,0.3364271507215705
168,0.5,1.0,0.08111065930587867
168,0.5,2.0,0.26446334400502614
168,1.0,2.0,0.18343428405250992
169,0.5,1.0,0.07913260300330834
169,0.5,2.0,0.2024232511878375
169,1.0,2.0,0.1247390779139137
170,0.5,1.0,0.08988267940806974
170,0.5,2.0,0.25877339214140316
170,1.0,2.0,0.1688907127333334
171,0.5,1.0,0.06547370919257378
171,0.5,2.0,0.19986577204307876
171,1.0,2.0,0.13439206285050498
172,0.5,1.0,0.0868780215270866
172,0.5,2.0,0.33877798155923583
172,1.0,2.0,0.2518999600321492
173,0.5,1.0,0.03599621666808976
173,0.5,2.0,0.118923109612693
173,1.0,2.0,0.09225634771177542
174,0.5,1.0,0.06490642502074773
174,0.5,2.0,0.2152689475713963
174,1.0,2.0,0.15678122665239902
175,0.5,1.0,0.11538387087037849
175,0.5,2.0,0.4468975217176465
175,1.0,2.0,0.331513650847268
176,0.5,1.0,0.15327590619239412
176,0.5,2.0,0.412608113825828
176,1.0,2.0,0.2593322076334339
177,0.5,1.0,0.18067398245130983
177,0.5,2.0,0.49168686385956
177,1.0,2.0,0.32262826075638484
178,0.5,1.0,0.12548483123081983
178,0.5,2.0,0.39784457307988097
178,1.0,2.0,0.27235974184906114
179,0.5,1.0,0.09817757130404263
179,0.5,2.0,0.4325168965326983
179,1.0,2.0,0.3343393252286556
180,0.5,1.0,0.09322462854464646
180,0.5,2.0,0.27465124471858277
180,1.0,2.0,0.18996416556670317
181,0.5,1.0,0.14465905020907893
181,0.5,2.0,0.2966370271363955
181,1.0,2.0,0.15197797692731657
182,0.5,1.0,0.15475386301902702
182,0.5,2.0,0.4796759032069595
182,1.0,2.0,0.32492204018793247
183,0.5,1.0,0.06192779179102484
183,0.5,2.0,0.22904022955702527
183,1.0,2.0,0.16711243776600046
184,0.5,1.0,0.10418086891592787
184,0.5,2.0,0.2307664541727185
184,1.0,2.0,0.12965342539877905
185,0.5,1.0,0.11221246172428818
185,0.5,2.0,0.2996120932081383
185,1.0,2.0,0.18739963148385014
186,0.5,1.0,0.24572115318273002
186,0.5,2.0,0.6430781184897993
186,1.0,2.0,0.3973569653070695
187,0.5,1.0,0.31271314042643045
187,0.5,2.0,0.6556257980411112
187,1.0,2.0,0.3429126576146807
188,0.5,1.0,0.1160685649435274
188,0.5,2.0,0.36023294647629023
188,1.0,2.0,0.24416438153276285
189,0.5,1.0,0.37872881627347765
189,0.5,2.0,0.6360297680244141
189,1.0,2.0,0.25730095175093654
190,0.5,1.0,0.08984929629752426
190,0.5,2.0,0.2913862520932416
190,1.0,2.0,0.20153695579571737
191,0.5,1.0,0.082858049290392
191,0.5,2.0,0.30560743857786365
191,1.0,2.0,0.22274938928747168
