sample_index,maximum_z_invariance_error
641,2.220446049250313e-16
642,4.440892098500626e-16
643,2.220446049250313e-16
644,4.440892098500626e-16
645,2.220446049250313e-16
646,4.440892098500626e-16
647,4.440892098500626e-16
648,2.220446049250313e-16
649,4.440892098500626e-16
650,3.3306690738754696e-16
651,2.220446049250313e-16
652,2.220446049250313e-16
653,2.220446049250313e-16
654,4.440892098500626e-16
655,5.551115123125783e-16
656,4.440892098500626e-16
657,2.220446049250313e-16
658,2.220446049250313e-16
659,2.220446049250313e-16
660,4.440892098500626e-16
661,3.885780586188048e-16
662,6.661338147750939e-16
663,4.440892098500626e-16
664,4.440892098500626e-16
665,2.220446049250313e-16
666,2.220446049250313e-16
667,4.440892098500626e-16
668,7.771561172376096e-16
669,2.220446049250313e-16
670,1.1102230246251565e-16
671,2.220446049250313e-16
672,6.661338147750939e-16
