sample_index,lambda,analytical_derivative,numerical_derivative,derivative_error,strictly_negative
1596,0.5054572170003109,-0.8660675595940399,-0.8660675595850708,8.969158749039252e-12,True
1597,0.24438005908615298,-0.8910706785150293,-0.8910706785089649,6.0643712274099926e-12,True
1598,3.4815653355366893,-0.051920018654546145,-0.051920018673268224,1.8722079442312634e-11,True
1599,3.6954679331743203,-0.003148682271082702,-0.0031486822704707147,6.119874572385609e-13,True
1600,2.500435038702144,-0.16800651886207563,-0.16800651885251483,9.560796598861998e-12,True
1601,0.715522808943257,-0.6715845336915492,-0.6715845336791038,1.2445489083745542e-11,True
1602,2.6462357508978096,-0.09820572241836456,-0.09820572239860324,1.976131758230082e-11,True
1603,1.9012416739435858,-0.1355804008268626,-0.13558040082850553,1.6429357874159223e-12,True
1604,3.951173163424314,-0.01101647269579121,-0.01101647270074224,4.95102916997503e-12,True
1605,0.9881396929973051,-0.6535281229031756,-0.6535281229069767,3.8010705694091484e-12,True
1606,3.888965889502966,-0.031679444914774646,-0.03167944491178076,2.9938829193554284e-12,True
1607,2.898140256564118,-0.08842742891768923,-0.08842742890147191,1.6217319154243626e-11,True
1608,0.7250106034783442,-1.4323765794402292,-1.4323765793800012,6.022804477368027e-11,True
1609,3.2002301751578788,-0.0162508091933167,-0.016250809187212667,6.104033944964726e-12,True
1610,0.7483515642741306,-0.5864263876918142,-0.5864263876997899,7.975731186604662e-12,True
1611,2.9563162037283015,-0.09609048555480453,-0.09609048556291631,8.111789018272475e-12,True
1612,3.9296286640318603,-0.018713529217970447,-0.018713529204017476,1.3952970723263292e-11,True
1613,3.4553873934335244,-0.01231048725653239,-0.012310487162991988,9.35404011193075e-11,True
1614,2.1266974442479887,-0.20306952637373665,-0.2030695263721682,1.5684398224635743e-12,True
1615,2.702900825808468,-0.12214048442937943,-0.12214048442649171,2.8877178426256478e-12,True
1616,0.45838843993897727,-0.9498191658210186,-0.9498191658074971,1.3521406216909782e-11,True
1617,1.918450459894501,-0.14745509435437365,-0.147455094345883,8.49065262542581e-12,True
1618,0.13115407160076226,-0.9359646808516343,-0.9359646808537735,2.1391777238477516e-12,True
1619,0.8486473465180737,-1.1885023120681348,-1.1885023120439264,2.4208413051951538e-11,True
1620,2.170693295248232,-0.19420708026258976,-0.19420708029516118,3.257141778512107e-11,True
1621,1.5079213494849601,-0.17781503397695145,-0.17781503398595075,8.999301304157825e-12,True
1622,2.1753627166654956,-0.22077557278814647,-0.22077557277899726,9.149209168057837e-12,True
1623,2.0325520441080434,-0.07703395797082174,-0.07703395797364898,2.8272384433591924e-12,True
1624,0.4023280204834039,-0.8544415463249563,-0.8544415463246356,3.206324095117452e-13,True
1625,1.1349690989969576,-0.5240888562572081,-0.5240888562740853,1.687716633114178e-11,True
1626,2.0058230486377,-0.08038432085383213,-0.0803843208607713,6.939171459663385e-12,True
1627,2.210529052427907,-0.16213174808780195,-0.16213174808266118,5.140776693224325e-12,True
1628,1.6118187529330716,-0.2784466415951909,-0.2784466415994835,4.2926218135619365e-12,True
1629,3.9556131323971786,-0.015883250213224936,-0.015883250203962973,9.261962724549377e-12,True
1630,2.0260638449973487,-0.17389033813411567,-0.173890338173166,3.905031853435048e-11,True
1631,3.982714615359096,-0.005988426133048751,-0.005988426143854752,1.0806001059238124e-11,True
1632,0.2044197213505452,-0.8366187631990892,-0.8366187631975163,1.5729639812889218e-12,True
1633,3.649777529225351,-0.04637731889323801,-0.04637731888523788,8.000135276464704e-12,True
1634,1.9585578464750166,-0.1028237804769996,-0.10282378047898887,1.98926985994774e-12,True
1635,2.7972484555277064,-0.08513323705333153,-0.08513323704884,4.491532146211341e-12,True
1636,1.8532876685606885,-0.08883791917085207,-0.08883791917657645,5.724379303906346e-12,True
1637,0.288134054876072,-0.7658656410896449,-0.7658656411002606,1.061561949455836e-11,True
1638,3.0811625562999625,-0.020495502001255515,-0.02049550199556549,5.6900248401881015e-12,True
1639,1.9143543698782286,-0.1406606803149245,-0.1406606803144861,4.384270724244743e-13,True
1640,3.588446957022543,-0.04441104315492835,-0.044411043154113365,8.149869668017118e-13,True
1641,3.087490369755711,-0.054557094202305256,-0.05455709419788234,4.4229134243956025e-12,True
1642,0.9032944593180328,-0.7831602092540996,-0.7831602092389643,1.513522640550491e-11,True
1643,3.4504662527592647,-0.037645484095943815,-0.03764548409113111,4.812705789447591e-12,True
1644,3.8174985913958324,-0.02696173091517293,-0.02696173091454312,6.298087051881396e-13,True
1645,2.8050070152076585,-0.04403026497214217,-0.044030264967354064,4.78810741055824e-12,True
1646,0.21554451722977985,-1.005051518556353,-1.0050515185419662,1.4386936086907554e-11,True
1647,1.6001912584259834,-0.6424047037460872,-0.6424047037878466,4.175948475904079e-11,True
1648,0.16441281578986505,-1.1520088364047167,-1.152008836392826,1.1890710638340352e-11,True
1649,0.7233809524384138,-1.3461297271844777,-1.3461297271533113,3.116640279188232e-11,True
1650,0.865858054107347,-0.5321308618882867,-0.5321308618855269,2.759792394613214e-12,True
1651,3.7260600359296197,-0.10086178837466102,-0.10086178836576919,8.89183171537411e-12,True
1652,1.150999457758073,-0.41497473648412925,-0.4149747364956546,1.1525336240936213e-11,True
1653,0.7476261841062007,-0.4460163879385702,-0.44601638795604964,1.7479462322000927e-11,True
1654,3.8192436559022735,-0.07600226157106031,-0.07600226157311596,2.0556473190325164e-12,True
1655,1.4258320668445996,-0.16487438898565218,-0.16487438899703832,1.1386142029223834e-11,True
1656,0.8324590781340923,-0.7203072823581674,-0.720307282353616,4.551470311753292e-12,True
1657,3.536001248445165,-0.07717941834556774,-0.07717941832297015,2.25975904655229e-11,True
1658,3.8851621143240025,-0.028467421807349163,-0.02846742180873107,1.3819084765387402e-12,True
1659,1.1940475298167352,-0.3235638879150356,-0.3235638879217628,6.727229884262442e-12,True
1660,0.3470839287115297,-1.044132424179856,-1.0441324241466932,3.3162805834763276e-11,True
1661,3.1801877626934387,-0.08425912508776266,-0.08425912508824851,4.858474733637763e-13,True
1662,3.8819760852700136,-0.03745483409688738,-0.03745483410089179,4.004407916369246e-12,True
1663,2.335739413233849,-0.07817671377158264,-0.07817671379140023,1.9817592011861507e-11,True
1664,1.426242491657476,-0.2686989273484515,-0.26869892734704415,1.4073742171660797e-12,True
1665,3.7906004586825026,-0.06477092959102529,-0.06477092959755737,6.532080432108955e-12,True
1666,3.646100337136885,-0.012445296196292716,-0.012445296193597242,2.695474052294422e-12,True
1667,0.6968789052484033,-0.8397202446012761,-0.8397202445886708,1.2605361199291565e-11,True
1668,3.027557389749982,-0.02430599751958275,-0.024305997459173053,6.040969807719065e-11,True
1669,2.582777877511838,-0.049642482840518296,-0.04964248283556571,4.952586951656457e-12,True
1670,0.7605647485679916,-0.7702571590925535,-0.7702571590828543,9.699241410032755e-12,True
1671,1.782628604668385,-0.3380358825432839,-0.3380358825633145,2.0030588299135843e-11,True
1672,2.0722362050291303,-0.3559486184138355,-0.3559486184023796,1.1455891790745909e-11,True
1673,3.714041869529512,-0.06668187017617094,-0.0666818701755556,6.15341111398493e-13,True
1674,3.843356592152096,-0.03224707326171126,-0.03224707326721088,5.499621591464887e-12,True
1675,0.5716467813445559,-0.7090814905424001,-0.7090814905463815,3.981370788608274e-12,True
1676,0.49128580906505603,-0.8017697700425268,-0.8017697700479774,5.450639939397206e-12,True
1677,0.5877093304698568,-1.2618855941262554,-1.2618855940838003,4.245515050627091e-11,True
1678,2.066248086599354,-0.10713717560102147,-0.10713717558674672,1.4274748050269181e-11,True
1679,2.3833635741952106,-0.16739341105376393,-0.16739341108795713,3.4193203823917884e-11,True
1680,1.694009528523937,-0.31485658092754937,-0.3148565809185655,8.983869204115535e-12,True
1681,3.5978653529182845,-0.051718426844559164,-0.0517184268411519,3.4072605847867976e-12,True
1682,0.8157947273542205,-0.8489301066409318,-0.8489301066283427,1.2589151943132038e-11,True
1683,0.33421497031941433,-0.9859013892254642,-0.9859013892027367,2.2727486559404042e-11,True
1684,2.330482425784465,-0.09819660300905247,-0.09819660300447451,4.5779630086784096e-12,True
1685,0.41818438458701823,-0.7771014690166481,-0.7771014690127752,3.872901999102396e-12,True
1686,3.0468427345763547,-0.060887666144149546,-0.060887666142317436,1.832110851918145e-12,True
1687,3.103684300592971,-0.057792606009267014,-0.05779260601190827,2.641255270052767e-12,True
1688,0.9600310703785472,-1.0083025919885178,-1.0083025919538358,3.468203502166034e-11,True
1689,3.434784163139293,-0.05317504665748925,-0.05317504664370531,1.3783939267764111e-11,True
1690,0.9580881210459601,-0.7247391765668932,-0.7247391765663468,5.46451772720502e-13,True
1691,2.2681143719721333,-0.09666744191713288,-0.09666744191783037,6.974976152207546e-13,True
1692,1.5629773905177708,-0.4717166282797183,-0.4717166282808271,1.108835245844375e-12,True
1693,0.9847557375047155,-1.0116324279973354,-1.0116324279607625,3.6572966877201907e-11,True
1694,1.6170521179412025,-0.2718833492964252,-0.2718833493009498,4.524602914557363e-12,True
1695,1.6634714247850937,-0.3666053040959485,-0.3666053041140315,1.8083035069338393e-11,True
1696,0.5556476253154793,-0.982304267997477,-0.9823042679768522,2.0624835173066458e-11,True
1697,0.4127849719426958,-1.327874125925824,-1.327874125880979,4.484501658907902e-11,True
1698,0.8249459199318022,-0.7334916288874597,-0.733491628884808,2.651656672014724e-12,True
1699,1.8949724321917287,-0.23268231148908236,-0.2326823115184062,2.9323848904638794e-11,True
1700,0.2593661690476667,-0.8349310450060142,-0.8349310450100899,4.07562872339895e-12,True
1701,3.9873247871983994,-0.00983041967671271,-0.009830419689382808,1.2670097609968067e-11,True
1702,0.650854157930368,-0.5362327954844592,-0.536232795494973,1.0513812043200232e-11,True
1703,1.6739511986391296,-0.36180074684392316,-0.3618007468619843,1.8061163675753278e-11,True
1704,1.4506101785646663,-0.9205658007947488,-0.9205658008104577,1.5708878642328727e-11,True
1705,0.5586354243189923,-1.0889909214918632,-1.0889909214717441,2.0119017563047237e-11,True
1706,1.1635202150574093,-0.9707846021441905,-0.9707846021500542,5.863753926860227e-12,True
1707,1.2377395095273203,-1.1736995039479177,-1.1736995039202114,2.7706281713335557e-11,True
1708,1.0602122875104674,-1.0619008541444344,-1.061900854160136,1.5701662192668664e-11,True
1709,3.4534101210375097,-0.054733069089352264,-0.0547330690880976,1.2546630401288894e-12,True
1710,2.1313451597361177,-0.2705157774227635,-0.2705157774451905,2.2427004697789243e-11,True
1711,0.8693512313821088,-0.6866581461989895,-0.686658146187291,1.1698420010475274e-11,True
1712,0.32255772664373017,-0.8378728163381006,-0.8378728163421777,4.077072013330962e-12,True
1713,1.8171988794293998,-0.1973637951799738,-0.19736379517909516,8.786305016883489e-13,True
1714,1.711860974534477,-0.125725675792239,-0.12572567580360072,1.136171712268208e-11,True
1715,1.4270413967136422,-0.3614821474927282,-0.36148214749287527,1.4704903961160198e-13,True
1716,3.5656583742903627,-0.013810361396579764,-0.013810361387811552,8.76821185102905e-12,True
1717,0.9383073512172884,-0.3509929871122132,-0.35099298710816734,4.0458747463389955e-12,True
1718,0.5790659843110848,-0.7607358642418188,-0.7607358642414129,4.0589753780295723e-13,True
1719,2.1632365527437005,-0.296708261010696,-0.296708261016132,5.436040506623385e-12,True
1720,2.7545765291256603,-0.03323971608961059,-0.033239716090704974,1.0943815298425363e-12,True
1721,3.4163661755858445,-0.06701832183903658,-0.0670183218476339,8.597317302516672e-12,True
1722,1.789368897394322,-0.24913762801508796,-0.24913762800560232,9.485634500094875e-12,True
1723,2.9415258273628138,-0.10192165738851415,-0.10192165740274815,1.4234002865265438e-11,True
1724,0.4872343636034848,-0.8947423731067617,-0.8947423731059388,8.22897305852166e-13,True
1725,0.4731704121869934,-0.6552853188435989,-0.6552853188429575,6.413758413259529e-13,True
1726,0.8671755863547386,-0.8229984846808079,-0.822998484673043,7.764899834228345e-12,True
