sample_index,lambda_first,lambda_second,total_variation
168,0.5,2.0,0.5427233790087151
168,1.0,2.0,0.283703766555612
169,0.5,1.0,0.1659108215091536
169,0.5,2.0,0.38858253529226844
169,1.0,2.0,0.23251043322447423
170,0.5,1.0,0.2667591853252782
170,0.5,2.0,0.6458174555410178
170,1.0,2.0,0.3790582702157395
171,0.5,1.0,0.14595611860476845
171,0.5,2.0,0.36640541618216543
171,1.0,2.0,0.2274670115821069
172,0.5,1.0,0.17123563769023023
172,0.5,2.0,0.42044434398793196
172,1.0,2.0,0.24920870629770173
173,0.5,1.0,0.14997913126975682
173,0.5,2.0,0.3930827482363909
173,1.0,2.0,0.24310361696663413
174,0.5,1.0,0.18111750163915302
174,0.5,2.0,0.44193555085822733
174,1.0,2.0,0.26242959255597975
175,0.5,1.0,0.16153107074204048
175,0.5,2.0,0.41994919946800524
175,1.0,2.0,0.2771292074747491
176,0.5,1.0,0.13588372760860218
176,0.5,2.0,0.3185797135004088
176,1.0,2.0,0.1826959858918066
177,0.5,1.0,0.16154166015916033
177,0.5,2.0,0.38294810682192326
177,1.0,2.0,0.23489905230986627
178,0.5,1.0,0.186761657339046
178,0.5,2.0,0.4309046789677142
178,1.0,2.0,0.2441430216286682
179,0.5,1.0,0.18678108457294915
179,0.5,2.0,0.4120134150023549
179,1.0,2.0,0.22523233042940569
180,0.5,1.0,0.18701814350759122
180,0.5,2.0,0.3448792418989138
180,1.0,2.0,0.1915737344356358
181,0.5,1.0,0.16307266540416698
181,0.5,2.0,0.47501236505080896
181,1.0,2.0,0.3121102232808671
182,0.5,1.0,0.19061640873296085
182,0.5,2.0,0.41139138443884277
182,1.0,2.0,0.2207749757058819
183,0.5,1.0,0.22458364418272314
183,0.5,2.0,0.5086829515281182
183,1.0,2.0,0.284099307345395
184,0.5,1.0,0.13523370422215925
184,0.5,2.0,0.3380765068322832
184,1.0,2.0,0.21101794370141433
185,0.5,1.0,0.16470235025908114
185,0.5,2.0,0.41136966759580995
185,1.0,2.0,0.2649979309891853
186,0.5,1.0,0.2451319042051993
186,0.5,2.0,0.45966321343351313
186,1.0,2.0,0.21453130922831382
187,0.5,1.0,0.20459811795173063
187,0.5,2.0,0.3809718164428429
187,1.0,2.0,0.17637369849111229
188,0.5,1.0,0.2075316957220347
188,0.5,2.0,0.43961113362157855
188,1.0,2.0,0.2657341116584337
189,0.5,1.0,0.1717918873043839
189,0.5,2.0,0.41189832438604107
189,1.0,2.0,0.24010643708165716
190,0.5,1.0,0.2966093266725607
190,0.5,2.0,0.5489864268871177
190,1.0,2.0,0.25237710021455706
191,0.5,1.0,0.19260451762695313
191,0.5,2.0,0.42269223391216926
191,1.0,2.0,0.23008771628521615
192,0.5,1.0,0.21731142536187176
192,0.5,2.0,0.42091075912112474
192,1.0,2.0,0.203599333759253
193,0.5,1.0,0.14020215659200386
193,0.5,2.0,0.3155672472061417
193,1.0,2.0,0.17536509061413783
194,0.5,1.0,0.08222974542516448
194,0.5,2.0,0.19702801608775633
194,1.0,2.0,0.12084885500381781
195,0.5,1.0,0.10553926725113098
195,0.5,2.0,0.28011373144885765
195,1.0,2.0,0.17457446419772665
196,0.5,1.0,0.20176250174259816
196,0.5,2.0,0.3816918698128345
196,1.0,2.0,0.17992936807023632
197,0.5,1.0,0.13186115540896043
197,0.5,2.0,0.29960045299261207
197,1.0,2.0,0.16773929758365164
198,0.5,1.0,0.12924967713115423
198,0.5,2.0,0.2765585731458107
198,1.0,2.0,0.15923853605088303
