sample_index,lambda_first,lambda_second,total_variation
235,0.5,1.0,0.21918441972702551
235,0.5,2.0,0.45530257549860353
235,1.0,2.0,0.23611815577157805
236,0.5,1.0,0.22426152997772342
236,0.5,2.0,0.519738986464727
236,1.0,2.0,0.32034514859294794
237,0.5,1.0,0.17368491802275957
237,0.5,2.0,0.4149995108175764
237,1.0,2.0,0.26037743408420627
238,0.5,1.0,0.14501198199687146
238,0.5,2.0,0.3358346867392369
238,1.0,2.0,0.1945735133358726
239,0.5,1.0,0.17882294515175112
239,0.5,2.0,0.5014414455381594
239,1.0,2.0,0.33298173638815
240,0.5,1.0,0.1827026830586942
240,0.5,2.0,0.37012684158979026
240,1.0,2.0,0.22382040255473418
241,0.5,1.0,0.12976847284307014
241,0.5,2.0,0.2676634754649536
241,1.0,2.0,0.14527280925278344
242,0.5,1.0,0.14757170265841307
242,0.5,2.0,0.3723450466189246
242,1.0,2.0,0.22477334396051155
243,0.5,1.0,0.20642224043231372
