sample_index,function,relative_odds_error
109,logistic,1.2764756513706355e-16
110,exp_0_5,0.0
110,exp_1,0.0
110,exp_2,1.433796994554478e-16
110,asinh,1.8279059006002955e-16
110,logistic,0.0
111,exp_0_5,1.3454300080731183e-16
111,exp_1,1.6304669120285998e-16
111,exp_2,1.1972469910348146e-16
111,asinh,1.8523515323702065e-16
111,logistic,0.0
112,exp_0_5,0.0
112,exp_1,0.0
112,exp_2,0.0
112,asinh,1.2286946591417953e-16
112,logistic,2.0095029497242452e-16
113,exp_0_5,0.0
113,exp_1,0.0
113,exp_2,0.0
113,asinh,1.5105853440711108e-16
113,logistic,1.8900701977130788e-16
114,exp_0_5,0.0
114,exp_1,0.0
114,exp_2,0.0
114,asinh,1.5718746350066893e-16
114,logistic,1.8372668654289216e-16
115,exp_0_5,1.1287147169972613e-16
115,exp_1,0.0
115,exp_2,1.186058366733945e-16
115,asinh,1.7332104108799645e-16
115,logistic,1.4358661546743144e-16
116,exp_0_5,0.0
116,exp_1,0.0
116,exp_2,1.2079507564670197e-16
116,asinh,0.0
116,logistic,0.0
117,exp_0_5,0.0
117,exp_1,3.0675845018604807e-16
117,exp_2,0.0
117,asinh,1.455127183665958e-16
117,logistic,1.7588460931735852e-16
118,exp_0_5,0.0
118,exp_1,0.0
118,exp_2,0.0
118,asinh,0.0
118,logistic,2.04192408659884e-16
119,exp_0_5,0.0
119,exp_1,1.5024044856962022e-16
119,exp_2,0.0
119,asinh,0.0
119,logistic,0.0
120,exp_0_5,0.0
120,exp_1,0.0
120,exp_2,1.8516404644770365e-16
120,asinh,0.0
120,logistic,0.0
121,exp_0_5,0.0
121,exp_1,0.0
121,exp_2,0.0
121,asinh,0.0
121,logistic,0.0
122,exp_0_5,1.7250816248469484e-16
122,exp_1,1.3402291910624628e-16
122,exp_2,1.6178859965387563e-16
122,asinh,2.0616755370230207e-16
122,logistic,0.0
123,exp_0_5,1.331913841139099e-16
123,exp_1,1.597872176013338e-16
123,exp_2,1.1498570261320394e-16
123,asinh,1.3197255029581676e-16
123,logistic,2.4133238096515986e-16
124,exp_0_5,0.0
124,exp_1,0.0
124,exp_2,0.0
124,asinh,0.0
124,logistic,0.0
125,exp_0_5,0.0
125,exp_1,0.0
125,exp_2,1.162835671007693e-16
125,asinh,1.7311802304526502e-16
125,logistic,1.5096408843491177e-16
126,exp_0_5,1.2495364293343065e-16
126,exp_1,0.0
126,exp_2,0.0
126,asinh,0.0
126,logistic,1.2694485013171087e-16
127,exp_0_5,2.140063481203835e-16
127,exp_1,0.0
127,exp_2,0.0
127,asinh,1.2052654915982467e-16
127,logistic,1.6582709542966508e-16
128,exp_0_5,0.0
128,exp_1,1.3740505600594571e-16
128,exp_2,0.0
128,asinh,1.5757917561872916e-16
128,logistic,0.0
129,exp_0_5,1.4929176498317114e-16
129,exp_1,2.0075273703961864e-16
