sample_index,function,aggregation_error
131,asinh,1.1102230246251565e-16
131,logistic,1.1102230246251565e-16
132,exp_0_5,5.551115123125783e-17
132,exp_1,1.1102230246251565e-16
132,exp_2,0.0
132,asinh,0.0
132,logistic,5.551115123125783e-17
133,exp_0_5,1.1102230246251565e-16
133,exp_1,0.0
133,exp_2,1.1102230246251565e-16
133,asinh,1.1102230246251565e-16
133,logistic,0.0
134,exp_0_5,2.220446049250313e-16
134,exp_1,1.1102230246251565e-16
134,exp_2,0.0
134,asinh,1.1102230246251565e-16
134,logistic,0.0
135,exp_0_5,0.0
135,exp_1,0.0
135,exp_2,0.0
135,asinh,0.0
135,logistic,0.0
136,exp_0_5,5.551115123125783e-17
136,exp_1,1.1102230246251565e-16
136,exp_2,0.0
136,asinh,0.0
136,logistic,0.0
137,exp_0_5,0.0
137,exp_1,5.551115123125783e-17
137,exp_2,0.0
137,asinh,0.0
137,logistic,5.551115123125783e-17
138,exp_0_5,1.1102230246251565e-16
138,exp_1,0.0
138,exp_2,1.1102230246251565e-16
138,asinh,2.220446049250313e-16
138,logistic,1.1102230246251565e-16
139,exp_0_5,0.0
139,exp_1,0.0
139,exp_2,0.0
139,asinh,2.7755575615628914e-17
139,logistic,5.551115123125783e-17
140,exp_0_5,5.551115123125783e-17
140,exp_1,0.0
140,exp_2,0.0
140,asinh,0.0
140,logistic,5.551115123125783e-17
141,exp_0_5,5.551115123125783e-17
141,exp_1,2.7755575615628914e-17
141,exp_2,0.0
141,asinh,0.0
141,logistic,5.551115123125783e-17
142,exp_0_5,0.0
142,exp_1,1.6653345369377348e-16
142,exp_2,0.0
142,asinh,5.551115123125783e-17
142,logistic,5.551115123125783e-17
143,exp_0_5,1.1102230246251565e-16
143,exp_1,1.1102230246251565e-16
143,exp_2,0.0
143,asinh,0.0
143,logistic,5.551115123125783e-17
144,exp_0_5,1.1102230246251565e-16
144,exp_1,1.1102230246251565e-16
144,exp_2,0.0
144,asinh,0.0
144,logistic,2.220446049250313e-16
145,exp_0_5,2.7755575615628914e-17
145,exp_1,1.3877787807814457e-17
145,exp_2,0.0
145,asinh,2.7755575615628914e-17
145,logistic,2.7755575615628914e-17
146,exp_0_5,1.1102230246251565e-16
146,exp_1,1.1102230246251565e-16
146,exp_2,0.0
146,asinh,1.1102230246251565e-16
146,logistic,0.0
147,exp_0_5,1.1102230246251565e-16
147,exp_1,0.0
147,exp_2,0.0
147,asinh,1.1102230246251565e-16
147,logistic,0.0
148,exp_0_5,5.551115123125783e-17
148,exp_1,0.0
148,exp_2,1.3877787807814457e-17
148,asinh,2.7755575615628914e-17
148,logistic,1.1102230246251565e-16
149,exp_0_5,2.7755575615628914e-17
149,exp_1,0.0
149,exp_2,0.0
149,asinh,0.0
149,logistic,2.7755575615628914e-17
150,exp_0_5,5.551115123125783e-17
150,exp_1,1.1102230246251565e-16
150,exp_2,0.0
150,asinh,0.0
150,logistic,5.551115123125783e-17
151,exp_0_5,0.0
151,exp_1,0.0
151,exp_2,2.220446049250313e-16
151,asinh,1.1102230246251565e-16
151,logistic,1.1102230246251565e-16
152,exp_0_5,5.551115123125783e-17
152,exp_1,0.0
152,exp_2,0.0
152,asinh,5.551115123125783e-17
152,logistic,5.551115123125783e-17
153,exp_0_5,0.0
153,exp_1,0.0
153,exp_2,1.3877787807814457e-17
153,asinh,0.0
153,logistic,5.551115123125783e-17
154,exp_0_5,1.1102230246251565e-16
154,exp_1,2.7755575615628914e-17
154,exp_2,2.7755575615628914e-17
154,asinh,5.551115123125783e-17
154,logistic,1.1102230246251565e-16
155,exp_0_5,1.1102230246251565e-16
155,exp_1,1.1102230246251565e-16
155,exp_2,1.1102230246251565e-16
155,asinh,0.0
155,logistic,0.0
156,exp_0_5,5.551115123125783e-17
156,exp_1,0.0
156,exp_2,2.7755575615628914e-17
156,asinh,5.551115123125783e-17
156,logistic,5.551115123125783e-17
157,exp_0_5,5.551115123125783e-17
157,exp_1,5.551115123125783e-17
157,exp_2,0.0
157,asinh,1.1102230246251565e-16
157,logistic,1.1102230246251565e-16
158,exp_0_5,0.0
158,exp_1,0.0
158,exp_2,0.0
158,asinh,1.1102230246251565e-16
158,logistic,0.0
159,exp_0_5,1.1102230246251565e-16
159,exp_1,0.0
159,exp_2,0.0
159,asinh,0.0
159,logistic,1.1102230246251565e-16
160,exp_0_5,1.1102230246251565e-16
160,exp_1,5.551115123125783e-17
160,exp_2,5.551115123125783e-17
160,asinh,0.0
160,logistic,5.551115123125783e-17
161,exp_0_5,0.0
161,exp_1,0.0
161,exp_2,0.0
161,asinh,0.0
161,logistic,0.0
162,exp_0_5,5.551115123125783e-17
162,exp_1,0.0
162,exp_2,5.551115123125783e-17
162,asinh,1.1102230246251565e-16
162,logistic,1.1102230246251565e-16
163,exp_0_5,1.1102230246251565e-16
163,exp_1,1.1102230246251565e-16
163,exp_2,1.1102230246251565e-16
163,asinh,0.0
163,logistic,1.1102230246251565e-16
164,exp_0_5,1.1102230246251565e-16
164,exp_1,0.0
164,exp_2,6.938893903907228e-18
164,asinh,0.0
164,logistic,5.551115123125783e-17
165,exp_0_5,1.1102230246251565e-16
165,exp_1,0.0
165,exp_2,0.0
165,asinh,1.1102230246251565e-16
165,logistic,0.0
166,exp_0_5,2.7755575615628914e-17
166,exp_1,0.0
166,exp_2,0.0
166,asinh,2.7755575615628914e-17
166,logistic,2.7755575615628914e-17
167,exp_0_5,1.1102230246251565e-16
167,exp_1,0.0
167,exp_2,1.1102230246251565e-16
167,asinh,0.0
167,logistic,5.551115123125783e-17
168,exp_0_5,5.551115123125783e-17
168,exp_1,5.551115123125783e-17
