copula,marginal,permutation_code,count,probability
independence,uniform,358,123,0.00123
independence,uniform,359,149,0.00149
independence,uniform,360,118,0.00118
independence,uniform,361,138,0.00138
independence,uniform,362,148,0.00148
independence,uniform,363,134,0.00134
independence,uniform,364,147,0.00147
independence,uniform,365,160,0.0016
independence,uniform,366,143,0.00143
independence,uniform,367,128,0.00128
independence,uniform,368,154,0.00154
independence,uniform,369,133,0.00133
independence,uniform,370,137,0.00137
independence,uniform,371,124,0.00124
independence,uniform,372,138,0.00138
independence,uniform,373,138,0.00138
independence,uniform,374,164,0.00164
independence,uniform,375,128,0.00128
independence,uniform,376,133,0.00133
independence,uniform,377,143,0.00143
independence,uniform,378,137,0.00137
independence,uniform,379,139,0.00139
independence,uniform,380,124,0.00124
independence,uniform,381,137,0.00137
independence,uniform,382,143,0.00143
independence,uniform,383,151,0.00151
independence,uniform,384,132,0.00132
independence,uniform,385,152,0.00152
independence,uniform,386,155,0.00155
independence,uniform,387,143,0.00143
independence,uniform,388,140,0.0014
independence,uniform,389,144,0.00144
independence,uniform,390,157,0.00157
independence,uniform,391,130,0.0013
independence,uniform,392,128,0.00128
independence,uniform,393,132,0.00132
independence,uniform,394,159,0.00159
independence,uniform,395,128,0.00128
independence,uniform,396,127,0.00127
independence,uniform,397,156,0.00156
independence,uniform,398,156,0.00156
independence,uniform,399,151,0.00151
independence,uniform,400,127,0.00127
independence,uniform,401,108,0.00108
independence,uniform,402,152,0.00152
independence,uniform,403,136,0.00136
independence,uniform,404,122,0.00122
independence,uniform,405,128,0.00128
independence,uniform,406,127,0.00127
independence,uniform,407,134,0.00134
independence,uniform,408,137,0.00137
independence,uniform,409,144,0.00144
independence,uniform,410,132,0.00132
independence,uniform,411,142,0.00142
independence,uniform,412,140,0.0014
independence,uniform,413,128,0.00128
independence,uniform,414,146,0.00146
independence,uniform,415,128,0.00128
independence,uniform,416,157,0.00157
independence,uniform,417,130,0.0013
independence,uniform,418,141,0.00141
independence,uniform,419,132,0.00132
independence,uniform,420,147,0.00147
independence,uniform,421,113,0.00113
independence,uniform,422,144,0.00144
independence,uniform,423,136,0.00136
independence,uniform,424,153,0.00153
independence,uniform,425,140,0.0014
independence,uniform,426,130,0.0013
independence,uniform,427,149,0.00149
independence,uniform,428,122,0.00122
independence,uniform,429,142,0.00142
independence,uniform,430,146,0.00146
independence,uniform,431,135,0.00135
independence,uniform,432,150,0.0015
independence,uniform,433,113,0.00113
independence,uniform,434,131,0.00131
independence,uniform,435,140,0.0014
independence,uniform,436,132,0.00132
independence,uniform,437,148,0.00148
independence,uniform,438,136,0.00136
independence,uniform,439,133,0.00133
independence,uniform,440,146,0.00146
independence,uniform,441,123,0.00123
independence,uniform,442,129,0.00129
independence,uniform,443,122,0.00122
independence,uniform,444,123,0.00123
independence,uniform,445,127,0.00127
independence,uniform,446,143,0.00143
independence,uniform,447,148,0.00148
independence,uniform,448,151,0.00151
independence,uniform,449,129,0.00129
independence,uniform,450,157,0.00157
independence,uniform,451,143,0.00143
independence,uniform,452,148,0.00148
independence,uniform,453,158,0.00158
independence,uniform,454,131,0.00131
independence,uniform,455,136,0.00136
independence,uniform,456,132,0.00132
independence,uniform,457,126,0.00126
independence,uniform,458,151,0.00151
independence,uniform,459,149,0.00149
independence,uniform,460,137,0.00137
independence,uniform,461,141,0.00141
independence,uniform,462,112,0.00112
independence,uniform,463,137,0.00137
independence,uniform,464,134,0.00134
independence,uniform,465,138,0.00138
independence,uniform,466,122,0.00122
independence,uniform,467,130,0.0013
independence,uniform,468,126,0.00126
independence,uniform,469,127,0.00127
independence,uniform,470,148,0.00148
independence,uniform,471,142,0.00142
independence,uniform,472,135,0.00135
independence,uniform,473,122,0.00122
independence,uniform,474,119,0.00119
independence,uniform,475,124,0.00124
independence,uniform,476,128,0.00128
independence,uniform,477,146,0.00146
independence,uniform,478,159,0.00159
independence,uniform,479,168,0.00168
independence,uniform,480,146,0.00146
independence,uniform,481,145,0.00145
independence,uniform,482,131,0.00131
independence,uniform,483,135,0.00135
independence,uniform,484,149,0.00149
independence,uniform,485,129,0.00129
independence,uniform,486,142,0.00142
independence,uniform,487,126,0.00126
independence,uniform,488,125,0.00125
independence,uniform,489,128,0.00128
independence,uniform,490,136,0.00136
independence,uniform,491,133,0.00133
independence,uniform,492,148,0.00148
independence,uniform,493,140,0.0014
independence,uniform,494,125,0.00125
independence,uniform,495,122,0.00122
independence,uniform,496,134,0.00134
independence,uniform,497,151,0.00151
independence,uniform,498,145,0.00145
independence,uniform,499,155,0.00155
independence,uniform,500,140,0.0014
independence,uniform,501,141,0.00141
independence,uniform,502,127,0.00127
independence,uniform,503,156,0.00156
independence,uniform,504,133,0.00133
independence,uniform,505,151,0.00151
independence,uniform,506,134,0.00134
independence,uniform,507,146,0.00146
independence,uniform,508,127,0.00127
independence,uniform,509,128,0.00128
independence,uniform,510,148,0.00148
independence,uniform,511,111,0.00111
independence,uniform,512,137,0.00137
independence,uniform,513,145,0.00145
independence,uniform,514,135,0.00135
independence,uniform,515,134,0.00134
independence,uniform,516,147,0.00147
independence,uniform,517,142,0.00142
independence,uniform,518,135,0.00135
independence,uniform,519,163,0.00163
independence,uniform,520,145,0.00145
independence,uniform,521,135,0.00135
independence,uniform,522,122,0.00122
independence,uniform,523,148,0.00148
independence,uniform,524,148,0.00148
independence,uniform,525,147,0.00147
independence,uniform,526,134,0.00134
independence,uniform,527,155,0.00155
independence,uniform,528,111,0.00111
independence,uniform,529,142,0.00142
independence,uniform,530,136,0.00136
independence,uniform,531,159,0.00159
independence,uniform,532,136,0.00136
independence,uniform,533,150,0.0015
independence,uniform,534,126,0.00126
independence,uniform,535,135,0.00135
independence,uniform,536,142,0.00142
independence,uniform,537,141,0.00141
independence,uniform,538,143,0.00143
independence,uniform,539,132,0.00132
independence,uniform,540,132,0.00132
independence,uniform,541,155,0.00155
independence,uniform,542,137,0.00137
independence,uniform,543,150,0.0015
independence,uniform,544,146,0.00146
independence,uniform,545,138,0.00138
independence,uniform,546,150,0.0015
independence,uniform,547,116,0.00116
independence,uniform,548,142,0.00142
independence,uniform,549,144,0.00144
independence,uniform,550,120,0.0012
independence,uniform,551,130,0.0013
independence,uniform,552,141,0.00141
independence,uniform,553,144,0.00144
independence,uniform,554,146,0.00146
independence,uniform,555,153,0.00153
independence,uniform,556,125,0.00125
independence,uniform,557,150,0.0015
independence,uniform,558,145,0.00145
independence,uniform,559,138,0.00138
independence,uniform,560,141,0.00141
independence,uniform,561,128,0.00128
independence,uniform,562,130,0.0013
independence,uniform,563,144,0.00144
independence,uniform,564,142,0.00142
independence,uniform,565,137,0.00137
independence,uniform,566,146,0.00146
independence,uniform,567,136,0.00136
independence,uniform,568,140,0.0014
independence,uniform,569,145,0.00145
independence,uniform,570,121,0.00121
independence,uniform,571,143,0.00143
independence,uniform,572,126,0.00126
independence,uniform,573,137,0.00137
independence,uniform,574,151,0.00151
independence,uniform,575,137,0.00137
independence,uniform,576,128,0.00128
independence,uniform,577,126,0.00126
independence,uniform,578,155,0.00155
independence,uniform,579,159,0.00159
independence,uniform,580,168,0.00168
independence,uniform,581,130,0.0013
independence,uniform,582,130,0.0013
