n,sample_index,order_derived_q_identical,silent_kernel_identical_for_distinct_q,global_gauge_probability_error,row_gauge_probability_error,relabel_equivariance_error,outside_locality_row_error,local_contrast_total_variation,local_log_odds_shift_error,beta_q_scale_degeneracy_error
16,35,True,True,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.1470398372908488,8.881784197001252e-16,1.1102230246251565e-16
16,36,True,True,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,0.0,0.3246909345584053,4.440892098500626e-16,5.551115123125783e-17
16,37,True,True,3.3306690738754696e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3738192596873906,0.0,2.220446049250313e-16
16,38,True,True,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.4112911255086936,0.0,2.220446049250313e-16
16,39,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3922674994681695,4.440892098500626e-16,1.1102230246251565e-16
16,40,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.361086287088237,4.440892098500626e-16,1.1102230246251565e-16
16,41,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.4873776797328182,4.440892098500626e-16,1.1102230246251565e-16
16,42,True,True,5.551115123125783e-17,2.220446049250313e-16,5.551115123125783e-17,0.0,0.4766867283633344,0.0,1.1102230246251565e-16
16,43,True,True,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.33096297900569477,0.0,1.1102230246251565e-16
16,44,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3459637662200743,0.0,1.1102230246251565e-16
16,45,True,True,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.0,0.37727544454232875,0.0,5.551115123125783e-17
16,46,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.5114197979201436,4.440892098500626e-16,5.551115123125783e-17
16,47,True,True,1.1102230246251565e-16,1.6653345369377348e-16,5.551115123125783e-17,0.0,0.38259232436430485,0.0,5.551115123125783e-17
