split,family,label_manifold,dimension_target,sample_index,null_probability,target_ordering_fraction,ordering_fraction_mismatch,n,ordering_fraction,d_mm,d_lc,r2_lc,d_mid,mad_mid,branch_excess,usable_reg_fraction,usable_mid_fraction,number_comparable_pairs,number_regression_intervals,number_midpoint_intervals,abs_d_lc_minus_d_mm,abs_d_mid_minus_d_mm
train,transitive_percolation,0,3,9,0.06834406134705129,0.22767857142857142,0.0421626984126984,64,0.2698412698412698,2.793658717882064,2.0975043168948337,0.5590872151200537,2.0874628412503395,0.08746284125033954,0.3484848484848485,0.10294117647058823,0.0055147058823529415,544,56,3,0.6961544009872305,0.7061958766317247
train,three_layer,0,3,0,0.22168226057330478,0.21726190476190477,0.004960317460317443,64,0.2222222222222222,3.0347929737119688,,,,,,0.0,0.0,448,0,0,,
train,three_layer,0,3,1,0.186523985389171,0.21478174603174602,0.013392857142857123,64,0.2013888888888889,3.155899568663058,,,,,,0.0,0.0,406,0,0,,
train,three_layer,0,3,2,0.2239187244242039,0.20734126984126985,0.0009920634920635163,64,0.20634920634920634,3.126031343010694,,,,,,0.0,0.0,416,0,0,,
train,three_layer,0,3,3,0.2626482428026923,0.2534722222222222,0.001984126984126977,64,0.25148809523809523,2.881512977835819,,,,,0.6458333333333333,0.011834319526627219,0.0,507,6,0,,
train,three_layer,0,3,4,0.17055753046680164,0.1939484126984127,0.0029761904761904934,64,0.1909722222222222,3.220947836950555,,,,,,0.0,0.0,385,0,0,,
train,three_layer,0,3,5,0.17645692546936487,0.16964285714285715,0.005456349206349187,64,0.17509920634920634,3.3268193304189566,,,,,,0.0,0.0,353,0,0,,
train,three_layer,0,3,6,0.21750451356475972,0.22371031746031747,0.018849206349206366,64,0.2048611111111111,3.1349202074207083,,,,,,0.0,0.0,413,0,0,,
train,three_layer,0,3,7,0.2617605071847994,0.24950396825396826,0.0024801587301587213,64,0.24702380952380953,2.9037825088249725,,,,,0.625,0.012048192771084338,0.0,498,6,0,,
train,three_layer,0,3,8,0.26400766512857393,0.25297619047619047,0.005952380952380987,64,0.25892857142857145,2.8452013399991314,,,,,0.625,0.01532567049808429,0.0,522,8,0,,
train,three_layer,0,3,9,0.2528966623505627,0.22767857142857142,0.0004960317460317443,64,0.22817460317460317,3.002147890803604,,,,,0.625,0.008695652173913044,0.0,460,4,0,,
test,minkowski,1,2,0,,0.4861842105263158,0.0,96,0.4861842105263158,2.0372850309878845,1.9665184986307733,0.8099168398921928,1.8744691179161412,0.12553088208385876,0.5909090909090909,0.5182679296346414,0.2796571944068561,2217,1149,620,0.07076653235711117,0.16281591307174326
test,minkowski,1,2,1,,0.48771929824561405,0.0,96,0.48771929824561405,2.0330977426158445,2.0484134123842583,0.7993860527886169,1.841302253980942,0.15324626029568233,0.5555555555555556,0.512589928057554,0.26258992805755393,2224,1140,584,0.015315669768413809,0.19179548863490248
test,minkowski,1,2,2,,0.5164473684210527,0.0,96,0.5164473684210527,1.956742258249511,2.0034078433212046,0.8320705290971004,1.925999418556223,0.15200309344505003,0.5555555555555556,0.5235668789808917,0.26963906581740976,2355,1233,635,0.046665585071693494,0.03074283969328806
test,minkowski,1,2,3,,0.4570175438596491,0.0,96,0.4570175438596491,2.1190927344507093,1.8952173914204242,0.8315618956606807,1.7914133781885828,0.20645087746742652,0.5294117647058824,0.5081573896353166,0.2629558541266795,2084,1059,548,0.2238753430302851,0.3276793562621265
test,minkowski,1,2,4,,0.48903508771929827,0.0,96,0.48903508771929827,2.0295176317910526,1.837018481740421,0.8705329577395093,1.7776075786635521,0.12553088208385876,0.5384615384615384,0.5439461883408072,0.27443946188340806,2230,1213,612,0.19249915005063167,0.2519100531275005
test,minkowski,1,2,5,,0.4774122807017544,0.0,96,0.4774122807017544,2.0614327924387266,2.2992914963835407,0.7996588189187464,1.9385994553358568,0.16099187667230463,0.5789473684210527,0.4997703261368856,0.25264124942581534,2177,1088,550,0.23785870394481412,0.12283333710286981
test,minkowski,1,2,6,,0.4964912280701754,0.0,96,0.4964912280701754,2.0093848818574878,1.9580036503155513,0.8148629382092918,1.7655347463629771,0.17306470897287962,0.5,0.5234098939929329,0.2787102473498233,2264,1185,631,0.05138123154193641,0.24385013549451062
test,minkowski,1,2,7,,0.5239035087719298,0.0,96,0.5239035087719298,1.937515918788298,2.0579349668121933,0.8420353827335368,1.8624964762500653,0.14628944225065643,0.5714285714285714,0.5299288405190457,0.29259104227710336,2389,1266,699,0.12041904802389536,0.07501944253823267
test,minkowski,1,2,8,,0.5328947368421053,0.0,96,0.5328947368421053,1.9146358242738006,1.8748667018914622,0.7654060788128789,1.8073549220576042,0.15527822547791081,0.5384615384615384,0.5555555555555556,0.30534979423868314,2430,1350,742,0.03976912238233843,0.10728090221619646
test,minkowski,1,2,9,,0.48530701754385963,0.0,96,0.48530701754385963,2.039682867402795,1.9663585097960052,0.8210544189664967,1.84799690655495,0.15200309344505003,0.5384615384615384,0.5155896972435607,0.26208766380478987,2213,1141,580,0.07332435760678968,0.19168596084784495
test,minkowski,1,2,10,,0.47171052631578947,0.0,96,0.47171052631578947,2.0773346997781803,1.9081576846179968,0.8180542869404834,1.84799690655495,0.15200309344505003,0.5,0.5104602510460251,0.24407252440725244,2151,1098,525,0.16917701516018346,0.22933779322323034
test,minkowski,1,2,11,,0.5241228070175439,0.0,96,0.5241228070175439,1.9369539460116114,1.9772187871341018,0.8524038055876375,1.8744691179161412,0.15826208391673235,0.5625,0.5418410041841004,0.2849372384937239,2390,1295,681,0.0402648411224904,0.06248482809547018
test,minkowski,1,2,12,,0.47982456140350876,0.0,96,0.47982456140350876,2.054754335906601,1.979656791859115,0.79112355044659,1.7369655941662063,0.15200309344505003,0.5555555555555556,0.5251371115173674,0.27239488117001825,2188,1149,596,0.07509754404748614,0.31778874174039484
test,minkowski,1,2,13,,0.5118421052631579,0.0,96,0.5118421052631579,1.9687350437157738,2.0658028863437896,0.8192873661184147,1.8314825063612148,0.15341060124857697,0.5625,0.5377035132819195,0.28963153384747214,2334,1255,676,0.09706784262801582,0.137252537354559
test,minkowski,1,2,14,,0.5013157894736842,0.0,96,0.5013157894736842,1.9964951610899484,2.0620152987918723,0.8092087902022971,1.925999418556223,0.1246266545137451,0.5714285714285714,0.520997375328084,0.2804024496937883,2286,1191,641,0.06552013770192389,0.07049574253372537
test,minkowski,1,2,15,,0.47960526315789476,0.0,96,0.47960526315789476,2.055360271443167,1.978413469757651,0.8799207477015399,1.8365012677171209,0.16349873228287914,0.5833333333333334,0.5121170553269319,0.27434842249657065,2187,1120,600,0.07694680168551593,0.21885900372604605
test,minkowski,1,2,16,,0.5471491228070176,0.0,96,0.5471491228070176,1.8790178440385081,1.9083543941726189,0.8853442676895735,1.8073549220576042,0.12928301694496636,0.5625,0.558316633266533,0.324248496993988,2495,1393,809,0.02933655013411074,0.07166292198090396
test,minkowski,1,2,17,,0.5153508771929824,0.0,96,0.5153508771929824,1.9595894368852993,2.1189053398918687,0.8323311205129243,1.8073549220576042,0.14017765804826054,0.5714285714285714,0.5434042553191489,0.2902127659574468,2350,1277,682,0.1593159030065694,0.15223451482769512
test,minkowski,1,2,18,,0.48333333333333334,0.0,96,0.48333333333333334,2.0450916462697006,1.9486614280631762,0.8019310468379768,1.8602387356888188,0.1397612643111812,0.5333333333333333,0.5086206896551724,0.2604355716878403,2204,1121,574,0.09643021820652442,0.18485291058088182
test,minkowski,1,2,19,,0.5239035087719298,0.0,96,0.5239035087719298,1.937515918788298,1.8737330043168985,0.8314988020900425,1.8744691179161412,0.15301161850596579,0.5454545454545454,0.5353704478861449,0.289242360820427,2389,1279,691,0.0637829144713995,0.06304680087215675
test,minkowski,1,3,0,,0.20548245614035088,0.0,96,0.20548245614035088,3.13120135235147,2.15767452496038,0.664234586443071,2.3692338096657193,0.13326653086346418,0.6,0.18783351120597652,0.03735325506937033,937,176,35,0.97352682739109,0.7619675426857508
test,minkowski,1,3,1,,0.2493421052631579,0.0,96,0.2493421052631579,2.892171657011838,3.119700057123289,0.4905086687077713,2.523561956057013,0.20163386116965087,0.6,0.1882145998240985,0.06156552330694811,1137,214,70,0.22752840011145103,0.36860970095482504
test,minkowski,1,3,2,,0.23399122807017544,0.0,96,0.23399122807017544,2.9710082884052893,2.7282418649045184,0.6422277806185459,2.523561956057013,0.20163386116965087,0.6,0.18275538894095594,0.04967197750702906,1067,195,53,0.24276642350077093,0.44744633234827624
test,minkowski,1,3,3,,0.1756578947368421,0.0,96,0.1756578947368421,3.32294133104,4.263490108682968,0.2411151615641327,2.700439718141092,0.17687776208407913,0.6,0.11860174781523096,0.02372034956304619,801,95,19,0.9405487776429684,0.6225016128989078
test,minkowski,1,3,4,,0.20592105263157895,0.0,96,0.20592105263157895,3.1285826439672615,3.9905724405797183,0.4293899373454624,2.681702365431761,0.22227074679446357,0.6201923076923077,0.13631522896698617,0.029818956336528223,939,128,28,0.8619897966124568,0.4468802785355006
test,minkowski,1,3,5,,0.21754385964912282,0.0,96,0.21754385964912282,3.061031136510643,2.62125541510718,0.6290350342157878,2.415037499278844,0.16992500144231215,0.5916666666666667,0.1875,0.05141129032258065,992,186,51,0.4397757214034632,0.6459936372317991
test,minkowski,1,3,6,,0.2225877192982456,0.0,96,0.2225877192982456,3.032764984893133,2.8140084359811692,0.5953135520110338,2.37851162325373,0.24100809950379487,0.6,0.18817733990147784,0.05024630541871921,1015,191,51,0.21875654891196383,0.6542533616394031
test,minkowski,1,3,7,,0.23684210526315788,0.0,96,0.23684210526315788,2.956009269047665,3.6504315988526645,0.5156539952586601,2.584962500721156,0.16992500144231215,0.6428571428571429,0.17685185185185184,0.062037037037037036,1080,191,67,0.6944223298049996,0.37104676832650885
test,minkowski,1,3,8,,0.2918859649122807,0.0,96,0.2918859649122807,2.6951671352839135,3.4664672862575623,0.5311022062769946,2.5025003405291835,0.23446525363702264,0.6,0.20736288504883546,0.07137490608564989,1331,276,95,0.7713001509736488,0.19266679475473003
test,minkowski,1,3,9,,0.2361842105263158,0.0,96,0.2361842105263158,2.9594555555284794,3.512911028934062,0.4361147000697113,2.446195512956702,0.13876698776445417,0.6,0.1764159702878366,0.03899721448467967,1077,190,42,0.5534554734055828,0.5132600425717775
test,minkowski,1,3,10,,0.1787280701754386,0.0,96,0.1787280701754386,3.301836811531197,5.209222647188976,0.2014863627761816,2.807354922057604,0.2223924213364481,0.6,0.10306748466257669,0.020858895705521473,815,84,17,1.9073858356577786,0.49448188947359295
test,minkowski,1,3,11,,0.26666666666666666,0.0,96,0.26666666666666666,2.8084506721774636,3.4082020383515257,0.41858437966632234,2.584962500721156,0.181285039692354,0.5833333333333334,0.19407894736842105,0.054276315789473686,1216,236,66,0.5997513661740621,0.2234881714563075
test,minkowski,1,3,12,,0.2771929824561403,0.0,96,0.2771929824561403,2.7600125621446567,3.2481442691404974,0.3571551687231467,2.632268215499513,0.310340120612151,0.6666666666666666,0.22072784810126583,0.07832278481012658,1264,279,99,0.48813170699584063,0.12774434664514356
