sample_index,epsilon,base_weighted_sd,total_variation,nonincreasing_from_previous
40,0.1,0.8865452029230042,0.037895458345114194,True
40,0.01,0.8865452029230042,0.0039478348685696545,True
40,0.001,0.8865452029230042,0.00039644993413134123,True
40,0.0001,0.8865452029230042,3.96617461493086e-05,True
40,1e-05,0.8865452029230042,3.966342231028612e-06,True
40,1e-06,0.8865452029230042,3.9663589929994107e-07,True
41,0.1,0.9715678692944639,0.029573899472032126,True
41,0.01,0.9715678692944639,0.0030455305007139203,True
41,0.001,0.9715678692944639,0.0003054665725906935,True
41,0.0001,0.9715678692944639,3.0555825852405384e-05,True
41,1e-05,0.9715678692944639,3.0556743046430227e-06,True
41,1e-06,0.9715678692944639,3.0556834764013757e-07,True
42,0.1,0.9362258912926935,0.005576221358969644,True
42,0.01,0.9362258912926935,0.0005634867633607574,True
42,0.001,0.9362258912926935,5.640798683366424e-05,True
42,0.0001,0.9362258912926935,5.64139245930813e-06,True
42,1e-05,0.9362258912926935,5.641451843318935e-07,True
42,1e-06,0.9362258912926935,5.641457789622989e-08,True
43,0.1,1.1312042411860432,0.02129278627653447,True
43,0.01,1.1312042411860432,0.0021776436474607325,True
43,0.001,1.1312042411860432,0.00021826170085623544,True
43,0.0001,1.1312042411860432,2.1831157544858054e-05,True
43,1e-05,1.1312042411860432,2.18316564314218e-06,True
43,1e-06,1.1312042411860432,2.183170631893967e-07,True
44,0.1,1.3012757214897943,0.012263252105501344,True
44,0.01,1.3012757214897943,0.0012496570579572336,True
44,0.001,1.3012757214897943,0.00012520365249900313,True
44,0.0001,1.3012757214897943,1.2522749437987566e-05,True
44,1e-05,1.3012757214897943,1.2522987904758075e-06,True
44,1e-06,1.3012757214897943,1.252301175501e-07,True
45,0.1,1.2727762716468634,0.08115342107632273,True
45,0.01,1.2727762716468634,0.008868050635114165,True
45,0.001,1.2727762716468634,0.00089521808745226,True
45,0.0001,1.2727762716468634,8.960693644958484e-05,True
45,1e-05,1.2727762716468634,8.961545932115623e-06,True
45,1e-06,1.2727762716468634,8.961631170640149e-07,True
46,0.1,0.9520242730181896,0.01665950648148632,True
46,0.01,0.9520242730181896,0.001691266474711699,True
46,0.001,0.9520242730181896,0.00016938418508086027,True
46,0.0001,0.9520242730181896,1.694099834276042e-05,True
46,1e-05,0.9520242730181896,1.694125637105074e-06,True
46,1e-06,0.9520242730181896,1.6941282180263314e-07,True
47,0.1,0.8200696516411577,0.00378194471679462,True
47,0.01,0.8200696516411577,0.0003882837948785462,True
47,0.001,0.8200696516411577,3.8932597518188356e-05,True
47,0.0001,0.8200696516411577,3.8943053746386835e-06,True
47,1e-05,0.8200696516411577,3.8944099719171017e-07,True
47,1e-06,0.8200696516411577,3.8944204380812586e-08,True
48,0.1,0.6941153536092494,0.02091331062762052,True
48,0.01,0.6941153536092494,0.00213255909215862,True
48,0.001,0.6941153536092494,0.0002136770584095146,True
48,0.0001,0.6941153536092494,2.1371926393195122e-05,True
48,1e-05,0.6941153536092494,2.1372348538594472e-06,True
48,1e-06,0.6941153536092494,2.1372390759218717e-07,True
49,0.1,0.803881373956613,0.005549647314985044,True
49,0.01,0.803881373956613,0.0005656684317058187,True
49,0.001,0.803881373956613,5.667753354137499e-05,True
49,0.0001,0.803881373956613,5.668864131645198e-06,True
49,1e-05,0.803881373956613,5.668975248036116e-07,True
49,1e-06,0.803881373956613,5.6689863575392994e-08,True
50,0.1,1.1205176769292198,0.003680569680084459,True
50,0.01,1.1205176769292198,0.0003765798902833126,True
50,0.001,1.1205176769292198,3.7746225083684093e-05,True
50,0.0001,1.1205176769292198,3.7755080079361315e-06,True
50,1e-05,1.1205176769292198,3.7755965887999156e-07,True
50,1e-06,1.1205176769292198,3.775605446019192e-08,True
51,0.1,0.7762147126853098,0.02027706101720347,True
51,0.01,0.7762147126853098,0.0020648146779715906,True
51,0.001,0.7762147126853098,0.00020686007637592382,True
51,0.0001,0.7762147126853098,2.0689801402607024e-05,True
51,1e-05,0.7762147126853098,2.06901808561899e-06,True
51,1e-06,0.7762147126853098,2.0690218799628097e-07,True
52,0.1,0.9480022800914123,0.07301684697513386,True
52,0.01,0.9480022800914123,0.007935696318254321,True
52,0.001,0.9480022800914123,0.000800616147297186,True
52,0.0001,0.9480022800914123,8.013287018793985e-05,True
52,1e-05,0.9480022800914123,8.014000373163207e-06,True
52,1e-06,0.9480022800914123,8.014071715934039e-07,True
53,0.1,1.111851996252662,0.007986120777866097,True
53,0.01,1.111851996252662,0.0008103526537341328,True
53,0.001,1.111851996252662,8.115402847975763e-05,True
53,0.0001,1.111851996252662,8.11659183684859e-06,True
53,1e-05,1.111851996252662,8.116710748862837e-07,True
53,1e-06,1.111851996252662,8.116722634577047e-08,True
54,0.1,1.277781734776838,0.002054657897041617,True
54,0.01,1.277781734776838,0.00020620908435957418,True
54,0.001,1.277781734776838,2.0628346233393386e-05,True
54,0.0001,1.277781734776838,2.0629090058465274e-06,True
54,1e-05,1.277781734776838,2.0629164440764425e-07,True
54,1e-06,1.277781734776838,2.06291718396973e-08,True
55,0.1,1.0503489645485027,0.006038887785089044,True
55,0.01,1.0503489645485027,0.0006113482007914036,True
55,0.001,1.0503489645485027,6.121029372467757e-05,True
55,0.0001,1.0503489645485027,6.121784998684186e-06,True
55,1e-05,1.0503489645485027,6.121860568994646e-07,True
55,1e-06,1.0503489645485027,6.12186811548756e-08,True
56,0.1,1.4283933959675439,0.022774647581051684,True
56,0.01,1.4283933959675439,0.002328448214412633,True
56,0.001,1.4283933959675439,0.00023336688644005107,True
56,0.0001,1.4283933959675439,2.334192181575124e-05,True
56,1e-05,1.4283933959675439,2.334244525866995e-06,True
56,1e-06,1.4283933959675439,2.3342497605477445e-07,True
57,0.1,1.0558313044399483,0.023808685606522204,True
57,0.01,1.0558313044399483,0.0024404663311869555,True
57,0.001,1.0558313044399483,0.00024466114043707437,True
57,0.0001,1.0558313044399483,2.4472278261040497e-05,True
57,1e-05,1.0558313044399483,2.4472894874470046e-06,True
57,1e-06,1.0558313044399483,2.447295653378842e-07,True
58,0.1,1.2290933271208269,0.0016837554049450752,True
58,0.01,1.2290933271208269,0.0001690775317634499,True
58,0.001,1.2290933271208269,1.691476888938373e-05,True
58,0.0001,1.2290933271208269,1.6915470413014803e-06,True
58,1e-05,1.2290933271208269,1.691554055604459e-07,True
58,1e-06,1.2290933271208269,1.6915547554336896e-08,True
59,0.1,0.842325654257796,0.02167939692998059,True
59,0.01,0.842325654257796,0.002375621724731879,True
59,0.001,0.842325654257796,0.00023987301135704943,True
59,0.0001,0.842325654257796,2.401066937203558e-05,True
59,1e-05,0.842325654257796,2.40130088219591e-06,True
59,1e-06,0.842325654257796,2.401324277873025e-07,True
60,0.1,1.2240268189117909,0.016313175841940926,True
60,0.01,1.2240268189117909,0.001657006127600097,True
60,0.001,1.2240268189117909,0.0001659623690535924,True
