sample_index,old_count,observed_new_probability,asymptotic_new_probability,asymptotic_probability_error,old_pair_log_odds,expanded_pair_log_odds,pair_odds_collapsed_toward_one,absolute_expanded_pair_log_odds
90,8,0.005161146325458144,0.005161146325458139,5.204170427930421e-18,1.4112217473250674,3.612820444161994e-08,True,3.612820444161994e-08
91,12,0.0019505656530105426,0.0019505656530105387,3.903127820947816e-18,2.5059820612531727,8.896992702024264e-08,True,8.896992702024264e-08
92,8,0.005161146325458143,0.005161146325458139,4.336808689942018e-18,-0.12733487550988826,-3.1010679627862433e-09,True,3.1010679627862433e-09
93,3,0.0320459636914101,0.0320459636914101,0.0,0.6765856663676402,9.706335910098236e-09,True,9.706335910098236e-09
94,8,0.0051611463254581415,0.005161146325458139,2.6020852139652106e-18,0.322475293255419,8.121039141493409e-09,True,8.121039141493409e-09
95,3,0.032045963691410106,0.0320459636914101,6.938893903907228e-18,0.6364016973789993,6.7357279526971175e-09,True,6.7357279526971175e-09
96,11,0.002433395264842943,0.002433395264842939,3.903127820947816e-18,1.900304390503809,8.301744280477361e-08,True,8.301744280477361e-08
97,8,0.005161146325458152,0.005161146325458139,1.3010426069826053e-17,-0.6172444181878716,-2.91267707531421e-08,True,2.91267707531421e-08
98,10,0.003075858842954009,0.003075858842954005,3.903127820947816e-18,0.3200289032086621,9.19019611740649e-09,True,9.19019611740649e-09
99,6,0.00947575884570558,0.00947575884570558,0.0,-1.7608694253240715,-5.4334577758800606e-08,True,5.4334577758800606e-08
100,5,0.013483418194656812,0.013483418194656805,6.938893903907228e-18,-0.7073457562477392,-1.8182013171588763e-08,True,1.8182013171588763e-08
101,12,0.001950565653010542,0.0019505656530105387,3.2526065174565133e-18,-1.174396420697411,-4.095149936407809e-08,True,4.095149936407809e-08
102,6,0.009475758845705591,0.00947575884570558,1.214306433183765e-17,-1.5316017705744305,-6.302425702304259e-08,True,6.302425702304259e-08
103,3,0.0320459636914101,0.0320459636914101,0.0,0.24212990493653092,2.538127482741559e-09,True,2.538127482741559e-09
104,9,0.003948127541290039,0.0039481275412900346,4.336808689942018e-18,-2.4852083777723415,-7.219436809179151e-08,True,7.219436809179151e-08
105,8,0.005161146325458143,0.005161146325458139,4.336808689942018e-18,-3.2093731024763708,-8.105242405979945e-08,True,8.105242405979945e-08
