sample_index,mode,size,clone_count,target_index,macro_total_variation,maximum_macro_probability_error,refinement_consistent
1365,unweighted_z,8,5,7,0.08447665053787418,0.0844766505378742,False
1365,weighted_raw,8,5,7,6.938893903907228e-18,1.3877787807814457e-17,True
1365,weighted_z,8,5,7,5.637851296924623e-17,2.7755575615628914e-17,True
1366,unweighted_raw,4,5,0,0.37883229166797444,0.3788322916679744,False
1366,unweighted_z,4,5,0,0.3338067299335277,0.33380672993352783,False
1366,weighted_raw,4,5,0,0.0,0.0,True
1366,weighted_z,4,5,0,9.020562075079397e-17,1.1102230246251565e-16,True
1367,unweighted_raw,7,5,0,0.29733069057473605,0.29733069057473605,False
1367,unweighted_z,7,5,0,0.21878029622740694,0.21878029622740697,False
1367,weighted_raw,7,5,0,1.3877787807814457e-17,2.7755575615628914e-17,True
1367,weighted_z,7,5,0,1.3877787807814457e-17,2.7755575615628914e-17,True
1368,unweighted_raw,10,6,5,0.27106395550718765,0.27106395550718754,False
1368,unweighted_z,10,6,5,0.15125048657568319,0.14066188368966154,False
1368,weighted_raw,10,6,5,3.469446951953614e-18,6.938893903907228e-18,True
1368,weighted_z,10,6,5,1.7824283715661693e-16,1.1102230246251565e-16,True
1369,unweighted_raw,4,6,0,0.26091530466799373,0.2609153046679938,False
1369,unweighted_z,4,6,0,0.11306670318356345,0.11306670318356345,False
1369,weighted_raw,4,6,0,0.0,0.0,True
1369,weighted_z,4,6,0,0.0,0.0,True
1370,unweighted_raw,11,3,5,0.19427073042321935,0.19427073042321935,False
1370,unweighted_z,11,3,5,0.20387989938964154,0.20387989938964146,False
1370,weighted_raw,11,3,5,0.0,0.0,True
1370,weighted_z,11,3,5,7.134050294954619e-17,5.551115123125783e-17,True
1371,unweighted_raw,7,4,1,0.12823203380524714,0.12823203380524717,False
1371,unweighted_z,7,4,1,0.08122990237667861,0.08122990237667857,False
1371,weighted_raw,7,4,1,0.0,0.0,True
1371,weighted_z,7,4,1,0.0,0.0,True
1372,unweighted_raw,7,2,2,0.05736042132902442,0.05736042132902443,False
1372,unweighted_z,7,2,2,0.05659691301117252,0.056596913011172506,False
1372,weighted_raw,7,2,2,0.0,0.0,True
