sample_index,shift_covariance_error,affine_rescaling_identity_error
696,8.881784197001252e-16,0.0
697,1.1102230246251565e-16,1.1102230246251565e-16
698,2.220446049250313e-16,0.0
699,0.0,1.1102230246251565e-16
700,4.440892098500626e-16,4.440892098500626e-16
701,4.440892098500626e-16,8.881784197001252e-16
702,4.440892098500626e-16,4.440892098500626e-16
703,0.0,0.0
704,0.0,0.0
705,4.440892098500626e-16,0.0
706,1.1102230246251565e-16,5.551115123125783e-17
707,2.220446049250313e-16,1.1102230246251565e-16
708,0.0,8.326672684688674e-17
709,0.0,2.220446049250313e-16
710,0.0,0.0
711,1.1102230246251565e-16,1.6653345369377348e-16
712,0.0,0.0
713,1.1102230246251565e-16,1.1102230246251565e-16
714,0.0,0.0
715,0.0,0.0
716,0.0,0.0
717,2.220446049250313e-16,1.3877787807814457e-16
718,4.440892098500626e-16,0.0
719,0.0,4.440892098500626e-16
720,0.0,1.1102230246251565e-16
721,1.1102230246251565e-16,1.6653345369377348e-16
722,0.0,0.0
723,4.440892098500626e-16,0.0
724,2.220446049250313e-16,4.440892098500626e-16
725,2.220446049250313e-16,4.440892098500626e-16
726,4.440892098500626e-16,8.881784197001252e-16
727,2.220446049250313e-16,4.440892098500626e-16
728,0.0,0.0
729,5.551115123125783e-17,2.220446049250313e-16
730,1.1102230246251565e-16,0.0
731,0.0,0.0
732,5.551115123125783e-17,0.0
733,0.0,0.0
734,0.0,0.0
735,0.0,0.0
736,4.440892098500626e-16,0.0
737,0.0,0.0
738,1.6653345369377348e-16,3.885780586188048e-16
739,4.440892098500626e-16,0.0
740,0.0,4.440892098500626e-16
741,2.220446049250313e-16,0.0
742,0.0,0.0
743,0.0,8.326672684688674e-17
744,4.440892098500626e-16,0.0
745,0.0,2.220446049250313e-16
746,0.0,4.440892098500626e-16
747,4.440892098500626e-16,0.0
748,0.0,4.440892098500626e-16
749,4.336808689942018e-17,4.440892098500626e-16
750,0.0,4.440892098500626e-16
751,8.881784197001252e-16,0.0
752,0.0,0.0
753,4.440892098500626e-16,4.440892098500626e-16
754,1.1102230246251565e-16,0.0
755,2.220446049250313e-16,0.0
756,2.0946785972419946e-16,0.0
757,0.0,2.220446049250313e-16
758,4.440892098500626e-16,2.220446049250313e-16
759,0.0,0.0
760,0.0,0.0
761,0.0,8.881784197001252e-16
762,4.440892098500626e-16,2.220446049250313e-16
763,4.440892098500626e-16,0.0
764,0.0,0.0
765,0.0,0.0
766,8.881784197001252e-16,0.0
767,4.440892098500626e-16,4.440892098500626e-16
768,1.6653345369377348e-16,0.0
769,0.0,1.7763568394002505e-15
