sample_index,shift_covariance_error,affine_rescaling_identity_error
565,0.0,8.881784197001252e-16
566,2.7755575615628914e-17,2.220446049250313e-16
567,4.440892098500626e-16,4.440892098500626e-16
568,0.0,0.0
569,0.0,1.6653345369377348e-16
570,0.0,2.220446049250313e-16
571,0.0,3.3306690738754696e-16
572,4.440892098500626e-16,8.881784197001252e-16
573,8.881784197001252e-16,4.440892098500626e-16
574,1.1102230246251565e-16,2.220446049250313e-16
575,0.0,0.0
576,2.220446049250313e-16,2.220446049250313e-16
577,0.0,4.440892098500626e-16
578,0.0,0.0
579,2.220446049250313e-16,0.0
580,0.0,4.440892098500626e-16
581,0.0,8.881784197001252e-16
582,4.440892098500626e-16,6.661338147750939e-16
583,0.0,5.551115123125783e-17
584,1.942890293094024e-16,1.1102230246251565e-16
585,2.220446049250313e-16,2.220446049250313e-16
586,4.440892098500626e-16,2.220446049250313e-16
587,0.0,0.0
588,0.0,0.0
589,0.0,0.0
590,4.440892098500626e-16,2.220446049250313e-16
591,4.440892098500626e-16,0.0
592,4.440892098500626e-16,4.440892098500626e-16
593,5.551115123125783e-17,5.551115123125783e-17
594,4.440892098500626e-16,0.0
595,4.440892098500626e-16,0.0
596,4.440892098500626e-16,0.0
597,0.0,1.1102230246251565e-16
598,2.220446049250313e-16,4.440892098500626e-16
599,0.0,0.0
600,0.0,0.0
601,0.0,2.7755575615628914e-17
602,0.0,4.440892098500626e-16
603,2.220446049250313e-16,2.220446049250313e-16
