sample_index,lambda,second_order_error,third_order_error,fourth_order_error
67,0.2,0.001669205919804323,2.6034710271100048e-05,5.501437140814636e-06
68,0.025,4.2403287652858015e-06,9.380662110806959e-09,2.6858472043644888e-12
68,0.05,1.6923759180604084e-05,7.507852898310918e-08,5.4718874396841866e-11
68,0.1,6.739390685159621e-05,6.014439867529919e-07,1.2535058824258982e-09
68,0.2,0.00026714734271687107,4.83406063652575e-06,3.253678956816053e-08
69,0.025,6.813863230870076e-07,1.1163460433838424e-09,5.741906949907616e-12
69,0.05,2.729964793363182e-06,8.884885188686908e-09,9.181841398309132e-11
69,0.1,1.095466487227581e-05,7.034523955007366e-08,1.468389354553068e-09
69,0.2,4.408831867983021e-05,5.510401488717509e-07,2.3468882393018475e-08
70,0.025,1.2998777067757539e-05,1.0509666742430923e-07,1.1560484236561308e-09
70,0.05,5.240622342103651e-05,8.31501819703595e-07,1.8519907107883427e-08
70,0.1,0.00021280213096008804,6.50324455470086e-06,2.96929259846479e-07
70,0.2,0.0008748344024788468,4.963885685731195e-05,4.762533659136148e-06
71,0.025,1.4568312996565691e-05,2.648485258882616e-07,1.7029579413296858e-09
71,0.05,5.931877921649953e-05,2.1049213337343e-06,2.7490536902430307e-08
71,0.1,0.00024546739289010855,1.6611961359103145e-05,4.473336058241628e-07
