sample_index,n,group_count,effective_score_error,partition_weight_error
197,28,7,0.0,8.881784197001252e-16
198,32,3,1.1102230246251565e-16,0.0
199,33,9,2.220446049250313e-16,0.0
200,67,2,0.0,4.440892098500626e-16
201,41,6,0.0,4.440892098500626e-16
202,18,7,0.0,2.220446049250313e-16
203,52,5,0.0,2.220446049250313e-16
204,16,3,1.6653345369377348e-16,4.440892098500626e-16
205,41,9,0.0,2.220446049250313e-16
206,5,4,1.6653345369377348e-16,1.1102230246251565e-16
207,65,9,0.0,4.440892098500626e-16
208,56,3,0.0,4.440892098500626e-16
209,49,4,0.0,4.440892098500626e-16
210,7,5,0.0,0.0
211,24,4,2.220446049250313e-16,4.440892098500626e-16
212,48,8,1.1102230246251565e-16,0.0
213,27,9,0.0,0.0
214,13,6,0.0,0.0
215,15,9,3.0531133177191805e-16,2.220446049250313e-16
216,6,2,9.020562075079397e-17,2.220446049250313e-16
217,10,6,2.220446049250313e-16,0.0
218,9,5,0.0,2.220446049250313e-16
219,23,10,0.0,0.0
220,45,2,4.440892098500626e-16,1.3322676295501878e-15
221,79,2,0.0,0.0
222,59,9,1.1102230246251565e-16,4.440892098500626e-16
223,17,4,0.0,0.0
224,14,7,0.0,2.220446049250313e-16
225,13,9,3.3306690738754696e-16,4.440892098500626e-16
226,53,8,0.0,4.440892098500626e-16
227,57,2,3.3306690738754696e-16,8.881784197001252e-16
228,12,3,0.0,8.881784197001252e-16
229,67,2,1.1102230246251565e-16,0.0
230,54,9,2.220446049250313e-16,0.0
231,5,5,0.0,1.7763568394002505e-15
232,28,2,0.0,8.881784197001252e-16
233,55,9,3.3306690738754696e-16,0.0
234,9,6,2.220446049250313e-16,0.0
235,76,2,2.220446049250313e-16,0.0
236,63,8,2.220446049250313e-16,0.0
237,13,10,1.6653345369377348e-16,0.0
238,6,4,0.0,0.0
239,8,5,0.0,1.7763568394002505e-15
240,28,7,0.0,4.440892098500626e-16
241,20,7,0.0,1.1102230246251565e-16
242,14,8,0.0,4.440892098500626e-16
243,23,6,0.0,0.0
244,55,8,2.220446049250313e-16,0.0
245,68,6,2.220446049250313e-16,0.0
246,34,8,0.0,2.220446049250313e-16
247,48,6,1.1102230246251565e-16,4.440892098500626e-16
248,22,7,0.0,0.0
249,29,8,0.0,0.0
250,55,7,2.220446049250313e-16,8.881784197001252e-16
251,11,2,1.1102230246251565e-16,0.0
252,52,6,0.0,0.0
253,39,10,6.661338147750939e-16,0.0
254,49,4,3.3306690738754696e-16,4.440892098500626e-16
255,61,4,0.0,6.661338147750939e-16
256,60,10,6.661338147750939e-16,8.881784197001252e-16
257,67,6,0.0,8.881784197001252e-16
258,44,3,2.220446049250313e-16,0.0
259,77,10,3.3306690738754696e-16,0.0
260,53,8,1.1102230246251565e-16,0.0
261,23,4,2.220446049250313e-16,8.881784197001252e-16
262,64,4,1.1102230246251565e-16,0.0
263,7,4,0.0,8.881784197001252e-16
264,73,2,2.220446049250313e-16,4.440892098500626e-16
265,6,5,2.220446049250313e-16,0.0
266,71,2,3.3306690738754696e-16,4.440892098500626e-16
267,32,6,1.1102230246251565e-16,0.0
268,19,3,0.0,4.440892098500626e-16
269,32,7,1.6653345369377348e-16,2.220446049250313e-16
270,10,10,2.220446049250313e-16,0.0
271,45,8,0.0,1.7763568394002505e-15
272,75,3,2.220446049250313e-16,4.440892098500626e-16
273,16,9,0.0,0.0
274,33,5,3.3306690738754696e-16,4.440892098500626e-16
275,19,10,0.0,0.0
276,80,3,1.1102230246251565e-16,4.440892098500626e-16
277,47,8,2.7755575615628914e-16,4.440892098500626e-16
278,30,9,0.0,4.440892098500626e-16
279,9,3,8.326672684688674e-17,2.220446049250313e-16
280,73,2,0.0,0.0
281,16,3,1.6653345369377348e-16,2.220446049250313e-16
282,78,10,2.220446049250313e-16,4.440892098500626e-16
283,29,2,0.0,4.440892098500626e-16
284,30,3,0.0,8.881784197001252e-16
285,30,7,2.220446049250313e-16,8.881784197001252e-16
286,69,2,2.220446049250313e-16,8.881784197001252e-16
287,68,7,3.3306690738754696e-16,4.440892098500626e-16
288,11,8,1.6653345369377348e-16,2.220446049250313e-16
289,30,3,1.6653345369377348e-16,6.661338147750939e-16
290,76,6,0.0,0.0
291,49,6,1.1102230246251565e-16,2.220446049250313e-16
292,49,6,0.0,4.440892098500626e-16
293,38,5,0.0,4.440892098500626e-16
294,60,2,0.0,4.440892098500626e-16
295,60,2,2.220446049250313e-16,0.0
296,57,5,2.220446049250313e-16,4.440892098500626e-16
297,16,9,0.0,0.0
298,26,4,2.220446049250313e-16,4.440892098500626e-16
299,40,7,1.1102230246251565e-16,4.440892098500626e-16
300,48,9,0.0,0.0
301,71,7,0.0,8.881784197001252e-16
302,26,4,0.0,8.881784197001252e-16
303,38,3,0.0,1.7763568394002505e-15
304,51,8,3.3306690738754696e-16,4.440892098500626e-16
305,68,6,2.220446049250313e-16,4.440892098500626e-16
306,28,9,1.1102230246251565e-16,4.440892098500626e-16
307,50,6,0.0,0.0
308,57,8,4.440892098500626e-16,8.881784197001252e-16
309,30,10,3.3306690738754696e-16,4.440892098500626e-16
310,75,10,4.440892098500626e-16,0.0
311,72,3,2.220446049250313e-16,0.0
312,60,6,0.0,8.881784197001252e-16
313,52,7,5.551115123125783e-17,0.0
314,34,2,0.0,4.440892098500626e-16
315,38,5,0.0,0.0
316,35,2,1.1102230246251565e-16,0.0
317,26,3,0.0,4.440892098500626e-16
318,72,2,1.1102230246251565e-16,8.881784197001252e-16
319,17,9,3.3306690738754696e-16,0.0
320,48,8,3.3306690738754696e-16,8.881784197001252e-16
321,24,4,2.220446049250313e-16,8.881784197001252e-16
322,17,3,2.7755575615628914e-17,2.220446049250313e-16
323,7,3,0.0,0.0
324,19,10,3.3306690738754696e-16,4.440892098500626e-16
325,36,7,1.1102230246251565e-16,4.440892098500626e-16
326,49,5,0.0,1.7763568394002505e-15
327,72,10,1.1102230246251565e-16,8.881784197001252e-16
328,72,4,2.220446049250313e-16,0.0
329,37,4,0.0,2.220446049250313e-16
330,12,9,0.0,8.881784197001252e-16
331,19,9,1.1102230246251565e-16,4.440892098500626e-16
332,70,10,4.440892098500626e-16,4.440892098500626e-16
333,74,3,3.3306690738754696e-16,0.0
334,50,9,1.1102230246251565e-16,8.881784197001252e-16
335,46,8,1.1102230246251565e-16,4.440892098500626e-16
336,80,4,1.1102230246251565e-16,2.220446049250313e-16
337,68,9,0.0,0.0
338,20,5,3.885780586188048e-16,2.220446049250313e-16
339,46,3,4.440892098500626e-16,3.552713678800501e-15
340,72,9,1.1102230246251565e-16,4.440892098500626e-16
341,61,6,0.0,8.881784197001252e-16
342,63,7,1.1102230246251565e-16,8.881784197001252e-16
343,73,2,1.3877787807814457e-16,0.0
344,27,9,0.0,3.552713678800501e-15
345,36,3,0.0,2.220446049250313e-16
346,5,5,0.0,2.7755575615628914e-17
347,11,7,0.0,1.7763568394002505e-15
348,74,9,1.1102230246251565e-16,8.881784197001252e-16
349,19,9,2.220446049250313e-16,0.0
350,9,4,4.440892098500626e-16,0.0
351,27,7,3.3306690738754696e-16,2.220446049250313e-16
