n,sample_index,transform,relation_identical,relation_hash_identical,u_rank_identical,v_rank_identical,same_cardinality,coordinate_js_divergence_bits,base_max_marginal_ks_from_uniform,transformed_max_marginal_ks_from_uniform,mean_marginal_wasserstein_shift
128,23,power_anisotropic,True,True,True,True,True,0.24647371903683013,0.10601543412070513,0.4876732019874832,0.23606679112335965
128,23,beta_skew_opposed,True,True,True,True,True,0.22250819138233446,0.10601543412070513,0.40678198170893143,0.22511368461883158
128,23,power_isotropic_extreme,True,True,True,True,True,0.2971407590275508,0.10601543412070513,0.7560093072036337,0.3807997235066857
128,24,power_anisotropic,True,True,True,True,True,0.24289728120389184,0.07986954335573948,0.5257781217749048,0.2229757383056054
128,24,beta_skew_opposed,True,True,True,True,True,0.2123380695593685,0.07986954335573948,0.44358259712603354,0.20217734013140282
128,24,power_isotropic_extreme,True,True,True,True,True,0.29772831592235915,0.07986954335573948,0.6759172553916979,0.38372817478431953
128,25,power_anisotropic,True,True,True,True,True,0.24192613267042534,0.08310118445803139,0.5505074375285101,0.23478708707105206
128,25,beta_skew_opposed,True,True,True,True,True,0.2235702130778975,0.08310118445803139,0.43909393125815505,0.2108912455569782
128,25,power_isotropic_extreme,True,True,True,True,True,0.2953375120782597,0.08310118445803139,0.7330684252710461,0.3813975504483026
128,26,power_anisotropic,True,True,True,True,True,0.252726399426649,0.06602760647466843,0.5029459470104339,0.23468057667753733
128,26,beta_skew_opposed,True,True,True,True,True,0.23340943572097378,0.06602760647466843,0.4338843778295456,0.218788857138182
128,26,power_isotropic_extreme,True,True,True,True,True,0.2958388736367849,0.06602760647466843,0.6720139027695647,0.38965205859946306
128,27,power_anisotropic,True,True,True,True,True,0.22577263118967592,0.06908862846637365,0.500682780092431,0.22947270776424492
128,27,beta_skew_opposed,True,True,True,True,True,0.20886598450505714,0.06908862846637365,0.4292226941263294,0.2147307655648887
128,27,power_isotropic_extreme,True,True,True,True,True,0.2937584285432665,0.06908862846637365,0.6973490287589165,0.38026828077912234
128,28,power_anisotropic,True,True,True,True,True,0.23612943869338873,0.04765505261031178,0.5060618871771047,0.2287484905721842
128,28,beta_skew_opposed,True,True,True,True,True,0.21291217830686301,0.04765505261031178,0.4338420370880153,0.21368373759931336
128,28,power_isotropic_extreme,True,True,True,True,True,0.28118651109569387,0.04765505261031178,0.6574660604877206,0.3884347275733636
128,29,power_anisotropic,True,True,True,True,True,0.2543073023861019,0.0679531230586139,0.4758618837396863,0.25039271532857055
128,29,beta_skew_opposed,True,True,True,True,True,0.209052662634741,0.0679531230586139,0.4440833535616121,0.2223892450464096
128,29,power_isotropic_extreme,True,True,True,True,True,0.30070994853554367,0.0679531230586139,0.6924338864710955,0.413935244136331
256,0,power_anisotropic,True,True,True,True,True,0.29306348115502817,0.04460089364267239,0.47116935400320337,0.23550267804083258
256,0,beta_skew_opposed,True,True,True,True,True,0.2884667016905833,0.04460089364267239,0.42055648504762894,0.21683126540227332
256,0,power_isotropic_extreme,True,True,True,True,True,0.38436969205751853,0.04460089364267239,0.6689268092755919,0.39750230677316023
256,1,power_anisotropic,True,True,True,True,True,0.3127760991250418,0.05109651245217861,0.4944858388973466,0.23329907496629798
256,1,beta_skew_opposed,True,True,True,True,True,0.31804171308829976,0.05109651245217861,0.4161219777679037,0.21915196851104948
256,1,power_isotropic_extreme,True,True,True,True,True,0.40076282652198275,0.05109651245217861,0.6823642317548865,0.3844589647948372
256,2,power_anisotropic,True,True,True,True,True,0.30362238827879956,0.04795071670491036,0.4860933573306248,0.23457730047464626
256,2,beta_skew_opposed,True,True,True,True,True,0.27769266981668084,0.04795071670491036,0.42963846095563724,0.21897314820405256
256,2,power_isotropic_extreme,True,True,True,True,True,0.4116541849459514,0.04795071670491036,0.678402698234781,0.3866958650632561
256,3,power_anisotropic,True,True,True,True,True,0.30393488715496564,0.04360240872587262,0.49405747890192664,0.2372285581869873
256,3,beta_skew_opposed,True,True,True,True,True,0.29060233536351304,0.04360240872587262,0.4151897552979425,0.21983477975073926
256,3,power_isotropic_extreme,True,True,True,True,True,0.4051520630702802,0.04360240872587262,0.6743017530969184,0.38849231346376556
256,4,power_anisotropic,True,True,True,True,True,0.29211508847442347,0.07952581572779249,0.42086164527259146,0.24012992090980412
256,4,beta_skew_opposed,True,True,True,True,True,0.29345503594907624,0.07952581572779249,0.40893888435571535,0.2283638420253561
256,4,power_isotropic_extreme,True,True,True,True,True,0.4032240109871641,0.07952581572779249,0.6824719050902343,0.39829995469636503
256,5,power_anisotropic,True,True,True,True,True,0.31682055702592,0.04891955582479823,0.46486516036929226,0.2317377378160988
256,5,beta_skew_opposed,True,True,True,True,True,0.30764922896786323,0.04891955582479823,0.4237404951856697,0.21654836736743138
256,5,power_isotropic_extreme,True,True,True,True,True,0.41147430854923744,0.04891955582479823,0.6774313798258056,0.3871728006447217
