sample_index,operator,group_count,macro_probability_tv,maximum_group_weight_relative_error
49,weighted_median,8,0.37549252842673236,0.8277928475754576
49,minimum,8,0.17720045301889142,4.9876290329446125
50,weighted_arithmetic,2,0.1042136745042633,0.5013496874946375
50,exponential_mean,2,5.551115123125783e-17,2.263426169687987e-16
50,weighted_median,2,0.021711130508795973,0.07727622622706345
50,minimum,2,0.11473847284409276,1.838991474928932
51,weighted_arithmetic,4,0.21858979435547143,0.7563369746298817
51,exponential_mean,4,1.3357370765021415e-16,3.742099770084882e-16
51,weighted_median,4,0.2827738125540669,0.7203268799483479
51,minimum,4,0.10480589683010327,2.37593746194744
52,weighted_arithmetic,2,0.1025406928088039,0.629760058186587
52,exponential_mean,2,2.7755575615628914e-17,2.5027458757040227e-16
52,weighted_median,2,0.1511421798377391,0.7363512824812518
52,minimum,2,0.20782841042596717,9.63885219412245
53,weighted_arithmetic,8,0.12567229929084428,0.6196937068077933
53,exponential_mean,8,5.637851296924623e-17,2.0906786643510306e-16
53,weighted_median,8,0.20990456200444246,0.8565983101045276
53,minimum,8,0.17428828988499262,1.731673979407559
54,weighted_arithmetic,3,0.11908373691416907,0.46123816033002735
54,exponential_mean,3,1.3877787807814457e-16,3.616926692078444e-16
54,weighted_median,3,0.2233217236335518,0.6105172722760206
54,minimum,3,0.15438955479109914,1.408149043137794
55,weighted_arithmetic,6,0.009018450011936397,0.09434833547429167
55,exponential_mean,6,2.0816681711721685e-17,3.445394512261089e-16
55,weighted_median,6,0.051167064940836844,0.33348867084388206
55,minimum,6,0.049825103115092174,1.3234884524769093
56,weighted_arithmetic,7,0.06722844885674938,0.36776551745095803
56,exponential_mean,7,2.168404344971009e-17,2.0230537859951038e-16
56,weighted_median,7,0.08226155655365985,0.5651297591274242
56,minimum,7,0.13351703001365223,3.611605835589266
57,weighted_arithmetic,7,0.15441281229535156,0.6598111841886862
57,exponential_mean,7,4.163336342344337e-17,1.8718123272696477e-16
57,weighted_median,7,0.18992264286052585,0.6285514069410698
57,minimum,7,0.20748422607242087,5.486266127902352
58,weighted_arithmetic,5,0.2079701464401003,0.7659533969728609
58,exponential_mean,5,1.214306433183765e-17,2.826726250701922e-16
58,weighted_median,5,0.2777107352053528,0.7969249866551857
58,minimum,5,0.19415878708670564,9.581052181500972
59,weighted_arithmetic,6,0.09609432369054374,0.5835510604976935
59,exponential_mean,6,1.0148132334464322e-16,3.224749745538808e-16
59,weighted_median,6,0.1059479018643038,0.46515624221371404
59,minimum,6,0.04251385735401133,2.918449357470247
60,weighted_arithmetic,7,0.13521814174325458,0.6346483907471719
60,exponential_mean,7,3.8163916471489756e-17,2.079174329991509e-16
60,weighted_median,7,0.31504578959700746,0.7937830829479952
60,minimum,7,0.18919296818968473,5.641644388746207
61,weighted_arithmetic,8,0.08577029705397625,0.5699293023139637
61,exponential_mean,8,4.90059381963448e-17,2.789671074690603e-16
61,weighted_median,8,0.3795088680295283,0.8115089584217648
61,minimum,8,0.0730241523151569,1.8634795257482208
62,weighted_arithmetic,4,0.0757819065080235,0.6426826842126041
