sample_index,size,fine_count,coarse_count,maximum_nested_weight_error
308,26,6,3,1.1368683772161603e-13
309,27,5,3,1.7053025658242404e-13
310,15,8,5,7.105427357601002e-15
311,30,9,7,2.842170943040401e-14
312,20,8,5,4.263256414560601e-14
313,22,7,5,5.684341886080802e-14
314,31,9,5,2.842170943040401e-14
315,26,8,5,5.684341886080802e-14
316,19,8,5,2.1316282072803006e-14
317,20,7,2,5.684341886080801e-13
318,14,4,3,3.552713678800501e-15
319,30,5,4,5.684341886080802e-14
320,21,6,4,2.842170943040401e-14
321,31,6,4,8.526512829121202e-14
322,14,9,6,7.105427357601002e-15
323,14,8,2,2.842170943040401e-14
324,29,8,3,2.2737367544323206e-13
325,26,9,3,1.9895196601282805e-13
326,18,7,2,8.526512829121202e-14
327,28,6,2,4.547473508864641e-13
328,18,7,4,1.4210854715202004e-14
329,25,4,3,1.1368683772161603e-13
330,12,5,4,7.105427357601002e-15
331,19,8,7,7.105427357601002e-15
332,27,9,2,2.8421709430404007e-13
333,28,8,6,5.684341886080802e-14
334,12,9,5,7.105427357601002e-15
335,25,6,2,2.2737367544323206e-13
336,14,5,4,7.105427357601002e-15
337,27,7,2,2.8421709430404007e-13
338,26,8,6,5.684341886080802e-14
339,26,7,2,5.115907697472721e-13
340,32,4,2,6.821210263296962e-13
341,15,4,2,2.842170943040401e-14
342,14,9,7,7.105427357601002e-15
343,31,7,2,1.1368683772161603e-13
344,19,7,4,1.4210854715202004e-14
345,25,6,3,2.2737367544323206e-13
346,29,4,2,2.8421709430404007e-13
347,18,9,6,1.4210854715202004e-14
348,32,7,3,1.7053025658242404e-13
349,29,7,4,2.2737367544323206e-13
350,29,8,6,2.842170943040401e-14
351,12,4,2,1.4210854715202004e-14
352,15,5,4,3.552713678800501e-15
353,20,5,3,1.7053025658242404e-13
354,19,9,2,5.684341886080802e-14
355,27,4,2,2.2737367544323206e-13
356,30,5,2,1.1368683772161603e-13
357,12,5,4,1.4210854715202004e-14
358,21,6,5,1.4210854715202004e-14
359,30,7,3,1.1368683772161603e-13
360,22,8,6,5.684341886080802e-14
361,18,9,6,1.4210854715202004e-14
362,24,7,4,5.684341886080802e-14
363,14,6,3,2.842170943040401e-14
364,32,8,4,1.4210854715202004e-13
365,14,5,3,2.842170943040401e-14
