sample_index,maximum_flow_aggregation_error,maximum_macro_row_sum_error
193,1.1102230246251565e-16,2.220446049250313e-16
194,3.3306690738754696e-16,2.220446049250313e-16
195,2.7755575615628914e-16,4.440892098500626e-16
196,1.6653345369377348e-16,2.220446049250313e-16
197,5.551115123125783e-17,2.220446049250313e-16
198,1.1102230246251565e-16,2.220446049250313e-16
199,2.220446049250313e-16,4.440892098500626e-16
200,2.220446049250313e-16,0.0
201,2.220446049250313e-16,2.220446049250313e-16
202,1.1102230246251565e-16,2.220446049250313e-16
203,5.551115123125783e-16,6.661338147750939e-16
204,5.551115123125783e-17,3.3306690738754696e-16
205,1.1102230246251565e-16,0.0
206,1.1102230246251565e-16,2.220446049250313e-16
207,1.1102230246251565e-16,2.220446049250313e-16
208,5.551115123125783e-17,0.0
209,1.1102230246251565e-16,2.220446049250313e-16
210,8.326672684688674e-17,3.3306690738754696e-16
211,5.551115123125783e-16,5.551115123125783e-16
212,5.551115123125783e-17,2.220446049250313e-16
213,4.440892098500626e-16,4.440892098500626e-16
214,1.1102230246251565e-16,0.0
215,1.1102230246251565e-16,2.220446049250313e-16
216,5.551115123125783e-17,2.220446049250313e-16
217,5.551115123125783e-17,2.220446049250313e-16
218,1.1102230246251565e-16,2.220446049250313e-16
219,2.7755575615628914e-16,4.440892098500626e-16
220,2.220446049250313e-16,4.440892098500626e-16
221,2.220446049250313e-16,4.440892098500626e-16
222,1.1102230246251565e-16,2.220446049250313e-16
223,4.440892098500626e-16,3.3306690738754696e-16
224,1.1102230246251565e-16,2.220446049250313e-16
225,2.220446049250313e-16,4.440892098500626e-16
226,2.220446049250313e-16,2.220446049250313e-16
227,3.3306690738754696e-16,4.440892098500626e-16
228,2.220446049250313e-16,2.220446049250313e-16
229,1.1102230246251565e-16,2.220446049250313e-16
230,8.326672684688674e-17,1.1102230246251565e-16
231,2.220446049250313e-16,2.220446049250313e-16
232,1.1102230246251565e-16,2.220446049250313e-16
233,1.1102230246251565e-16,2.220446049250313e-16
234,2.7755575615628914e-16,4.440892098500626e-16
235,1.1102230246251565e-16,2.220446049250313e-16
236,2.220446049250313e-16,0.0
237,2.220446049250313e-16,2.220446049250313e-16
238,3.3306690738754696e-16,6.661338147750939e-16
239,1.1102230246251565e-16,0.0
240,1.1102230246251565e-16,2.220446049250313e-16
241,1.1102230246251565e-16,3.3306690738754696e-16
242,2.7755575615628914e-16,2.220446049250313e-16
243,1.1102230246251565e-16,2.220446049250313e-16
244,1.1102230246251565e-16,2.220446049250313e-16
245,2.220446049250313e-16,3.3306690738754696e-16
246,2.220446049250313e-16,1.1102230246251565e-16
247,5.551115123125783e-17,2.220446049250313e-16
248,1.1102230246251565e-16,4.440892098500626e-16
249,5.551115123125783e-17,2.220446049250313e-16
250,5.551115123125783e-17,2.220446049250313e-16
251,5.551115123125783e-17,2.220446049250313e-16
252,1.6653345369377348e-16,2.220446049250313e-16
253,6.661338147750939e-16,6.661338147750939e-16
254,3.3306690738754696e-16,4.440892098500626e-16
255,2.220446049250313e-16,2.220446049250313e-16
256,1.1102230246251565e-16,2.220446049250313e-16
257,1.1102230246251565e-16,2.220446049250313e-16
258,1.1102230246251565e-16,2.220446049250313e-16
259,1.1102230246251565e-16,2.220446049250313e-16
260,2.220446049250313e-16,4.440892098500626e-16
261,1.1102230246251565e-16,2.220446049250313e-16
262,2.220446049250313e-16,2.220446049250313e-16
263,5.551115123125783e-17,2.220446049250313e-16
264,3.885780586188048e-16,5.551115123125783e-16
265,1.1102230246251565e-16,2.220446049250313e-16
266,2.220446049250313e-16,0.0
267,1.1102230246251565e-16,4.440892098500626e-16
268,2.220446049250313e-16,2.220446049250313e-16
269,1.6653345369377348e-16,2.220446049250313e-16
270,2.220446049250313e-16,2.220446049250313e-16
271,1.6653345369377348e-16,1.1102230246251565e-16
272,4.440892098500626e-16,2.220446049250313e-16
273,2.7755575615628914e-16,2.220446049250313e-16
274,3.3306690738754696e-16,4.440892098500626e-16
275,1.6653345369377348e-16,2.220446049250313e-16
276,3.885780586188048e-16,4.440892098500626e-16
277,1.1102230246251565e-16,0.0
278,3.3306690738754696e-16,2.220446049250313e-16
279,1.1102230246251565e-16,2.220446049250313e-16
280,1.1102230246251565e-16,2.220446049250313e-16
281,8.326672684688674e-17,2.220446049250313e-16
282,2.7755575615628914e-16,4.440892098500626e-16
283,1.1102230246251565e-16,2.220446049250313e-16
284,2.7755575615628914e-16,2.220446049250313e-16
285,1.1102230246251565e-16,4.440892098500626e-16
286,2.220446049250313e-16,0.0
287,2.220446049250313e-16,3.3306690738754696e-16
288,8.326672684688674e-17,0.0
289,5.551115123125783e-17,2.220446049250313e-16
290,8.326672684688674e-17,2.220446049250313e-16
291,8.326672684688674e-17,1.1102230246251565e-16
292,1.1102230246251565e-16,2.220446049250313e-16
293,5.551115123125783e-17,2.220446049250313e-16
294,2.220446049250313e-16,4.440892098500626e-16
295,3.3306690738754696e-16,4.440892098500626e-16
296,1.1102230246251565e-16,2.220446049250313e-16
297,1.1102230246251565e-16,4.440892098500626e-16
298,2.220446049250313e-16,2.220446049250313e-16
299,2.220446049250313e-16,3.3306690738754696e-16
300,2.220446049250313e-16,2.220446049250313e-16
301,5.551115123125783e-17,2.220446049250313e-16
302,1.1102230246251565e-16,2.220446049250313e-16
303,3.885780586188048e-16,6.661338147750939e-16
304,7.771561172376096e-16,8.881784197001252e-16
305,2.7755575615628914e-16,2.220446049250313e-16
306,1.1102230246251565e-16,2.220446049250313e-16
307,1.1102230246251565e-16,2.220446049250313e-16
308,2.220446049250313e-16,4.440892098500626e-16
309,2.7755575615628914e-16,2.220446049250313e-16
310,5.551115123125783e-17,1.1102230246251565e-16
311,5.551115123125783e-17,2.220446049250313e-16
312,1.1102230246251565e-16,2.220446049250313e-16
313,3.3306690738754696e-16,4.440892098500626e-16
314,1.1102230246251565e-16,2.220446049250313e-16
315,2.220446049250313e-16,3.3306690738754696e-16
316,8.326672684688674e-17,2.220446049250313e-16
317,1.1102230246251565e-16,2.220446049250313e-16
318,1.1102230246251565e-16,4.440892098500626e-16
319,1.3877787807814457e-16,3.3306690738754696e-16
320,1.1102230246251565e-16,0.0
321,1.3877787807814457e-16,1.1102230246251565e-16
322,5.551115123125783e-17,2.220446049250313e-16
323,0.0,2.220446049250313e-16
324,1.6653345369377348e-16,2.220446049250313e-16
325,3.3306690738754696e-16,4.440892098500626e-16
326,1.1102230246251565e-16,2.220446049250313e-16
327,3.3306690738754696e-16,6.661338147750939e-16
328,1.1102230246251565e-16,2.220446049250313e-16
329,3.3306690738754696e-16,4.440892098500626e-16
330,1.1102230246251565e-16,2.220446049250313e-16
331,5.551115123125783e-17,2.220446049250313e-16
332,3.3306690738754696e-16,1.1102230246251565e-16
333,1.1102230246251565e-16,1.1102230246251565e-16
334,1.1102230246251565e-16,2.220446049250313e-16
335,3.3306690738754696e-16,2.220446049250313e-16
336,1.1102230246251565e-16,2.220446049250313e-16
337,2.220446049250313e-16,2.220446049250313e-16
338,1.1102230246251565e-16,2.220446049250313e-16
339,2.7755575615628914e-16,4.440892098500626e-16
340,1.1102230246251565e-16,2.220446049250313e-16
341,2.220446049250313e-16,4.440892098500626e-16
342,5.551115123125783e-17,2.220446049250313e-16
343,1.6653345369377348e-16,0.0
344,1.1102230246251565e-16,2.220446049250313e-16
345,2.220446049250313e-16,2.220446049250313e-16
346,1.1102230246251565e-16,0.0
347,5.551115123125783e-17,2.220446049250313e-16
348,1.1102230246251565e-16,2.220446049250313e-16
349,1.6653345369377348e-16,1.1102230246251565e-16
350,8.326672684688674e-17,2.220446049250313e-16
351,2.220446049250313e-16,2.220446049250313e-16
352,1.1102230246251565e-16,2.220446049250313e-16
353,1.1102230246251565e-16,2.220446049250313e-16
354,5.551115123125783e-16,6.661338147750939e-16
355,5.551115123125783e-16,2.220446049250313e-16
356,2.220446049250313e-16,3.3306690738754696e-16
357,1.1102230246251565e-16,2.220446049250313e-16
358,1.1102230246251565e-16,2.220446049250313e-16
359,1.1102230246251565e-16,4.440892098500626e-16
360,2.7755575615628914e-16,2.220446049250313e-16
361,1.1102230246251565e-16,2.220446049250313e-16
362,1.1102230246251565e-16,2.220446049250313e-16
363,1.1102230246251565e-16,3.3306690738754696e-16
364,1.1102230246251565e-16,2.220446049250313e-16
365,1.1102230246251565e-16,2.220446049250313e-16
366,1.6653345369377348e-16,2.220446049250313e-16
367,1.1102230246251565e-16,3.3306690738754696e-16
368,1.1102230246251565e-16,0.0
369,1.1102230246251565e-16,0.0
370,1.1102230246251565e-16,2.220446049250313e-16
371,8.326672684688674e-17,2.220446049250313e-16
372,3.3306690738754696e-16,4.440892098500626e-16
373,4.440892098500626e-16,4.440892098500626e-16
374,1.1102230246251565e-16,0.0
375,1.3877787807814457e-16,2.220446049250313e-16
376,1.1102230246251565e-16,0.0
377,1.1102230246251565e-16,2.220446049250313e-16
378,1.1102230246251565e-16,4.440892098500626e-16
379,3.3306690738754696e-16,3.3306690738754696e-16
380,3.3306690738754696e-16,2.220446049250313e-16
381,2.220446049250313e-16,4.440892098500626e-16
382,2.220446049250313e-16,2.220446049250313e-16
383,1.1102230246251565e-16,2.220446049250313e-16
384,2.220446049250313e-16,2.220446049250313e-16
385,2.220446049250313e-16,2.220446049250313e-16
386,2.220446049250313e-16,4.440892098500626e-16
387,1.1102230246251565e-16,1.1102230246251565e-16
388,1.1102230246251565e-16,2.220446049250313e-16
