sample_index,operator,size,group_count,direct_score,hierarchical_score,absolute_associativity_error,associative_at_tolerance
2496,minimum,34,5,-3.170805212403128,-3.170805212403128,0.0,True
2497,weighted_arithmetic,12,7,-0.656716256406349,-0.6567162564063491,1.1102230246251565e-16,True
2497,exponential_mean,12,7,-1.4537677888550633,-1.4537677888550635,2.220446049250313e-16,True
2497,weighted_median,12,7,-0.8598258968289111,-0.22108931513583657,0.6387365816930746,False
2497,minimum,12,7,-3.1597240577519305,-3.1597240577519305,0.0,True
2498,weighted_arithmetic,12,7,0.05991143237662715,0.05991143237662711,3.469446951953614e-17,True
2498,exponential_mean,12,7,-0.2745828802804688,-0.27458288028046846,3.3306690738754696e-16,True
2498,weighted_median,12,7,-0.43782571190793157,-0.5273684675859971,0.08954275567806552,False
2498,minimum,12,7,-1.0872239288561698,-1.0872239288561698,0.0,True
2499,weighted_arithmetic,10,4,0.17171543908900902,0.171715439089009,2.7755575615628914e-17,True
2499,exponential_mean,10,4,-0.3808398472295105,-0.38083984722951064,1.6653345369377348e-16,True
2499,weighted_median,10,4,0.007918663292647777,0.007918663292647777,0.0,True
2499,minimum,10,4,-1.6785192745499908,-1.6785192745499908,0.0,True
2500,weighted_arithmetic,14,6,-0.6227327522632101,-0.6227327522632102,1.1102230246251565e-16,True
2500,exponential_mean,14,6,-1.1643266282541926,-1.164326628254193,4.440892098500626e-16,True
2500,weighted_median,14,6,-0.9252292533862388,-0.9252292533862388,0.0,True
2500,minimum,14,6,-2.0383116146771108,-2.0383116146771108,0.0,True
2501,weighted_arithmetic,12,2,0.8856479059959745,0.8856479059959745,0.0,True
2501,exponential_mean,12,2,0.1290440839659551,0.12904408396595501,8.326672684688674e-17,True
2501,weighted_median,12,2,1.079306743858332,1.592618764256613,0.513312020398281,False
2501,minimum,12,2,-1.2863535235293935,-1.2863535235293935,0.0,True
2502,weighted_arithmetic,11,7,0.1863520655688608,0.18635206556886086,5.551115123125783e-17,True
2502,exponential_mean,11,7,-0.7249470410541712,-0.7249470410541714,2.220446049250313e-16,True
2502,weighted_median,11,7,0.728344376869088,-0.16275686122928798,0.891101238098376,False
