n,sample_index,first_kernel,second_kernel,mean_row_total_variation,maximum_row_total_variation
16,31,standardized_exponential,standardized_rank,0.19697546948718528,0.4007252634838387
16,31,standardized_asinh,standardized_rank,0.1631252567201542,0.28491299314282875
16,32,standardized_exponential,standardized_asinh,0.048578991426708636,0.09066523338354564
16,32,standardized_exponential,standardized_rank,0.2121771897358372,0.3840910191167455
16,32,standardized_asinh,standardized_rank,0.16991949940162698,0.2967245891269865
16,33,standardized_exponential,standardized_asinh,0.044229994017536536,0.08621517281649944
16,33,standardized_exponential,standardized_rank,0.19734031400486685,0.3557739970282541
16,33,standardized_asinh,standardized_rank,0.15830485206053058,0.2695588242117547
16,34,standardized_exponential,standardized_asinh,0.04649300988602859,0.08702160493971767
16,34,standardized_exponential,standardized_rank,0.22740067407604403,0.37700139266980803
16,34,standardized_asinh,standardized_rank,0.1835010599493903,0.28997978773009037
16,35,standardized_exponential,standardized_asinh,0.043436931332704515,0.0781207431926405
16,35,standardized_exponential,standardized_rank,0.2052805524119395,0.2947713573180862
16,35,standardized_asinh,standardized_rank,0.16687908967932885,0.2254816936879496
16,36,standardized_exponential,standardized_asinh,0.06294953643407025,0.13397209686449765
16,36,standardized_exponential,standardized_rank,0.23608138043417465,0.3841186183944978
16,36,standardized_asinh,standardized_rank,0.1752802977385211,0.27095126135847375
16,37,standardized_exponential,standardized_asinh,0.05638923920216744,0.10020703989963706
16,37,standardized_exponential,standardized_rank,0.22644195152176616,0.36231600398560854
16,37,standardized_asinh,standardized_rank,0.176124622536384,0.27642851804580926
16,38,standardized_exponential,standardized_asinh,0.05608659567975763,0.11431494931835598
16,38,standardized_exponential,standardized_rank,0.23948799815026967,0.392084007399683
16,38,standardized_asinh,standardized_rank,0.18607562796576496,0.277769058081327
16,39,standardized_exponential,standardized_asinh,0.05243142515595359,0.0870512196657525
16,39,standardized_exponential,standardized_rank,0.23416583688883935,0.3737102623241298
16,39,standardized_asinh,standardized_rank,0.18609155050823348,0.28665904265837727
16,40,standardized_exponential,standardized_asinh,0.05287401414512085,0.09542750493252967
16,40,standardized_exponential,standardized_rank,0.22100356341255417,0.29805128338957926
16,40,standardized_asinh,standardized_rank,0.17193489228794992,0.23579793570360785
16,41,standardized_exponential,standardized_asinh,0.04570765644587868,0.096023108029723
16,41,standardized_exponential,standardized_rank,0.1913197359317949,0.3003163753565037
16,41,standardized_asinh,standardized_rank,0.15227522852859088,0.24551595005242907
16,42,standardized_exponential,standardized_asinh,0.04646064147236839,0.1208850349151876
16,42,standardized_exponential,standardized_rank,0.20717019236707002,0.34943165365369366
16,42,standardized_asinh,standardized_rank,0.16622192244352613,0.2649347742359323
16,43,standardized_exponential,standardized_asinh,0.056886531592425946,0.10191767558696846
16,43,standardized_exponential,standardized_rank,0.23953081981069085,0.34267779624217204
16,43,standardized_asinh,standardized_rank,0.18489920292457368,0.25744152765720524
16,44,standardized_exponential,standardized_asinh,0.05569732316152032,0.10959552887279778
16,44,standardized_exponential,standardized_rank,0.23016348167134276,0.3795841394312951
16,44,standardized_asinh,standardized_rank,0.1791412131996784,0.29239678084604553
16,45,standardized_exponential,standardized_asinh,0.055847932745162004,0.1119675977421326
16,45,standardized_exponential,standardized_rank,0.2196429829521568,0.3756076376969254
16,45,standardized_asinh,standardized_rank,0.16744625574915023,0.2887447237009664
16,46,standardized_exponential,standardized_asinh,0.06619590992325165,0.15243993472603307
16,46,standardized_exponential,standardized_rank,0.25500873481541286,0.3946706656682402
16,46,standardized_asinh,standardized_rank,0.19621056393183278,0.28495561847973694
16,47,standardized_exponential,standardized_asinh,0.0494028186226563,0.08877248645000593
16,47,standardized_exponential,standardized_rank,0.2186702558677863,0.3722637293671243
16,47,standardized_asinh,standardized_rank,0.1736532399631025,0.28560470849042385
16,48,standardized_exponential,standardized_asinh,0.05937785295239277,0.10212639201977011
16,48,standardized_exponential,standardized_rank,0.24729384773995866,0.35186382084396106
16,48,standardized_asinh,standardized_rank,0.19549171352150774,0.26679603111712663
16,49,standardized_exponential,standardized_asinh,0.03912704626819065,0.06942723560178957
16,49,standardized_exponential,standardized_rank,0.17840657087326944,0.27368952244118994
16,49,standardized_asinh,standardized_rank,0.14468614297431126,0.22304378402546898
16,50,standardized_exponential,standardized_asinh,0.0469893226217758,0.10092287863417787
16,50,standardized_exponential,standardized_rank,0.18091512432327922,0.3276294160978013
16,50,standardized_asinh,standardized_rank,0.14318966045675185,0.22670653746362343
16,51,standardized_exponential,standardized_asinh,0.044334830397439476,0.08366374239496092
16,51,standardized_exponential,standardized_rank,0.19951748838153827,0.32902367454594655
16,51,standardized_asinh,standardized_rank,0.1609606073409258,0.2638730966773294
16,52,standardized_exponential,standardized_asinh,0.05909763662195877,0.10076115293445054
16,52,standardized_exponential,standardized_rank,0.22140269559011566,0.3258749917671425
16,52,standardized_asinh,standardized_rank,0.16875463616928552,0.24407030986362996
16,53,standardized_exponential,standardized_asinh,0.05403479765817928,0.13386098994649404
16,53,standardized_exponential,standardized_rank,0.22889214342301628,0.38896353190618016
16,53,standardized_asinh,standardized_rank,0.1807045477615447,0.26300276796002364
16,54,standardized_exponential,standardized_asinh,0.05554879890679067,0.10697142679284527
16,54,standardized_exponential,standardized_rank,0.21113383900239435,0.3474229012375807
16,54,standardized_asinh,standardized_rank,0.1627879348343813,0.2540237506102264
16,55,standardized_exponential,standardized_asinh,0.05023877908365847,0.08429479349058715
16,55,standardized_exponential,standardized_rank,0.20420692295052806,0.34023080060113575
16,55,standardized_asinh,standardized_rank,0.16092125338595376,0.25593600711054865
16,56,standardized_exponential,standardized_asinh,0.04808213386767519,0.08552593389880378
16,56,standardized_exponential,standardized_rank,0.20819142259719123,0.2829091983240183
16,56,standardized_asinh,standardized_rank,0.16644177720360964,0.22912229256652505
16,57,standardized_exponential,standardized_asinh,0.049506442343264456,0.11199924301906773
16,57,standardized_exponential,standardized_rank,0.21709308064901395,0.3747555745282817
16,57,standardized_asinh,standardized_rank,0.17296863247449532,0.26275633150921396
16,58,standardized_exponential,standardized_asinh,0.0661830940264489,0.12185457166119594
16,58,standardized_exponential,standardized_rank,0.2574750604267044,0.34679342335525143
16,58,standardized_asinh,standardized_rank,0.19494333761445765,0.2555322509336063
16,59,standardized_exponential,standardized_asinh,0.051969859291467066,0.08682956817490614
16,59,standardized_exponential,standardized_rank,0.20037044600134868,0.36848524849909914
16,59,standardized_asinh,standardized_rank,0.15518310694106913,0.2816946109970198
16,60,standardized_exponential,standardized_asinh,0.04968316231257042,0.09535549040815584
16,60,standardized_exponential,standardized_rank,0.19438450114383185,0.3100368242809036
16,60,standardized_asinh,standardized_rank,0.14880105754272302,0.24592279788023652
16,61,standardized_exponential,standardized_asinh,0.05022506669173914,0.08425177772106665
16,61,standardized_exponential,standardized_rank,0.23681159428165913,0.3360695621865949
16,61,standardized_asinh,standardized_rank,0.1884513806754991,0.25181778446552827
16,62,standardized_exponential,standardized_asinh,0.04093354137125821,0.11327622358325755
16,62,standardized_exponential,standardized_rank,0.18478481317170603,0.38506031058740486
