sample_index,scale_factor,offset,maximum_reparameterization_error,original_noise_sd,transformed_noise_sd
107,0.8884777244952491,-0.3379114332884927,4.440892098500626e-16,0.08,0.07107821795961992
108,0.2682442353811063,-1.24948425607593,4.440892098500626e-16,0.08,0.021459538830488505
109,3.3189853598471446,-1.927748696146879,2.6645352591003757e-15,0.08,0.26551882878777155
110,3.023774950319949,1.061587987046467,1.7763568394002505e-15,0.08,0.24190199602559592
111,2.923101626909817,-0.44114161401609886,1.7763568394002505e-15,0.08,0.23384813015278536
112,0.472111470492007,1.9085459676475733,6.661338147750939e-16,0.08,0.037768917639360564
113,1.4677468741062065,-1.6232283480264869,8.881784197001252e-16,0.08,0.11741974992849652
114,2.4369989540712043,1.171591284463179,1.7763568394002505e-15,0.08,0.19495991632569634
115,1.1713320023387297,-0.7370067302142056,8.881784197001252e-16,0.08,0.09370656018709837
116,2.248740543941313,-0.5754660099746194,8.881784197001252e-16,0.08,0.17989924351530504
117,1.3034455451246352,1.9786507649479366,8.881784197001252e-16,0.08,0.10427564360997081
118,3.3497315278503934,0.6763646336869615,1.7763568394002505e-15,0.08,0.2679785222280315
119,2.0658734370848295,-0.9022680965516443,8.881784197001252e-16,0.08,0.16526987496678636
