sample_index,transformed_model,initial_relation_identical,mark_vector_identical,trajectory_diverged,first_divergence_step,final_relation_identical,path_hash_identical,anchor_hash_identical,base_transitive_every_step,transformed_transitive_every_step
160,beta_skew,True,False,True,4,False,False,False,True,True
161,power_anisotropic,True,False,True,1,False,False,False,True,True
161,beta_skew,True,False,True,2,False,False,False,True,True
162,power_anisotropic,True,False,True,1,False,False,False,True,True
162,beta_skew,True,False,True,1,False,False,False,True,True
163,power_anisotropic,True,False,True,5,False,False,False,True,True
163,beta_skew,True,False,True,1,False,False,False,True,True
164,power_anisotropic,True,False,True,1,False,False,False,True,True
164,beta_skew,True,False,True,2,False,False,False,True,True
165,power_anisotropic,True,False,True,1,False,False,False,True,True
165,beta_skew,True,False,True,2,False,False,False,True,True
166,power_anisotropic,True,False,True,2,False,False,False,True,True
166,beta_skew,True,False,True,4,False,False,False,True,True
167,power_anisotropic,True,False,True,1,False,False,False,True,True
167,beta_skew,True,False,True,4,False,False,False,True,True
168,power_anisotropic,True,False,True,1,False,False,False,True,True
168,beta_skew,True,False,True,1,False,False,False,True,True
169,power_anisotropic,True,False,True,2,False,False,False,True,True
169,beta_skew,True,False,True,1,False,False,False,True,True
170,power_anisotropic,True,False,True,1,False,False,False,True,True
170,beta_skew,True,False,True,1,False,False,False,True,True
171,power_anisotropic,True,False,True,1,False,False,False,True,True
171,beta_skew,True,False,True,1,False,False,False,True,True
172,power_anisotropic,True,False,True,1,False,False,False,True,True
172,beta_skew,True,False,True,1,False,False,False,True,True
173,power_anisotropic,True,False,True,1,False,False,False,True,True
173,beta_skew,True,False,True,1,False,False,False,True,True
174,power_anisotropic,True,False,True,2,False,False,False,True,True
174,beta_skew,True,False,True,2,False,False,False,True,True
175,power_anisotropic,True,False,True,1,False,False,False,True,True
175,beta_skew,True,False,True,2,False,False,False,True,True
176,power_anisotropic,True,False,True,1,False,False,False,True,True
176,beta_skew,True,False,True,4,False,False,False,True,True
177,power_anisotropic,True,False,True,2,False,False,False,True,True
177,beta_skew,True,False,True,2,False,False,False,True,True
178,power_anisotropic,True,False,True,2,False,False,False,True,True
178,beta_skew,True,False,True,1,False,False,False,True,True
179,power_anisotropic,True,False,True,1,False,False,False,True,True
179,beta_skew,True,False,True,1,False,False,False,True,True
180,power_anisotropic,True,False,True,3,False,False,False,True,True
180,beta_skew,True,False,True,3,False,False,False,True,True
181,power_anisotropic,True,False,True,1,False,False,False,True,True
