n,sample_index,clone_count,maximum_macro_error,maximum_conservation_error
10,72,5,1.1102230246251565e-16,2.4424906541753444e-15
10,73,5,5.551115123125783e-17,1.3322676295501878e-15
10,74,4,8.326672684688674e-17,1.887379141862766e-15
10,75,5,1.1102230246251565e-16,1.7763568394002505e-15
10,76,2,1.1102230246251565e-16,1.887379141862766e-15
10,77,6,8.326672684688674e-17,1.887379141862766e-15
10,78,2,5.551115123125783e-17,1.7763568394002505e-15
10,79,5,5.551115123125783e-17,1.5543122344752192e-15
10,80,5,9.71445146547012e-17,1.7763568394002505e-15
10,81,3,8.326672684688674e-17,1.9984014443252818e-15
10,82,5,3.0531133177191805e-16,1.7763568394002505e-15
10,83,2,5.551115123125783e-17,1.4432899320127035e-15
10,84,2,5.551115123125783e-17,1.6653345369377348e-15
10,85,2,8.326672684688674e-17,1.887379141862766e-15
10,86,5,1.1102230246251565e-16,2.220446049250313e-15
10,87,3,5.551115123125783e-17,1.6653345369377348e-15
10,88,4,5.551115123125783e-17,1.5543122344752192e-15
10,89,2,5.551115123125783e-17,1.7763568394002505e-15
10,90,2,6.938893903907228e-17,1.5543122344752192e-15
10,91,2,5.551115123125783e-17,1.5543122344752192e-15
10,92,4,1.1102230246251565e-16,1.4432899320127035e-15
10,93,3,1.6653345369377348e-16,1.7763568394002505e-15
10,94,6,1.1102230246251565e-16,1.3322676295501878e-15
10,95,2,2.220446049250313e-16,1.7763568394002505e-15
10,96,4,1.6653345369377348e-16,2.1094237467877974e-15
10,97,5,1.3877787807814457e-16,1.3322676295501878e-15
10,98,5,1.942890293094024e-16,2.886579864025407e-15
10,99,3,1.1102230246251565e-16,1.5543122344752192e-15
10,100,3,5.551115123125783e-17,9.992007221626409e-16
10,101,4,5.551115123125783e-17,1.7763568394002505e-15
10,102,4,1.3877787807814457e-16,2.55351295663786e-15
10,103,5,5.551115123125783e-17,1.3322676295501878e-15
10,104,4,8.326672684688674e-17,1.7763568394002505e-15
10,105,5,1.1102230246251565e-16,2.220446049250313e-15
10,106,4,5.551115123125783e-17,1.7763568394002505e-15
10,107,4,5.551115123125783e-17,1.3322676295501878e-15
10,108,6,1.3877787807814457e-16,1.7763568394002505e-15
10,109,2,1.3877787807814457e-16,1.9984014443252818e-15
10,110,4,1.1102230246251565e-16,1.7763568394002505e-15
10,111,4,1.1102230246251565e-16,1.7763568394002505e-15
10,112,2,4.163336342344337e-17,1.2212453270876722e-15
10,113,6,8.326672684688674e-17,1.2212453270876722e-15
10,114,4,8.326672684688674e-17,1.3322676295501878e-15
10,115,3,8.326672684688674e-17,2.1094237467877974e-15
10,116,3,5.551115123125783e-17,1.6653345369377348e-15
10,117,2,9.71445146547012e-17,2.220446049250313e-15
10,118,3,6.938893903907228e-17,1.4432899320127035e-15
10,119,6,5.551115123125783e-17,1.5543122344752192e-15
10,120,3,1.3877787807814457e-16,1.4432899320127035e-15
10,121,2,8.326672684688674e-17,1.4432899320127035e-15
10,122,6,1.942890293094024e-16,1.3322676295501878e-15
10,123,4,4.163336342344337e-17,1.5543122344752192e-15
10,124,3,1.1102230246251565e-16,1.3322676295501878e-15
10,125,5,8.326672684688674e-17,1.2212453270876722e-15
10,126,3,5.551115123125783e-17,1.7763568394002505e-15
10,127,4,8.326672684688674e-17,1.7763568394002505e-15
10,128,6,1.1102230246251565e-16,1.6653345369377348e-15
10,129,2,1.6653345369377348e-16,1.5543122344752192e-15
10,130,5,5.551115123125783e-17,1.5543122344752192e-15
10,131,5,1.6653345369377348e-16,2.55351295663786e-15
10,132,5,5.551115123125783e-17,1.4432899320127035e-15
10,133,5,8.326672684688674e-17,1.7763568394002505e-15
10,134,4,8.326672684688674e-17,1.6653345369377348e-15
10,135,6,5.551115123125783e-17,1.6653345369377348e-15
10,136,4,1.1102230246251565e-16,1.3322676295501878e-15
10,137,5,2.7755575615628914e-17,1.6653345369377348e-15
10,138,6,1.1102230246251565e-16,1.6653345369377348e-15
10,139,3,1.1102230246251565e-16,2.1094237467877974e-15
10,140,2,8.326672684688674e-17,1.3322676295501878e-15
10,141,2,1.942890293094024e-16,1.3322676295501878e-15
10,142,4,8.326672684688674e-17,1.3322676295501878e-15
10,143,2,5.551115123125783e-17,1.7763568394002505e-15
10,144,5,5.551115123125783e-17,1.3322676295501878e-15
10,145,6,2.7755575615628914e-16,1.4432899320127035e-15
10,146,6,5.551115123125783e-17,2.4424906541753444e-15
10,147,4,1.1102230246251565e-16,1.4432899320127035e-15
10,148,3,2.7755575615628914e-17,1.5543122344752192e-15
10,149,6,5.551115123125783e-17,1.3322676295501878e-15
10,150,3,2.220446049250313e-16,2.4424906541753444e-15
10,151,6,5.551115123125783e-17,1.5543122344752192e-15
10,152,5,6.938893903907228e-17,1.7763568394002505e-15
10,153,2,2.7755575615628914e-17,1.4432899320127035e-15
10,154,3,5.551115123125783e-17,1.1102230246251565e-15
10,155,6,1.3877787807814457e-16,2.220446049250313e-15
10,156,5,1.6653345369377348e-16,1.4432899320127035e-15
10,157,4,2.220446049250313e-16,1.2212453270876722e-15
10,158,4,5.551115123125783e-17,1.7763568394002505e-15
10,159,4,5.551115123125783e-17,1.5543122344752192e-15
10,160,6,5.551115123125783e-17,1.4432899320127035e-15
10,161,6,1.1102230246251565e-16,1.6653345369377348e-15
10,162,2,5.551115123125783e-17,1.6653345369377348e-15
10,163,6,1.3877787807814457e-16,2.1094237467877974e-15
10,164,4,8.326672684688674e-17,1.6653345369377348e-15
10,165,3,1.3877787807814457e-16,1.7763568394002505e-15
10,166,2,8.326672684688674e-17,1.7763568394002505e-15
10,167,5,1.1102230246251565e-16,1.5543122344752192e-15
10,168,3,5.551115123125783e-17,2.220446049250313e-15
10,169,2,8.326672684688674e-17,2.1094237467877974e-15
10,170,3,4.163336342344337e-17,1.5543122344752192e-15
10,171,3,2.220446049250313e-16,1.9984014443252818e-15
10,172,4,4.163336342344337e-17,1.3322676295501878e-15
10,173,6,5.551115123125783e-17,1.3322676295501878e-15
10,174,6,8.326672684688674e-17,1.887379141862766e-15
10,175,6,5.551115123125783e-17,9.992007221626409e-16
10,176,4,1.1102230246251565e-16,1.6653345369377348e-15
10,177,2,8.326672684688674e-17,1.4432899320127035e-15
10,178,5,1.5265566588595902e-16,2.886579864025407e-15
10,179,3,5.551115123125783e-17,1.2212453270876722e-15
20,0,3,4.163336342344337e-17,1.887379141862766e-15
20,1,5,6.938893903907228e-17,2.220446049250313e-15
20,2,6,5.551115123125783e-17,2.1094237467877974e-15
20,3,5,2.7755575615628914e-17,2.220446049250313e-15
20,4,2,4.163336342344337e-17,2.4424906541753444e-15
20,5,6,5.551115123125783e-17,2.220446049250313e-15
20,6,4,2.7755575615628914e-17,2.55351295663786e-15
20,7,2,8.326672684688674e-17,2.7755575615628914e-15
20,8,4,2.7755575615628914e-17,1.7763568394002505e-15
20,9,5,2.7755575615628914e-17,2.4424906541753444e-15
20,10,2,2.0816681711721685e-17,2.7755575615628914e-15
20,11,6,4.163336342344337e-17,1.887379141862766e-15
20,12,2,2.7755575615628914e-17,2.55351295663786e-15
20,13,6,4.163336342344337e-17,1.9984014443252818e-15
20,14,4,2.7755575615628914e-17,2.220446049250313e-15
20,15,4,2.7755575615628914e-17,2.4424906541753444e-15
20,16,4,2.7755575615628914e-17,1.887379141862766e-15
20,17,5,4.163336342344337e-17,1.7763568394002505e-15
20,18,6,4.163336342344337e-17,1.4432899320127035e-15
20,19,3,4.163336342344337e-17,2.3314683517128287e-15
20,20,2,4.163336342344337e-17,1.887379141862766e-15
