n,sample_index,measure,clone_count,macro_total_variation,refinement_consistent
10,99,relation_stationary,4,0.26716113761992877,False
10,99,q_stationary,4,0.2808055842381354,False
10,99,q_node_softmax,4,0.223511345155583,False
10,100,uniform_count,2,0.08181818181818183,False
10,100,degree,2,0.0922009253139458,False
10,100,relation_stationary,2,0.06536999278684005,False
10,100,q_stationary,2,0.06660881435343256,False
10,100,q_node_softmax,2,0.12051563630457876,False
10,101,uniform_count,3,0.15000000000000002,False
10,101,degree,3,0.1515151515151515,False
10,101,relation_stationary,3,0.21370957901754473,False
10,101,q_stationary,3,0.11870504389342516,False
10,101,q_node_softmax,3,0.11352683578437893,False
10,102,uniform_count,3,0.15000000000000002,False
10,102,degree,3,0.13829268292682928,False
10,102,relation_stationary,3,0.11066633595291682,False
10,102,q_stationary,3,0.06507366404130258,False
10,102,q_node_softmax,3,0.1775847244206925,False
10,103,uniform_count,6,0.29999999999999993,False
10,103,degree,6,0.24934383202099739,False
10,103,relation_stationary,6,0.15669534219577314,False
10,103,q_stationary,6,0.0510966703272779,False
10,103,q_node_softmax,6,0.3006401995736529,False
10,104,uniform_count,2,0.08181818181818183,False
10,104,degree,2,0.0841750841750842,False
10,104,relation_stationary,2,0.07157643155913988,False
10,104,q_stationary,2,0.10638314119803109,False
10,104,q_node_softmax,2,0.08177649890686853,False
10,105,uniform_count,5,0.2571428571428572,False
10,105,degree,5,0.2666227781435155,False
10,105,relation_stationary,5,0.27372873070740283,False
10,105,q_stationary,5,0.011693126246387414,False
10,105,q_node_softmax,5,0.2958640554869781,False
10,106,uniform_count,2,0.08181818181818183,False
10,106,degree,2,0.08658008658008658,False
10,106,relation_stationary,2,0.06187896343958147,False
10,106,q_stationary,2,0.03143829036780169,False
10,106,q_node_softmax,2,0.07869787904651177,False
10,107,uniform_count,5,0.2571428571428572,False
10,107,degree,5,0.23266563944530044,False
10,107,relation_stationary,5,0.1530284367998911,False
10,107,q_stationary,5,0.17325888431871467,False
10,107,q_node_softmax,5,0.31853393535448626,False
10,108,uniform_count,2,0.08181818181818183,False
10,108,degree,2,0.09178403755868544,False
10,108,relation_stationary,2,0.047184932879094074,False
10,108,q_stationary,2,0.0205017827270405,False
10,108,q_node_softmax,2,0.08206073192624233,False
10,109,uniform_count,5,0.2571428571428572,False
10,109,degree,5,0.22669789227166276,False
10,109,relation_stationary,5,0.1447113129570759,False
10,109,q_stationary,5,0.0611861118347808,False
10,109,q_node_softmax,5,0.16799556763193121,False
10,110,uniform_count,3,0.15000000000000002,False
10,110,degree,3,0.12500000000000003,False
10,110,relation_stationary,3,0.05665554892215869,False
10,110,q_stationary,3,0.08017755465865914,False
10,110,q_node_softmax,3,0.17218408465567184,False
10,111,uniform_count,3,0.15000000000000002,False
10,111,degree,3,0.14501039501039503,False
10,111,relation_stationary,3,0.08694690921980651,False
10,111,q_stationary,3,0.12349408373383089,False
10,111,q_node_softmax,3,0.15316271210344168,False
10,112,uniform_count,3,0.15000000000000002,False
10,112,degree,3,0.15359477124183007,False
10,112,relation_stationary,3,0.2051857321962718,False
10,112,q_stationary,3,0.14636336755469145,False
