n,sample_index,measure,same_relation_measure_tv
10,173,q_node_softmax,0.1329147456765229
10,174,q_stationary,0.6569367762357551
10,174,q_node_softmax,0.27109461265059115
10,175,q_stationary,0.12740345224342978
10,175,q_node_softmax,0.15575062199453585
10,176,q_stationary,0.5656998256297718
10,176,q_node_softmax,0.17553620086864669
10,177,q_stationary,0.36520271234536383
10,177,q_node_softmax,0.24728138297838892
10,178,q_stationary,0.4413058140678775
10,178,q_node_softmax,0.19593098702329803
10,179,q_stationary,0.3892825220738111
10,179,q_node_softmax,0.2785738263326668
20,0,q_stationary,0.26214747120370546
20,0,q_node_softmax,0.1279715959534021
20,1,q_stationary,0.25814560778324014
20,1,q_node_softmax,0.21041250741390696
20,2,q_stationary,0.5074597450137414
20,2,q_node_softmax,0.19106261574983244
20,3,q_stationary,0.24617596171903575
20,3,q_node_softmax,0.1413549526431972
20,4,q_stationary,0.4240850523653835
20,4,q_node_softmax,0.16781972790722863
20,5,q_stationary,0.35104448697608087
20,5,q_node_softmax,0.19842680138291144
20,6,q_stationary,0.20075251771467834
20,6,q_node_softmax,0.16856753662157947
20,7,q_stationary,0.2695144693064142
20,7,q_node_softmax,0.17553167301774006
20,8,q_stationary,0.42690775924362445
20,8,q_node_softmax,0.17028277804720646
20,9,q_stationary,0.2486738505708197
20,9,q_node_softmax,0.22378382363066068
20,10,q_stationary,0.2887222898594398
20,10,q_node_softmax,0.20049730257816362
20,11,q_stationary,0.22173349095615325
20,11,q_node_softmax,0.2118568902664231
20,12,q_stationary,0.37300902806204916
20,12,q_node_softmax,0.1386277725540875
20,13,q_stationary,0.43424410380010614
20,13,q_node_softmax,0.15015945186552423
20,14,q_stationary,0.4678758918775678
20,14,q_node_softmax,0.13205793489802178
20,15,q_stationary,0.30198991927516217
20,15,q_node_softmax,0.1794574454273025
20,16,q_stationary,0.33790863863590126
20,16,q_node_softmax,0.16238010878701387
20,17,q_stationary,0.35169134169923916
20,17,q_node_softmax,0.2271506493977621
20,18,q_stationary,0.3344211150276339
20,18,q_node_softmax,0.15460986497603543
20,19,q_stationary,0.42747192234853704
20,19,q_node_softmax,0.16152862641955223
20,20,q_stationary,0.30219765733890425
20,20,q_node_softmax,0.23055802940631256
20,21,q_stationary,0.3159176412584834
20,21,q_node_softmax,0.18131665644561806
20,22,q_stationary,0.18351568281333858
20,22,q_node_softmax,0.19810604280357344
20,23,q_stationary,0.3948933577586613
20,23,q_node_softmax,0.1906056876431022
20,24,q_stationary,0.27271547257446677
20,24,q_node_softmax,0.1267578424822769
20,25,q_stationary,0.3262499275688983
20,25,q_node_softmax,0.18902275338490077
