n,phase,candidate_index,gadget_count,gadget_vertex_fraction,core_n,prefix_size,suffix_size,target_ordering_fraction,ordering_fraction,ordering_fraction_mismatch,induced_s3_certificate,transitive,q_score,p_value,accepted_by_a14
128,discovery,0,2,0.09375,116,30,39,0.5253444881889764,0.5253444881889764,0.0,True,True,199.7296810964067,0.004524886877828055,False
128,discovery,1,2,0.09375,116,25,54,0.5216535433070866,0.5216535433070866,0.0,True,True,204.33238640971706,0.004524886877828055,False
128,discovery,2,2,0.09375,116,29,30,0.5065206692913385,0.5065206692913385,0.0,True,True,164.6110774933513,0.004524886877828055,False
128,discovery,3,2,0.09375,116,20,26,0.48326771653543305,0.48326771653543305,0.0,True,True,222.64874178915363,0.004524886877828055,False
128,discovery,4,2,0.09375,116,36,25,0.49606299212598426,0.4961860236220472,0.00012303149606296415,True,True,250.5520106611582,0.004524886877828055,False
128,discovery,5,2,0.09375,116,36,39,0.5671751968503937,0.5671751968503937,0.0,True,True,171.36422862107656,0.004524886877828055,False
128,discovery,6,2,0.09375,116,49,20,0.48683562992125984,0.48683562992125984,0.0,True,True,203.507825545545,0.004524886877828055,False
128,discovery,7,2,0.09375,116,46,28,0.5279281496062992,0.5279281496062992,0.0,True,True,214.89849831040564,0.004524886877828055,False
128,discovery,8,2,0.09375,116,15,37,0.5068897637795275,0.5068897637795275,0.0,True,True,195.50508961487455,0.004524886877828055,False
128,discovery,9,2,0.09375,116,14,15,0.45410925196850394,0.4543553149606299,0.0002460629921259838,True,True,129.72062377418385,0.004524886877828055,False
128,discovery,10,2,0.09375,116,40,15,0.5050442913385826,0.5050442913385826,0.0,True,True,116.97503939250315,0.004524886877828055,False
128,discovery,11,2,0.09375,116,18,41,0.4816683070866142,0.4816683070866142,0.0,True,True,154.94100914449197,0.004524886877828055,False
128,discovery,12,2,0.09375,116,23,31,0.5140255905511811,0.5140255905511811,0.0,True,True,101.91430972832644,0.01809954751131222,False
128,discovery,13,2,0.09375,116,19,34,0.4943405511811024,0.4943405511811024,0.0,True,True,166.0888644595421,0.004524886877828055,False
128,discovery,14,2,0.09375,116,15,15,0.5105807086614174,0.5100885826771654,0.0004921259842519676,True,True,75.10391748883039,0.2081447963800905,True
128,discovery,15,2,0.09375,116,14,38,0.48683562992125984,0.48683562992125984,0.0,True,True,108.89939097051226,0.004524886877828055,False
128,discovery,16,2,0.09375,116,53,25,0.5171013779527559,0.5171013779527559,0.0,True,True,267.7615993525018,0.004524886877828055,False
128,discovery,17,2,0.09375,116,10,37,0.4964320866141732,0.4964320866141732,0.0,True,True,128.1414241879081,0.004524886877828055,False
128,discovery,18,2,0.09375,116,23,40,0.5017224409448819,0.5017224409448819,0.0,True,True,275.5788841265951,0.004524886877828055,False
128,discovery,19,2,0.09375,116,28,18,0.4873277559055118,0.4873277559055118,0.0,True,True,96.21902913702112,0.027149321266968326,False
128,discovery,20,2,0.09375,116,38,11,0.4749015748031496,0.4749015748031496,0.0,True,True,140.75997319929894,0.004524886877828055,False
128,discovery,21,2,0.09375,116,21,18,0.47563976377952755,0.4761318897637795,0.0004921259842519676,True,True,112.18322816640584,0.004524886877828055,False
128,discovery,22,2,0.09375,116,14,15,0.46653543307086615,0.4671505905511811,0.0006151574803149318,True,True,101.15171561484969,0.02262443438914027,False
128,discovery,23,2,0.09375,116,20,39,0.5082431102362205,0.5082431102362205,0.0,True,True,146.83425051307506,0.004524886877828055,False
128,discovery,24,2,0.09375,116,20,52,0.5103346456692913,0.5103346456692913,0.0,True,True,151.53066081285297,0.004524886877828055,False
128,discovery,25,2,0.09375,116,9,9,0.4436515748031496,0.44328248031496065,0.00036909448818894797,True,True,98.18017709507302,0.027149321266968326,False
128,discovery,26,2,0.09375,116,27,26,0.4859744094488189,0.4859744094488189,0.0,True,True,159.5915762251539,0.004524886877828055,False
128,discovery,27,2,0.09375,116,17,30,0.49126476377952755,0.49126476377952755,0.0,True,True,167.95532764275973,0.004524886877828055,False
128,discovery,28,2,0.09375,116,32,50,0.5442913385826772,0.5442913385826772,0.0,True,True,268.67963625088015,0.004524886877828055,False
128,discovery,29,2,0.09375,116,2,3,0.4575541338582677,0.45718503937007876,0.00036909448818894797,True,True,54.24771457374442,0.7058823529411765,True
128,discovery,30,2,0.09375,116,12,12,0.45398622047244097,0.45386318897637795,0.00012303149606301966,True,True,131.18773225511106,0.004524886877828055,False
