sample_index,epsilon,total_variation,nonincreasing_from_previous
25,1e-05,8.730876487970777e-07,True
25,1e-06,8.730917276018661e-08,True
26,0.1,0.040476423565881284,True
26,0.01,0.004221716289934561,True
26,0.001,0.00042400533087654587,True
26,0.0001,4.2418968364249776e-05,True
26,1e-05,4.2420812879682755e-06,True
26,1e-06,4.242099734282105e-07,True
27,0.1,0.0032560992112654627,True
27,0.01,0.00033175546346766706,True
27,0.001,3.323853795596039e-05,True
27,0.0001,3.3244852954538545e-06,True
27,1e-05,3.324548461970619e-07,True
27,1e-06,3.3245547799822285e-08,True
28,0.1,0.008370765612582737,True
28,0.01,0.0008668214192047801,True
28,0.001,8.699174623112414e-05,True
28,0.0001,8.702283304115125e-06,True
28,1e-05,8.702594299702983e-07,True
28,1e-06,8.702625406801583e-08,True
29,0.1,0.02933218256304481,True
29,0.01,0.0030113689128414686,True
29,0.001,0.00030194167945133164,True
29,0.0001,3.0202239824332546e-05,True
29,1e-05,3.0203047252571306e-06,True
29,1e-06,3.020312800093125e-07,True
30,0.1,0.012431841611274152,True
30,0.01,0.0012591630206374243,True
30,0.001,0.00012607831099854976,True
30,0.0001,1.2609453440364677e-05,True
30,1e-05,1.2609615697668622e-06,True
30,1e-06,1.2609631920252723e-07,True
31,0.1,0.03716159972538484,True
31,0.01,0.003861173282753862,True
31,0.001,0.00038763807825155133,True
31,0.0001,3.877908963267517e-05,True
31,1e-05,3.878061856093469e-06,True
31,1e-06,3.878077146205524e-07,True
32,0.1,0.00283205742979539,True
32,0.01,0.0002834168659311668,True
32,0.001,2.834328765752056e-05,True
32,0.0001,2.8343442506451133e-06,True
32,1e-05,2.834345793961593e-07,True
32,1e-06,2.834345945949625e-08,True
33,0.1,0.003445149258638862,True
33,0.01,0.00034671315384735116,True
33,0.001,3.4693379218065933e-05,True
33,0.0001,3.469558640828171e-06,True
33,1e-05,3.469580712915486e-07,True
33,1e-06,3.4695829160575474e-08,True
34,0.1,0.003294105293672979,True
34,0.01,0.0003314369619483884,True
34,0.001,3.316407852116911e-05,True
34,0.0001,3.3166117939409787e-06,True
34,1e-05,3.3166321899065863e-07,True
34,1e-06,3.316634218388027e-08,True
35,0.1,0.015001713231417652,True
35,0.01,0.0015210063210523914,True
35,0.001,0.0001523121254029801,True
35,0.0001,1.5233330664367206e-05,True
35,1e-05,1.5233542508762407e-06,True
35,1e-06,1.523356368964961e-07,True
36,0.1,0.09392782157869384,True
36,0.01,0.010669720668692942,True
36,0.001,0.00108194335937751,True
36,0.0001,0.00010834664442152829,True
36,1e-05,1.0836190168888928e-05,True
36,1e-06,1.083634276782082e-06,True
37,0.1,0.8486291938079791,True
37,0.01,0.9580623015069093,False
37,0.001,0.8683963859397205,True
37,0.0001,0.428789649085807,True
37,1e-05,0.07068614133942103,True
37,1e-06,0.007558755517521127,True
38,0.1,0.006740787239491343,True
38,0.01,0.0006791810870707507,True
38,0.001,6.796953753188379e-05,True
38,0.0001,6.7974684498735755e-06,True
38,1e-05,6.797519924790433e-07,True
38,1e-06,6.797525071414367e-08,True
39,0.1,0.04110066172284953,True
39,0.01,0.004319476719791073,True
39,0.001,0.0004341767073866591,True
39,0.0001,4.344010513133841e-05,True
39,1e-05,4.344235002120251e-06,True
39,1e-06,4.3442574537326066e-07,True
40,0.1,0.006642698920006726,True
40,0.01,0.0006694177237125506,True
40,0.001,6.699367153629627e-05,True
40,0.0001,6.699886569484025e-06,True
40,1e-05,6.699938516238431e-07,True
