sample_index,old_count,observed_new_probability,asymptotic_new_probability,asymptotic_probability_error,old_pair_log_odds,expanded_pair_log_odds,pair_odds_collapsed_toward_one,absolute_expanded_pair_log_odds
2999,12,0.0019505656530105404,0.0019505656530105387,1.734723475976807e-18,-1.2406765907179171,-2.9143558102919652e-08,True,2.9143558102919652e-08
3000,10,0.0030758588429540103,0.003075858842954005,5.204170427930421e-18,0.7314692095260958,2.7240903827999486e-08,True,2.7240903827999486e-08
3001,11,0.002433395264842941,0.002433395264842939,2.168404344971009e-18,-0.5125660760223872,-1.5793848798062823e-08,True,1.5793848798062823e-08
3002,6,0.009475758845705584,0.00947575884570558,5.204170427930421e-18,0.6882794882451548,1.7780234681935197e-08,True,1.7780234681935197e-08
3003,8,0.005161146325458141,0.005161146325458139,1.734723475976807e-18,-2.0973216238644223,-5.0051260056759995e-08,True,5.0051260056759995e-08
3004,13,0.001581417945169417,0.0015814179451694148,2.168404344971009e-18,0.049361659887570464,1.5823928821404748e-09,True,1.5823928821404748e-09
3005,13,0.0015814179451694188,0.0015814179451694148,3.903127820947816e-18,-0.13755619566000496,-5.773783690058942e-09,True,5.773783690058942e-09
3006,3,0.032045963691410086,0.0320459636914101,1.3877787807814457e-17,-0.8388415402238978,-2.9766779085954205e-09,True,2.9766779085954205e-09
3007,9,0.003948127541290038,0.0039481275412900346,3.469446951953614e-18,1.055050887691016,3.255578464886097e-08,True,3.255578464886097e-08
3008,7,0.0068978351134973605,0.006897835113497354,6.938893903907228e-18,-2.186975401215591,-7.291105096798658e-08,True,7.291105096798658e-08
3009,13,0.0015814179451694194,0.0015814179451694148,4.553649124439119e-18,-1.9346366291412054,-8.773985023746443e-08,True,8.773985023746443e-08
3010,9,0.003948127541290046,0.0039481275412900346,1.1275702593849246e-17,0.5260079351196835,2.66874285773046e-08,True,2.66874285773046e-08
3011,5,0.013483418194656803,0.013483418194656805,1.734723475976807e-18,-0.8706688034131441,-1.0566841235666705e-08,True,1.0566841235666705e-08
3012,12,0.0019505656530105398,0.0019505656530105387,1.0842021724855044e-18,0.8648213447873184,2.378368540472988e-08,True,2.378368540472988e-08
3013,9,0.003948127541290041,0.0039481275412900346,6.071532165918825e-18,-3.057842048695539,-1.2212046309345735e-07,True,1.2212046309345735e-07
3014,13,0.0015814179451694155,0.0015814179451694148,6.505213034913027e-19,-2.3435385512538964,-5.8051515059113566e-08,True,5.8051515059113566e-08
3015,13,0.0015814179451694155,0.0015814179451694148,6.505213034913027e-19,-3.1747658699781005,-9.310546656316234e-08,True,9.310546656316234e-08
3016,8,0.0051611463254581415,0.005161146325458139,2.6020852139652106e-18,-1.6689130921980446,-4.086421562471292e-08,True,4.086421562471292e-08
3017,11,0.002433395264842943,0.002433395264842939,3.903127820947816e-18,1.389076700933731,4.9074606728749985e-08,True,4.9074606728749985e-08
3018,6,0.009475758845705584,0.00947575884570558,5.204170427930421e-18,-2.324045411959579,-6.946610184103102e-08,True,6.946610184103102e-08
3019,13,0.001581417945169417,0.0015814179451694148,2.168404344971009e-18,0.10441181428718148,3.725487023042251e-09,True,3.725487023042251e-09
3020,13,0.0015814179451694157,0.0015814179451694148,8.673617379884035e-19,-0.4088057874653065,-1.0448414854608583e-08,True,1.0448414854608583e-08
3021,7,0.006897835113497357,0.006897835113497354,3.469446951953614e-18,-1.731143781481298,-4.864506116331676e-08,True,4.864506116331676e-08
3022,3,0.032045963691410106,0.0320459636914101,6.938893903907228e-18,-2.375825427728034,-7.55553287389613e-08,True,7.55553287389613e-08
3023,9,0.003948127541290038,0.0039481275412900346,3.469446951953614e-18,-0.1312327957430921,-3.305997481242454e-09,True,3.305997481242454e-09
3024,6,0.00947575884570558,0.00947575884570558,0.0,1.7152979243433464,5.421103729970694e-08,True,5.421103729970694e-08
3025,10,0.0030758588429540094,0.003075858842954005,4.336808689942018e-18,1.5207831051681349,5.342133370638846e-08,True,5.342133370638846e-08
3026,6,0.009475758845705581,0.00947575884570558,1.734723475976807e-18,-0.0492356263837006,-1.120375126634554e-09,True,1.120375126634554e-09
3027,6,0.009475758845705576,0.00947575884570558,3.469446951953614e-18,-1.5385596597908393,-3.050059562577502e-08,True,3.050059562577502e-08
3028,4,0.020108596134468117,0.020108596134468113,3.469446951953614e-18,0.39455206624190264,1.2908655172511049e-08,True,1.2908655172511049e-08
3029,10,0.003075858842954012,0.003075858842954005,6.938893903907228e-18,0.360178263259781,1.4767670088770736e-08,True,1.4767670088770736e-08
3030,5,0.013483418194656807,0.013483418194656805,1.734723475976807e-18,2.0490310106796317,3.6887917817182e-08,True,3.6887917817182e-08
3031,5,0.013483418194656812,0.013483418194656805,6.938893903907228e-18,2.9836509865142133,4.4264249285496116e-08,True,4.4264249285496116e-08
3032,9,0.003948127541290038,0.0039481275412900346,3.469446951953614e-18,-0.08838981449600693,-1.890239189183005e-09,True,1.890239189183005e-09
3033,7,0.006897835113497355,0.006897835113497354,1.734723475976807e-18,1.3942852848921583,3.111335296516549e-08,True,3.111335296516549e-08
3034,9,0.003948127541290035,0.0039481275412900346,8.673617379884035e-19,0.3036965551955605,5.566917800118406e-09,True,5.566917800118406e-09
3035,3,0.0320459636914101,0.0320459636914101,0.0,-2.4252950843566965,-5.618300507288229e-09,True,5.618300507288229e-09
3036,7,0.006897835113497356,0.006897835113497354,2.6020852139652106e-18,-2.128185327362082,-5.812647610084534e-08,True,5.812647610084534e-08
3037,13,0.0015814179451694153,0.0015814179451694148,4.336808689942018e-19,-2.5624951107387743,-7.435774594952001e-08,True,7.435774594952001e-08
3038,13,0.0015814179451694168,0.0015814179451694148,1.951563910473908e-18,-2.0790832830398984,-7.47908205580167e-08,True,7.47908205580167e-08
3039,9,0.00394812754129004,0.0039481275412900346,5.204170427930421e-18,-0.7038138709008831,-2.6425936011098452e-08,True,2.6425936011098452e-08
3040,5,0.013483418194656809,0.013483418194656805,3.469446951953614e-18,0.695074535939928,2.0494904452250996e-08,True,2.0494904452250996e-08
3041,5,0.013483418194656812,0.013483418194656805,6.938893903907228e-18,1.238976649945024,3.750731277389259e-08,True,3.750731277389259e-08
3042,8,0.005161146325458147,0.005161146325458139,7.806255641895632e-18,0.4554091528205897,1.9353941595253046e-08,True,1.9353941595253046e-08
3043,3,0.032045963691410106,0.0320459636914101,6.938893903907228e-18,-2.212887909825737,-4.13776046438042e-08,True,4.13776046438042e-08
3044,3,0.032045963691410106,0.0320459636914101,6.938893903907228e-18,-2.257297535009647,-5.4850544722812e-08,True,5.4850544722812e-08
3045,4,0.020108596134468117,0.020108596134468113,3.469446951953614e-18,0.011621461222303441,1.3657142082967866e-10,True,1.3657142082967866e-10
3046,13,0.0015814179451694183,0.0015814179451694148,3.469446951953614e-18,0.6971530850241993,3.063479689629092e-08,True,3.063479689629092e-08
3047,3,0.03204596369141009,0.0320459636914101,6.938893903907228e-18,2.1777267662709896,5.345505428646883e-08,True,5.345505428646883e-08
3048,13,0.0015814179451694172,0.0015814179451694148,2.3852447794681098e-18,-1.0494687259518902,-3.70512847272554e-08,True,3.70512847272554e-08
3049,11,0.0024333952648429424,0.002433395264842939,3.469446951953614e-18,-1.4282263960818231,-4.9284422980359925e-08,True,4.9284422980359925e-08
3050,7,0.006897835113497358,0.006897835113497354,4.336808689942018e-18,-0.2601575776193641,-8.671390199070839e-09,True,8.671390199070839e-09
3051,6,0.009475758845705581,0.00947575884570558,1.734723475976807e-18,-1.6151746318754472,-2.804860494344152e-08,True,2.804860494344152e-08
3052,5,0.013483418194656812,0.013483418194656805,6.938893903907228e-18,0.5411919251015572,1.6447135518153805e-08,True,1.6447135518153805e-08
3053,10,0.00307585884295401,0.003075858842954005,4.7704895589362195e-18,1.4390333828929838,4.820607219340419e-08,True,4.820607219340419e-08
3054,7,0.0068978351134973545,0.006897835113497354,8.673617379884035e-19,-1.707725244507238,-1.936383339103519e-08,True,1.936383339103519e-08
3055,4,0.020108596134468106,0.020108596134468113,6.938893903907228e-18,0.9935521568270201,1.5367781817808916e-08,True,1.5367781817808916e-08
3056,6,0.00947575884570558,0.00947575884570558,0.0,0.03260073492734922,5.723961303299388e-10,True,5.723961303299388e-10
3057,11,0.0024333952648429424,0.002433395264842939,3.469446951953614e-18,-0.2706291529819498,-7.199329269782851e-09,True,7.199329269782851e-09
3058,9,0.003948127541290039,0.0039481275412900346,4.336808689942018e-18,-1.569724057218119,-4.988663551230864e-08,True,4.988663551230864e-08
3059,11,0.0024333952648429437,0.002433395264842939,4.7704895589362195e-18,2.718072618320993,1.1831110679602971e-07,True,1.1831110679602971e-07
3060,12,0.0019505656530105428,0.0019505656530105387,4.119968255444917e-18,-3.600362399544025,-1.317326917719377e-07,True,1.317326917719377e-07
3061,9,0.003948127541290038,0.0039481275412900346,3.469446951953614e-18,-2.006587901082419,-6.399620649461612e-08,True,6.399620649461612e-08
3062,9,0.003948127541290037,0.0039481275412900346,2.6020852139652106e-18,-1.1898549073078082,-3.2084330374274005e-08,True,3.2084330374274005e-08
3063,10,0.00307585884295401,0.003075858842954005,4.7704895589362195e-18,-3.029818101099476,-1.0019003895493142e-07,True,1.0019003895493142e-07
3064,13,0.0015814179451694175,0.0015814179451694148,2.6020852139652106e-18,-0.9294538372967108,-4.091900591037475e-08,True,4.091900591037475e-08
3065,9,0.003948127541290039,0.0039481275412900346,4.336808689942018e-18,2.023299555670204,5.98689295758568e-08,True,5.98689295758568e-08
3066,5,0.013483418194656817,0.013483418194656805,1.214306433183765e-17,-2.2650803024770965,-7.833978861605992e-08,True,7.833978861605992e-08
3067,11,0.0024333952648429415,0.002433395264842939,2.6020852139652106e-18,-3.003689065891285,-1.0184470974482352e-07,True,1.0184470974482352e-07
3068,5,0.013483418194656812,0.013483418194656805,6.938893903907228e-18,-0.6783333573438104,-1.9301060602853215e-08,True,1.9301060602853215e-08
3069,11,0.0024333952648429445,0.002433395264842939,5.637851296924623e-18,-0.4119150377737956,-1.8249463107343975e-08,True,1.8249463107343975e-08
3070,4,0.02010859613446811,0.020108596134468113,3.469446951953614e-18,1.428486946833972,6.360426831642701e-09,True,6.360426831642701e-09
3071,9,0.003948127541290039,0.0039481275412900346,4.336808689942018e-18,-0.3592549973860428,-1.1063108490550614e-08,True,1.1063108490550614e-08
3072,10,0.003075858842954008,0.003075858842954005,3.0357660829594124e-18,-1.997433781464389,-5.383534008058018e-08,True,5.383534008058018e-08
3073,12,0.001950565653010542,0.0019505656530105387,3.2526065174565133e-18,0.004998501601498993,2.1343415921247138e-10,True,2.1343415921247138e-10
3074,13,0.0015814179451694155,0.0015814179451694148,6.505213034913027e-19,2.4714715373697542,7.279703641378368e-08,True,7.279703641378368e-08
3075,12,0.0019505656530105404,0.0019505656530105387,1.734723475976807e-18,-2.480672140669383,-8.440641631031625e-08,True,8.440641631031625e-08
3076,5,0.013483418194656805,0.013483418194656805,0.0,-1.133095226714491,-3.008703809168543e-08,True,3.008703809168543e-08
3077,9,0.003948127541290037,0.0039481275412900346,2.6020852139652106e-18,-0.17661349868383797,-3.1845243159880225e-09,True,3.1845243159880225e-09
