sample_index,mode,size,clone_count,target_index,macro_total_variation,maximum_macro_probability_error,refinement_consistent
1335,weighted_z,6,4,1,8.456776945386935e-17,5.551115123125783e-17,True
1336,unweighted_raw,8,6,1,0.3594750013601528,0.35947500136015276,False
1336,unweighted_z,8,6,1,0.35266350657275247,0.35266350657275247,False
1336,weighted_raw,8,6,1,1.5612511283791264e-17,1.3877787807814457e-17,True
1336,weighted_z,8,6,1,1.196959198423997e-16,1.1102230246251565e-16,True
1337,unweighted_raw,7,2,4,0.10334950084999603,0.10334950084999606,False
1337,unweighted_z,7,2,4,0.10262227119043837,0.10262227119043843,False
1337,weighted_raw,7,2,4,6.938893903907228e-18,1.3877787807814457e-17,True
1337,weighted_z,7,2,4,8.933825901280557e-17,5.551115123125783e-17,True
1338,unweighted_raw,7,3,5,0.26061338664139916,0.26061338664139916,False
1338,unweighted_z,7,3,5,0.2509771167183346,0.2509771167183348,False
1338,weighted_raw,7,3,5,4.380176776841438e-17,2.7755575615628914e-17,True
1338,weighted_z,7,3,5,3.0357660829594124e-17,2.7755575615628914e-17,True
1339,unweighted_raw,8,6,3,0.4188169270587782,0.41881692705877827,False
1339,unweighted_z,8,6,3,0.4065620482687826,0.4065620482687826,False
1339,weighted_raw,8,6,3,2.7755575615628914e-17,2.7755575615628914e-17,True
1339,weighted_z,8,6,3,2.7755575615628914e-17,5.551115123125783e-17,True
1340,unweighted_raw,11,6,4,0.4022621032884248,0.4022621032884247,False
1340,unweighted_z,11,6,4,0.40394370486223075,0.40394370486223063,False
1340,weighted_raw,11,6,4,4.163336342344337e-17,2.7755575615628914e-17,True
1340,weighted_z,11,6,4,9.020562075079397e-17,5.551115123125783e-17,True
1341,unweighted_raw,7,2,5,0.17155522110482746,0.17155522110482752,False
1341,unweighted_z,7,2,5,0.14222508468713144,0.14222508468713146,False
1341,weighted_raw,7,2,5,0.0,0.0,True
1341,weighted_z,7,2,5,0.0,0.0,True
1342,unweighted_raw,6,6,2,0.38442380310818447,0.38442380310818447,False
1342,unweighted_z,6,6,2,0.3095694490679046,0.3095694490679046,False
1342,weighted_raw,6,6,2,1.3877787807814457e-17,2.7755575615628914e-17,True
1342,weighted_z,6,6,2,1.0408340855860843e-16,1.1102230246251565e-16,True
1343,unweighted_raw,9,3,1,0.14346553872659207,0.14346553872659204,False
1343,unweighted_z,9,3,1,0.1289607741664581,0.12896077416645813,False
1343,weighted_raw,9,3,1,7.37257477290143e-17,5.551115123125783e-17,True
1343,weighted_z,9,3,1,0.0,0.0,True
1344,unweighted_raw,4,2,3,0.14074157840272594,0.14074157840272591,False
1344,unweighted_z,4,2,3,0.12059864802645306,0.12059864802645315,False
1344,weighted_raw,4,2,3,1.3877787807814457e-17,2.7755575615628914e-17,True
1344,weighted_z,4,2,3,0.0,0.0,True
1345,unweighted_raw,6,5,3,0.34741199840088594,0.3474119984008859,False
1345,unweighted_z,6,5,3,0.3129627069992503,0.31296270699925033,False
1345,weighted_raw,6,5,3,1.3877787807814457e-17,2.7755575615628914e-17,True
1345,weighted_z,6,5,3,1.1449174941446927e-16,8.326672684688674e-17,True
1346,unweighted_raw,11,5,8,0.14366801946747515,0.14366801946747518,False
1346,unweighted_z,11,5,8,0.11319582283269002,0.11319582283269017,False
1346,weighted_raw,11,5,8,1.734723475976807e-18,3.469446951953614e-18,True
1346,weighted_z,11,5,8,4.7921736023859296e-17,5.551115123125783e-17,True
1347,unweighted_raw,5,5,1,0.14888835189313124,0.14888835189313118,False
1347,unweighted_z,5,5,1,0.11283708135698936,0.1128370813569894,False
1347,weighted_raw,5,5,1,6.938893903907228e-18,1.3877787807814457e-17,True
1347,weighted_z,5,5,1,1.734723475976807e-18,3.469446951953614e-18,True
