sample_index,operator,size,group_count,direct_score,hierarchical_score,absolute_associativity_error,associative_at_tolerance
2761,exponential_mean,11,7,-0.4516695471245808,-0.45166954712458074,5.551115123125783e-17,True
2761,weighted_median,11,7,0.07410281000767029,0.07410281000767029,0.0,True
2761,minimum,11,7,-1.1342938052745906,-1.1342938052745906,0.0,True
2762,weighted_arithmetic,28,5,-0.3736409894602625,-0.3736409894602626,1.1102230246251565e-16,True
2762,exponential_mean,28,5,-1.4758635131200082,-1.475863513120008,2.220446049250313e-16,True
2762,weighted_median,28,5,-0.7121579454662331,-0.7121579454662331,0.0,True
2762,minimum,28,5,-2.657575208497747,-2.657575208497747,0.0,True
2763,weighted_arithmetic,5,3,1.0136350225043445,1.0136350225043445,0.0,True
2763,exponential_mean,5,3,-0.7720175730314583,-0.7720175730314585,1.1102230246251565e-16,True
2763,weighted_median,5,3,1.3165698020055105,1.3165698020055105,0.0,True
2763,minimum,5,3,-2.6103689753043233,-2.6103689753043233,0.0,True
2764,weighted_arithmetic,14,6,0.6275125229758942,0.627512522975894,2.220446049250313e-16,True
2764,exponential_mean,14,6,-0.11932064404465326,-0.1193206440446529,3.608224830031759e-16,True
2764,weighted_median,14,6,0.7455595239815909,1.147661861565744,0.40210233758415304,False
2764,minimum,14,6,-1.5294335433472417,-1.5294335433472417,0.0,True
2765,weighted_arithmetic,15,5,-0.3051022857041376,-0.30510228570413767,5.551115123125783e-17,True
