sample_index,size,fine_count,coarse_count,maximum_nested_weight_error
680,15,5,2,2.842170943040401e-14
681,27,9,6,2.842170943040401e-14
682,15,4,2,2.842170943040401e-14
683,24,6,4,1.7053025658242404e-13
684,18,6,2,1.1368683772161603e-13
685,16,7,5,7.105427357601002e-15
686,14,4,2,2.842170943040401e-14
687,27,6,3,2.8421709430404007e-13
688,12,7,5,1.4210854715202004e-14
689,16,7,6,3.552713678800501e-15
690,20,5,4,8.526512829121202e-14
691,30,4,3,3.410605131648481e-13
692,15,8,2,5.684341886080802e-14
693,21,5,2,2.2737367544323206e-13
694,14,6,2,1.1368683772161603e-13
695,31,9,7,8.526512829121202e-14
696,22,9,4,1.4210854715202004e-14
697,22,6,5,8.526512829121202e-14
698,28,7,6,4.263256414560601e-14
699,30,4,3,3.410605131648481e-13
700,32,7,3,1.1368683772161603e-13
701,12,8,4,1.4210854715202004e-14
702,17,7,5,7.105427357601002e-15
703,32,4,3,2.2737367544323206e-13
704,14,4,3,1.4210854715202004e-14
705,24,9,8,7.105427357601002e-15
706,32,4,3,1.1368683772161603e-13
707,25,9,6,1.4210854715202004e-14
708,16,6,2,5.684341886080802e-14
709,26,9,2,7.958078640513122e-13
710,22,4,3,8.526512829121202e-14
711,20,4,2,1.7053025658242404e-13
712,20,4,2,2.8421709430404007e-13
713,23,8,6,2.842170943040401e-14
