sample_index,maximum_flow_aggregation_error,maximum_macro_row_sum_error
402,1.6653345369377348e-16,4.440892098500626e-16
403,1.1102230246251565e-16,0.0
404,1.1102230246251565e-16,4.440892098500626e-16
405,1.1102230246251565e-16,2.220446049250313e-16
406,2.220446049250313e-16,4.440892098500626e-16
407,3.3306690738754696e-16,4.440892098500626e-16
408,1.1102230246251565e-16,2.220446049250313e-16
409,1.1102230246251565e-16,2.220446049250313e-16
410,5.551115123125783e-17,2.220446049250313e-16
411,1.1102230246251565e-16,2.220446049250313e-16
412,2.7755575615628914e-16,2.220446049250313e-16
413,2.220446049250313e-16,2.220446049250313e-16
414,2.220446049250313e-16,4.440892098500626e-16
415,8.326672684688674e-17,0.0
416,2.220446049250313e-16,2.220446049250313e-16
417,1.6653345369377348e-16,2.220446049250313e-16
418,1.1102230246251565e-16,2.220446049250313e-16
419,1.1102230246251565e-16,2.220446049250313e-16
420,5.551115123125783e-16,4.440892098500626e-16
421,1.1102230246251565e-16,2.220446049250313e-16
422,1.1102230246251565e-16,4.440892098500626e-16
423,2.7755575615628914e-16,2.220446049250313e-16
424,3.3306690738754696e-16,4.440892098500626e-16
425,2.220446049250313e-16,2.220446049250313e-16
426,2.220446049250313e-16,2.220446049250313e-16
427,5.551115123125783e-17,3.3306690738754696e-16
428,1.1102230246251565e-16,0.0
429,1.1102230246251565e-16,3.3306690738754696e-16
430,2.220446049250313e-16,2.220446049250313e-16
431,8.326672684688674e-17,2.220446049250313e-16
432,1.6653345369377348e-16,2.220446049250313e-16
433,1.1102230246251565e-16,2.220446049250313e-16
434,5.551115123125783e-17,2.220446049250313e-16
435,1.6653345369377348e-16,2.220446049250313e-16
436,1.1102230246251565e-16,0.0
437,2.220446049250313e-16,0.0
438,1.1102230246251565e-16,1.1102230246251565e-16
439,3.3306690738754696e-16,3.3306690738754696e-16
440,2.220446049250313e-16,2.220446049250313e-16
441,1.1102230246251565e-16,2.220446049250313e-16
442,1.1102230246251565e-16,2.220446049250313e-16
443,3.3306690738754696e-16,4.440892098500626e-16
444,2.220446049250313e-16,2.220446049250313e-16
445,5.551115123125783e-17,2.220446049250313e-16
446,1.1102230246251565e-16,2.220446049250313e-16
447,1.1102230246251565e-16,2.220446049250313e-16
448,2.220446049250313e-16,1.1102230246251565e-16
449,1.1102230246251565e-16,1.1102230246251565e-16
450,1.6653345369377348e-16,2.220446049250313e-16
451,3.3306690738754696e-16,4.440892098500626e-16
452,5.551115123125783e-17,1.1102230246251565e-16
453,1.1102230246251565e-16,1.1102230246251565e-16
454,4.440892098500626e-16,0.0
455,1.6653345369377348e-16,0.0
456,3.3306690738754696e-16,4.440892098500626e-16
