sample_index,maximum_count_measure_error
417,2.7755575615628914e-17
418,1.3877787807814457e-17
419,2.7755575615628914e-17
420,5.551115123125783e-17
421,2.7755575615628914e-17
422,2.7755575615628914e-17
423,1.3877787807814457e-17
424,5.551115123125783e-17
425,5.551115123125783e-17
426,2.7755575615628914e-17
427,2.7755575615628914e-17
428,2.7755575615628914e-17
429,5.551115123125783e-17
430,5.551115123125783e-17
431,2.7755575615628914e-17
432,1.3877787807814457e-17
433,2.7755575615628914e-17
434,1.3877787807814457e-17
435,1.3877787807814457e-17
436,0.0
437,0.0
438,1.3877787807814457e-17
439,0.0
440,2.7755575615628914e-17
441,2.7755575615628914e-17
442,2.7755575615628914e-17
443,2.7755575615628914e-17
444,2.7755575615628914e-17
445,2.7755575615628914e-17
446,2.7755575615628914e-17
447,2.7755575615628914e-17
448,1.3877787807814457e-17
449,0.0
450,0.0
451,2.7755575615628914e-17
452,1.1102230246251565e-16
453,2.7755575615628914e-17
454,2.7755575615628914e-17
455,2.7755575615628914e-17
456,2.7755575615628914e-17
457,5.551115123125783e-17
458,5.551115123125783e-17
459,5.551115123125783e-17
460,1.3877787807814457e-17
461,1.3877787807814457e-17
462,2.7755575615628914e-17
463,1.3877787807814457e-17
464,5.551115123125783e-17
465,5.551115123125783e-17
466,2.7755575615628914e-17
467,5.551115123125783e-17
468,2.7755575615628914e-17
469,1.3877787807814457e-17
470,2.7755575615628914e-17
471,1.3877787807814457e-17
472,0.0
473,1.3877787807814457e-17
474,2.7755575615628914e-17
475,0.0
476,2.7755575615628914e-17
477,1.1102230246251565e-16
478,2.7755575615628914e-17
479,2.7755575615628914e-17
480,1.3877787807814457e-17
481,2.7755575615628914e-17
482,1.3877787807814457e-17
483,2.7755575615628914e-17
484,1.1102230246251565e-16
485,0.0
486,0.0
487,2.7755575615628914e-17
488,1.3877787807814457e-17
489,0.0
490,1.3877787807814457e-17
491,1.1102230246251565e-16
492,1.3877787807814457e-17
493,2.7755575615628914e-17
494,2.7755575615628914e-17
495,5.551115123125783e-17
496,1.734723475976807e-18
497,1.1102230246251565e-16
498,5.551115123125783e-17
499,1.3877787807814457e-17
500,2.7755575615628914e-17
501,0.0
502,0.0
503,2.7755575615628914e-17
504,2.7755575615628914e-17
505,2.7755575615628914e-17
506,2.7755575615628914e-17
507,1.1102230246251565e-16
508,2.7755575615628914e-17
509,2.7755575615628914e-17
510,0.0
511,5.551115123125783e-17
512,2.7755575615628914e-17
513,2.7755575615628914e-17
514,2.7755575615628914e-17
515,2.7755575615628914e-17
516,2.7755575615628914e-17
517,5.551115123125783e-17
518,5.551115123125783e-17
519,0.0
520,2.7755575615628914e-17
521,2.7755575615628914e-17
522,2.7755575615628914e-17
523,2.7755575615628914e-17
524,1.3877787807814457e-17
525,2.7755575615628914e-17
526,2.7755575615628914e-17
527,2.7755575615628914e-17
528,2.7755575615628914e-17
529,2.7755575615628914e-17
530,5.551115123125783e-17
531,5.551115123125783e-17
532,5.551115123125783e-17
533,1.3877787807814457e-17
534,5.551115123125783e-17
535,5.551115123125783e-17
536,2.7755575615628914e-17
537,2.7755575615628914e-17
538,2.7755575615628914e-17
539,0.0
540,2.7755575615628914e-17
541,2.7755575615628914e-17
