sample_index,macro_count,first_total_leaves,second_total_leaves,counting_measure_tv
599,8,98,73,0.28026279004752586
600,9,97,124,0.3555869637512471
601,3,31,42,0.036866359447004615
602,8,90,115,0.25217391304347825
603,10,136,105,0.36988795518207285
604,17,185,233,0.3830414105092217
605,14,169,198,0.30153607076684
606,11,99,109,0.3279584839217867
607,16,263,227,0.32823570794459056
608,7,106,82,0.3297284859641049
609,13,142,130,0.31180931744312024
610,11,165,128,0.21704545454545454
611,14,184,169,0.36091458708515567
612,12,165,127,0.33777141493676927
613,17,215,248,0.2966241560390097
614,11,141,135,0.33081166272655627
615,3,37,55,0.12285012285012285
616,12,180,139,0.32697841726618704
617,9,119,111,0.38223938223938225
618,15,166,159,0.2743047662347503
619,5,74,73,0.23546834505738612
620,12,139,109,0.32077090621081117
621,7,84,62,0.5072964669738864
622,14,202,215,0.29005295878425047
623,7,64,94,0.2117686170212766
624,6,89,94,0.2438441310064547
625,14,196,170,0.36488595438175275
626,15,135,202,0.3126145947928126
627,5,75,69,0.2498550724637681
628,9,95,107,0.2249877029021151
629,17,154,210,0.4398268398268398
630,17,216,180,0.30000000000000004
631,15,214,193,0.2779042177134279
632,17,205,244,0.31035585765693724
633,15,196,189,0.23866213151927435
634,3,34,48,0.41299019607843135
635,13,161,155,0.30611099979963935
636,6,66,68,0.36764705882352944
637,8,83,90,0.45448460508701477
638,8,102,100,0.34882352941176475
639,7,82,87,0.2569386038687973
640,13,180,176,0.32108585858585853
641,7,78,114,0.21592442645074225
642,6,76,59,0.3416592328278323
643,11,114,107,0.41793736678143956
644,3,26,39,0.15384615384615385
645,6,31,101,0.38518045352922387
646,11,154,147,0.23222016079158933
647,3,32,54,0.041666666666666685
648,7,83,110,0.2596933187294633
649,6,77,58,0.4337214509628302
650,12,135,111,0.3865865865865866
651,14,213,207,0.21725522215418114
652,5,63,62,0.40860215053763443
653,11,115,103,0.32587589700295483
654,17,178,220,0.28672114402451476
655,10,150,89,0.2710861423220974
656,14,181,183,0.31386045949944147
657,4,30,32,0.5354166666666667
658,15,245,196,0.33265306122448984
659,13,131,176,0.4253122831367106
660,4,61,35,0.5536299765807963
661,16,212,190,0.39101290963257207
662,13,179,179,0.2625698324022346
663,6,69,89,0.18498615860609022
664,9,77,100,0.23246753246753246
665,6,74,67,0.20028237192416298
666,14,168,144,0.32738095238095233
667,15,215,206,0.19932264619552947
668,3,25,46,0.6513043478260869
669,17,209,204,0.33347405948025144
670,4,44,63,0.4462481962481962
671,8,123,105,0.3087108013937282
672,17,212,260,0.33156748911465894
673,8,118,109,0.2854143990048204
674,9,96,161,0.3240812629399586
675,15,165,206,0.40191232715504555
676,11,121,125,0.31133884297520653
677,4,52,49,0.18681318681318682
678,7,98,93,0.18959842001316657
679,17,230,196,0.39121561668145516
680,15,105,201,0.36346837242359636
681,14,193,180,0.3663212435233161
682,7,98,127,0.2065723927366222
683,4,66,59,0.2288135593220339
684,9,101,93,0.4729053550516342
685,17,184,193,0.4383588646091462
686,13,124,124,0.4435483870967742
687,6,93,65,0.5141439205955335
688,3,40,52,0.3038461538461539
689,15,218,184,0.2974670921420024
690,3,27,16,0.6041666666666667
691,12,154,147,0.305813234384663
692,8,121,112,0.3209120425029516
693,14,229,184,0.24005600911334724
694,9,96,77,0.3804112554112554
695,16,181,221,0.28036799080023
696,10,118,153,0.2853107344632768
697,17,247,226,0.26271004263552006
698,12,149,149,0.2080536912751678
699,14,191,192,0.32627072425828973
700,10,122,93,0.49444738233738766
701,9,108,106,0.189727463312369
702,16,173,226,0.23668729858304777
703,13,159,166,0.3652724103963022
704,14,172,219,0.36067749814165867
705,7,72,95,0.4223684210526316
706,15,225,215,0.26666666666666666
707,12,173,179,0.26460425614363675
