sample_index,macro_count,clone_count,conservative_tv,ontic_branching_tv
638,4,8,0.0,0.47727272727272724
639,11,7,0.0,0.32085561497326204
640,4,4,0.0,0.3214285714285714
641,19,6,0.0,0.19736842105263155
642,15,5,0.0,0.1964912280701754
643,3,3,0.0,0.2666666666666666
644,6,7,0.0,0.41666666666666674
645,6,6,0.0,0.3787878787878787
646,5,6,0.0,0.39999999999999997
647,17,8,0.0,0.2745098039215686
648,13,4,0.0,0.1730769230769231
649,7,7,0.0,0.39560439560439553
650,14,3,0.0,0.11607142857142855
651,17,4,0.0,0.14117647058823524
652,17,4,0.0,0.14117647058823524
653,9,6,0.0,0.3174603174603174
654,10,8,0.0,0.37058823529411766
655,9,6,0.0,0.3174603174603174
656,8,4,0.0,0.23863636363636362
657,14,7,0.0,0.2785714285714286
658,17,6,0.0,0.213903743315508
659,11,5,0.0,0.24242424242424243
660,17,6,0.0,0.213903743315508
661,15,3,0.0,0.10980392156862746
662,7,3,0.0,0.19047619047619047
663,3,8,0.0,0.4666666666666667
664,18,7,0.0,0.23611111111111113
665,8,2,0.0,0.09722222222222224
666,16,4,0.0,0.1480263157894737
667,19,5,0.0,0.16475972540045764
668,3,3,0.0,0.2666666666666666
669,19,7,0.0,0.22736842105263158
670,15,5,0.0,0.1964912280701754
671,16,6,0.0,0.22321428571428573
672,14,7,0.0,0.2785714285714286
673,11,4,0.0,0.19480519480519481
674,4,6,0.0,0.41666666666666663
675,10,4,0.0,0.20769230769230773
676,19,2,0.0,0.04736842105263153
677,3,5,0.0,0.38095238095238093
678,9,8,0.0,0.38888888888888884
679,8,8,0.0,0.4083333333333333
680,6,8,0.0,0.4487179487179488
681,10,4,0.0,0.20769230769230773
682,19,6,0.0,0.19736842105263155
683,9,2,0.0,0.08888888888888885
684,10,7,0.0,0.3375
685,11,3,0.0,0.13986013986013984
686,19,2,0.0,0.04736842105263153
687,5,8,0.0,0.4666666666666667
688,19,2,0.0,0.04736842105263153
689,3,6,0.0,0.41666666666666663
690,19,4,0.0,0.12918660287081335
691,10,8,0.0,0.37058823529411766
692,11,2,0.0,0.07575757575757577
693,3,3,0.0,0.2666666666666666
694,12,8,0.0,0.337719298245614
695,9,3,0.0,0.1616161616161616
696,17,7,0.0,0.24552429667519182
697,10,5,0.0,0.2571428571428572
698,15,8,0.0,0.29696969696969705
699,15,4,0.0,0.1555555555555556
700,9,2,0.0,0.08888888888888885
701,18,6,0.0,0.20531400966183572
702,14,5,0.0,0.20634920634920634
703,4,4,0.0,0.3214285714285714
704,5,2,0.0,0.13333333333333336
705,4,3,0.0,0.25
706,18,6,0.0,0.20531400966183572
707,5,3,0.0,0.2285714285714286
708,10,7,0.0,0.3375
709,12,5,0.0,0.2291666666666666
710,11,6,0.0,0.2840909090909091
711,13,6,0.0,0.2564102564102565
712,3,3,0.0,0.2666666666666666
713,18,3,0.0,0.09444444444444439
714,9,7,0.0,0.3555555555555555
715,18,3,0.0,0.09444444444444439
716,9,4,0.0,0.22222222222222224
717,5,5,0.0,0.35555555555555557
718,9,4,0.0,0.2222222222222222
719,14,5,0.0,0.20634920634920634
720,9,8,0.0,0.38888888888888884
721,3,6,0.0,0.41666666666666663
722,8,8,0.0,0.4083333333333333
723,6,7,0.0,0.4166666666666668
724,11,7,0.0,0.32085561497326204
725,13,6,0.0,0.2564102564102565
726,4,8,0.0,0.47727272727272724
727,5,5,0.0,0.35555555555555557
728,15,3,0.0,0.10980392156862745
729,18,6,0.0,0.20531400966183572
730,17,5,0.0,0.1792717086834734
731,12,2,0.0,0.07051282051282047
732,16,2,0.0,0.05514705882352942
733,14,8,0.0,0.3095238095238096
734,11,7,0.0,0.32085561497326204
735,7,3,0.0,0.19047619047619047
