sample_index,leaf_count,maximum_additive_state_error,maximum_derived_observable_error
546,62,2.842170943040401e-14,2.842170943040401e-14
547,13,7.105427357601002e-15,7.105427357601002e-15
548,33,1.4210854715202004e-14,1.4210854715202004e-14
549,46,2.842170943040401e-14,2.842170943040401e-14
550,22,1.4210854715202004e-14,1.4210854715202004e-14
551,78,2.842170943040401e-14,2.842170943040401e-14
552,25,1.4210854715202004e-14,1.4210854715202004e-14
553,9,3.552713678800501e-15,3.552713678800501e-15
554,14,7.105427357601002e-15,3.552713678800501e-15
555,44,1.4210854715202004e-14,1.4210854715202004e-14
556,8,1.7763568394002505e-15,1.7763568394002505e-15
557,21,7.105427357601002e-15,7.105427357601002e-15
558,69,5.684341886080802e-14,5.684341886080802e-14
559,33,1.4210854715202004e-14,1.4210854715202004e-14
560,10,7.105427357601002e-15,7.105427357601002e-15
561,63,2.842170943040401e-14,2.842170943040401e-14
562,27,1.4210854715202004e-14,1.4210854715202004e-14
563,27,1.4210854715202004e-14,1.4210854715202004e-14
564,36,7.105427357601002e-15,7.105427357601002e-15
565,16,7.105427357601002e-15,7.105427357601002e-15
566,21,3.552713678800501e-15,3.552713678800501e-15
567,45,4.263256414560601e-14,4.263256414560601e-14
568,44,2.842170943040401e-14,2.842170943040401e-14
569,41,2.842170943040401e-14,2.842170943040401e-14
570,67,2.842170943040401e-14,2.842170943040401e-14
571,23,7.105427357601002e-15,7.105427357601002e-15
572,52,4.263256414560601e-14,4.263256414560601e-14
573,59,5.684341886080802e-14,5.684341886080802e-14
574,28,8.526512829121202e-14,8.526512829121202e-14
575,19,3.552713678800501e-15,3.552713678800501e-15
576,72,1.4210854715202004e-14,1.4210854715202004e-14
577,45,5.684341886080802e-14,5.684341886080802e-14
578,70,2.842170943040401e-14,2.842170943040401e-14
579,78,5.684341886080802e-14,5.684341886080802e-14
580,53,2.1316282072803006e-14,2.1316282072803006e-14
581,73,2.842170943040401e-14,2.842170943040401e-14
582,56,8.526512829121202e-14,8.526512829121202e-14
583,26,1.4210854715202004e-14,1.4210854715202004e-14
584,28,1.4210854715202004e-14,1.4210854715202004e-14
585,66,2.842170943040401e-14,2.842170943040401e-14
586,77,5.684341886080802e-14,5.684341886080802e-14
587,18,7.105427357601002e-15,7.105427357601002e-15
588,75,5.684341886080802e-14,5.684341886080802e-14
589,60,5.684341886080802e-14,5.684341886080802e-14
590,52,1.4210854715202004e-14,1.4210854715202004e-14
591,79,5.684341886080802e-14,5.684341886080802e-14
592,73,1.1368683772161603e-13,1.1368683772161603e-13
593,78,5.684341886080802e-14,5.684341886080802e-14
594,70,5.684341886080802e-14,5.684341886080802e-14
595,29,1.4210854715202004e-14,1.4210854715202004e-14
596,38,7.105427357601002e-15,7.105427357601002e-15
597,18,7.105427357601002e-15,7.105427357601002e-15
598,53,4.263256414560601e-14,2.842170943040401e-14
599,44,2.842170943040401e-14,2.842170943040401e-14
600,41,2.842170943040401e-14,2.842170943040401e-14
601,52,4.263256414560601e-14,2.842170943040401e-14
602,24,7.105427357601002e-15,7.105427357601002e-15
603,31,2.842170943040401e-14,2.842170943040401e-14
604,18,7.105427357601002e-15,7.105427357601002e-15
605,80,7.105427357601002e-14,2.842170943040401e-14
606,62,5.684341886080802e-14,5.684341886080802e-14
607,31,1.4210854715202004e-14,4.440892098500626e-16
608,51,2.842170943040401e-14,2.842170943040401e-14
609,65,5.684341886080802e-14,5.684341886080802e-14
