sample_index,final_microstate_count,maximum_macro_mass_error,maximum_macro_q_error,maximum_macro_probability_tv,maximum_total_mass_error
226,256,5.551115123125783e-17,4.440892098500626e-16,1.7542391150815462e-16,4.440892098500626e-16
227,270,1.6653345369377348e-16,4.440892098500626e-16,1.2923689896027213e-16,2.220446049250313e-16
228,252,1.1102230246251565e-16,2.220446049250313e-16,1.1796119636642288e-16,2.220446049250313e-16
229,280,5.551115123125783e-17,2.220446049250313e-16,8.716985466783456e-17,2.220446049250313e-16
230,270,1.1102230246251565e-16,5.551115123125783e-16,9.93129189996722e-17,3.3306690738754696e-16
231,267,5.551115123125783e-17,1.6653345369377348e-16,1.1622647289044608e-16,2.220446049250313e-16
232,267,1.1102230246251565e-16,4.440892098500626e-16,9.974659986866641e-17,2.220446049250313e-16
233,245,1.1102230246251565e-16,2.220446049250313e-16,1.0408340855860843e-16,2.220446049250313e-16
234,252,5.551115123125783e-17,2.220446049250313e-16,9.020562075079397e-17,2.220446049250313e-16
235,248,1.1102230246251565e-16,4.440892098500626e-16,2.498001805406602e-16,4.440892098500626e-16
236,253,8.326672684688674e-17,1.3322676295501878e-15,8.500145032286355e-17,4.440892098500626e-16
237,270,5.551115123125783e-17,4.440892098500626e-16,1.0061396160665481e-16,4.440892098500626e-16
238,267,5.551115123125783e-17,3.3306690738754696e-16,7.45931094670027e-17,3.3306690738754696e-16
239,241,5.551115123125783e-17,6.661338147750939e-16,6.461844948013606e-17,3.3306690738754696e-16
240,258,1.6653345369377348e-16,1.4432899320127035e-15,9.71445146547012e-17,2.220446049250313e-16
241,256,2.220446049250313e-16,4.440892098500626e-16,1.5482407023093003e-16,2.220446049250313e-16
242,256,1.1102230246251565e-16,4.440892098500626e-16,3.0357660829594124e-18,2.220446049250313e-16
243,247,8.326672684688674e-17,4.440892098500626e-16,1.0885389811754465e-16,4.440892098500626e-16
244,265,2.7755575615628914e-17,1.1102230246251565e-16,7.806255641895632e-17,4.440892098500626e-16
245,255,1.1102230246251565e-16,3.885780586188048e-16,1.491862189340054e-16,2.220446049250313e-16
246,254,1.1102230246251565e-16,1.1102230246251565e-16,5.898059818321144e-17,2.220446049250313e-16
247,246,1.1102230246251565e-16,1.1102230246251565e-16,9.020562075079397e-17,4.440892098500626e-16
248,254,1.1102230246251565e-16,1.1102230246251565e-15,8.066464163292153e-17,2.220446049250313e-16
249,260,1.3877787807814457e-16,4.440892098500626e-16,5.898059818321144e-17,2.220446049250313e-16
250,245,1.1102230246251565e-16,1.1102230246251565e-15,9.367506770274758e-17,3.3306690738754696e-16
251,265,5.551115123125783e-17,4.440892098500626e-16,7.719519468096792e-17,4.440892098500626e-16
