sample_index,maximum_level_total_error,maximum_parent_child_error,final_leaf_count
396,0.0,2.7755575615628914e-17,937
397,2.220446049250313e-16,1.1102230246251565e-16,971
398,0.0,1.1102230246251565e-16,884
399,2.220446049250313e-16,2.220446049250313e-16,1693
400,2.220446049250313e-16,1.1102230246251565e-16,1834
401,2.220446049250313e-16,5.551115123125783e-17,1242
402,1.1102230246251565e-16,5.551115123125783e-17,1092
403,1.1102230246251565e-16,1.1102230246251565e-16,1038
404,1.1102230246251565e-16,1.1102230246251565e-16,1673
405,0.0,5.551115123125783e-17,2105
406,2.220446049250313e-16,1.1102230246251565e-16,2173
407,1.1102230246251565e-16,1.1102230246251565e-16,2069
408,0.0,1.1102230246251565e-16,1311
409,1.1102230246251565e-16,1.1102230246251565e-16,1897
410,2.220446049250313e-16,1.1102230246251565e-16,1621
411,0.0,1.1102230246251565e-16,2065
412,2.220446049250313e-16,1.1102230246251565e-16,930
413,2.220446049250313e-16,1.1102230246251565e-16,1201
414,1.1102230246251565e-16,1.1102230246251565e-16,1418
415,2.220446049250313e-16,5.551115123125783e-17,2120
416,2.220446049250313e-16,1.1102230246251565e-16,1354
417,1.1102230246251565e-16,5.551115123125783e-17,1533
418,2.220446049250313e-16,1.1102230246251565e-16,1731
419,1.1102230246251565e-16,5.551115123125783e-17,1470
420,2.220446049250313e-16,1.1102230246251565e-16,1067
421,1.1102230246251565e-16,2.7755575615628914e-17,1591
422,2.220446049250313e-16,2.220446049250313e-16,712
423,0.0,5.551115123125783e-17,1979
424,2.220446049250313e-16,1.1102230246251565e-16,1360
425,2.220446049250313e-16,1.1102230246251565e-16,1891
426,0.0,5.551115123125783e-17,1266
427,2.220446049250313e-16,5.551115123125783e-17,2217
428,1.1102230246251565e-16,1.1102230246251565e-16,1450
429,1.1102230246251565e-16,1.1102230246251565e-16,1456
430,0.0,2.7755575615628914e-17,2138
431,2.220446049250313e-16,5.551115123125783e-17,1934
432,1.1102230246251565e-16,1.1102230246251565e-16,1303
433,0.0,2.7755575615628914e-17,1593
434,1.1102230246251565e-16,5.551115123125783e-17,1814
435,1.1102230246251565e-16,1.1102230246251565e-16,1227
436,2.220446049250313e-16,1.1102230246251565e-16,1761
437,2.220446049250313e-16,1.1102230246251565e-16,1321
438,1.1102230246251565e-16,1.1102230246251565e-16,1451
439,0.0,1.1102230246251565e-16,1296
440,1.1102230246251565e-16,5.551115123125783e-17,1638
441,2.220446049250313e-16,5.551115123125783e-17,1553
442,0.0,1.1102230246251565e-16,1090
443,1.1102230246251565e-16,1.1102230246251565e-16,1209
444,1.1102230246251565e-16,5.551115123125783e-17,2258
445,3.3306690738754696e-16,2.220446049250313e-16,2005
446,0.0,2.7755575615628914e-17,1828
447,1.1102230246251565e-16,1.1102230246251565e-16,1709
448,2.220446049250313e-16,1.1102230246251565e-16,1225
449,2.220446049250313e-16,1.1102230246251565e-16,1219
450,1.1102230246251565e-16,1.1102230246251565e-16,1838
451,3.3306690738754696e-16,2.220446049250313e-16,1510
452,2.220446049250313e-16,2.7755575615628914e-17,1161
453,0.0,1.1102230246251565e-16,1235
454,2.220446049250313e-16,1.1102230246251565e-16,1372
455,2.220446049250313e-16,5.551115123125783e-17,1600
456,3.3306690738754696e-16,1.1102230246251565e-16,1418
457,2.220446049250313e-16,2.220446049250313e-16,1150
458,1.1102230246251565e-16,1.3877787807814457e-17,1767
459,2.220446049250313e-16,1.1102230246251565e-16,2187
460,0.0,2.7755575615628914e-17,1835
461,1.1102230246251565e-16,1.1102230246251565e-16,2079
462,2.220446049250313e-16,5.551115123125783e-17,1946
463,1.1102230246251565e-16,1.1102230246251565e-16,1743
464,1.1102230246251565e-16,1.1102230246251565e-16,1588
465,1.1102230246251565e-16,1.1102230246251565e-16,863
466,0.0,2.220446049250313e-16,2013
467,0.0,5.551115123125783e-17,1514
468,0.0,1.1102230246251565e-16,1194
469,2.220446049250313e-16,1.1102230246251565e-16,1362
470,2.220446049250313e-16,5.551115123125783e-17,1558
471,1.1102230246251565e-16,1.1102230246251565e-16,1027
472,2.220446049250313e-16,2.220446049250313e-16,1890
473,1.1102230246251565e-16,1.1102230246251565e-16,1795
474,0.0,5.551115123125783e-17,1145
475,2.220446049250313e-16,5.551115123125783e-17,1262
476,2.220446049250313e-16,5.551115123125783e-17,2425
477,2.220446049250313e-16,5.551115123125783e-17,1933
478,0.0,2.7755575615628914e-17,1361
