sample_index,maximum_level_total_error,maximum_parent_child_error,final_leaf_count
343,2.220446049250313e-16,2.220446049250313e-16,1098
344,4.440892098500626e-16,2.220446049250313e-16,1331
345,3.3306690738754696e-16,1.1102230246251565e-16,1065
346,1.1102230246251565e-16,1.1102230246251565e-16,1008
347,0.0,1.1102230246251565e-16,1270
348,2.220446049250313e-16,5.551115123125783e-17,1435
349,1.1102230246251565e-16,1.1102230246251565e-16,1305
350,0.0,5.551115123125783e-17,1258
351,1.1102230246251565e-16,1.1102230246251565e-16,871
352,0.0,1.1102230246251565e-16,1097
353,1.1102230246251565e-16,1.1102230246251565e-16,1428
354,1.1102230246251565e-16,5.551115123125783e-17,1012
355,0.0,5.551115123125783e-17,739
356,2.220446049250313e-16,5.551115123125783e-17,1814
357,2.220446049250313e-16,2.220446049250313e-16,2470
358,2.220446049250313e-16,5.551115123125783e-17,1147
359,1.1102230246251565e-16,1.1102230246251565e-16,962
360,0.0,2.7755575615628914e-17,1493
361,2.220446049250313e-16,5.551115123125783e-17,1734
362,0.0,5.551115123125783e-17,2015
363,0.0,5.551115123125783e-17,1010
364,2.220446049250313e-16,1.1102230246251565e-16,1274
365,1.1102230246251565e-16,1.1102230246251565e-16,846
366,0.0,5.551115123125783e-17,1833
367,0.0,1.1102230246251565e-16,1579
368,0.0,5.551115123125783e-17,1416
369,0.0,2.7755575615628914e-17,1220
370,2.220446049250313e-16,1.1102230246251565e-16,780
371,2.220446049250313e-16,1.1102230246251565e-16,1246
372,0.0,1.1102230246251565e-16,2005
373,1.1102230246251565e-16,5.551115123125783e-17,2256
374,3.3306690738754696e-16,1.1102230246251565e-16,2093
375,2.220446049250313e-16,1.1102230246251565e-16,1342
376,2.220446049250313e-16,1.1102230246251565e-16,1941
377,2.220446049250313e-16,2.220446049250313e-16,1703
378,3.3306690738754696e-16,2.220446049250313e-16,1717
379,1.1102230246251565e-16,5.551115123125783e-17,1623
380,2.220446049250313e-16,1.1102230246251565e-16,1238
381,2.220446049250313e-16,2.220446049250313e-16,822
382,2.220446049250313e-16,1.1102230246251565e-16,2056
383,1.1102230246251565e-16,5.551115123125783e-17,873
384,2.220446049250313e-16,5.551115123125783e-17,1292
385,0.0,2.7755575615628914e-17,1731
386,2.220446049250313e-16,1.1102230246251565e-16,1717
387,1.1102230246251565e-16,1.1102230246251565e-16,1041
388,1.1102230246251565e-16,5.551115123125783e-17,2360
389,2.220446049250313e-16,5.551115123125783e-17,1821
390,2.220446049250313e-16,2.220446049250313e-16,2334
391,0.0,2.7755575615628914e-17,1595
392,0.0,1.1102230246251565e-16,1623
393,1.1102230246251565e-16,1.1102230246251565e-16,1086
394,0.0,1.1102230246251565e-16,1175
395,0.0,5.551115123125783e-17,1676
