n,sample_index,order_derived_q_identical,silent_kernel_identical_for_distinct_q,global_gauge_probability_error,row_gauge_probability_error,relabel_equivariance_error,outside_locality_row_error,local_contrast_total_variation,beta_q_scale_degeneracy_error
16,59,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3459118046354899,1.1102230246251565e-16
16,60,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3427200522872269,1.1102230246251565e-16
16,61,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.34470974122574094,1.1102230246251565e-16
16,62,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.23907241402394125,1.1102230246251565e-16
16,63,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.2730203109095681,1.1102230246251565e-16
16,64,True,True,1.1102230246251565e-16,2.220446049250313e-16,0.0,0.0,0.21575129595502493,1.1102230246251565e-16
16,65,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.4389277049918532,5.551115123125783e-17
16,66,True,True,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.33674687139072734,1.1102230246251565e-16
16,67,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.35799263192124253,1.1102230246251565e-16
16,68,True,True,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.3339373946283111,1.1102230246251565e-16
16,69,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.28712004383833256,1.1102230246251565e-16
16,70,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.07706093579712324,1.1102230246251565e-16
16,71,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.5922631680753081,2.220446049250313e-16
16,72,True,True,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.36172263274886335,5.551115123125783e-17
16,73,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.38963365005695527,1.1102230246251565e-16
16,74,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.23489457700735328,1.1102230246251565e-16
16,75,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.4408159523922225,1.1102230246251565e-16
16,76,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3819480401648041,1.1102230246251565e-16
16,77,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3383974143731252,1.1102230246251565e-16
16,78,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3706093365037351,1.1102230246251565e-16
16,79,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.1295936497380617,1.1102230246251565e-16
32,0,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.27670530629292495,1.1102230246251565e-16
32,1,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.18270242852513957,1.1102230246251565e-16
