n,sample_index,contrast_rmse,comparisons
64,43,0.019348178522285743,516
64,44,0.02008913329748063,523
64,45,0.019538548739177014,523
64,46,0.018845620188487785,535
64,47,0.02010350833642694,554
64,48,0.02033969470228613,521
64,49,0.019498604414468098,494
64,50,0.019066944697322914,511
64,51,0.02089674216476834,541
64,52,0.019610425709448907,510
64,53,0.019670729128338137,522
64,54,0.02033723363222819,530
64,55,0.019437472434473715,526
64,56,0.01988669499453867,496
64,57,0.01972965520061789,552
64,58,0.022093621931254484,552
64,59,0.01984787094228039,508
64,60,0.019648539914165063,536
64,61,0.022235511305922117,561
64,62,0.019951572451356377,524
64,63,0.019771268539640313,517
64,64,0.019956944423167797,529
64,65,0.01939552924300172,524
64,66,0.02033306204548144,543
64,67,0.019144063401749636,531
64,68,0.01907500729283303,549
64,69,0.019465007587906525,513
64,70,0.020031408615368913,513
64,71,0.01785593873200925,521
64,72,0.019546999235628765,537
64,73,0.019528803853029505,549
64,74,0.020363095201529065,564
64,75,0.020348531671780752,514
64,76,0.022114659468597548,527
64,77,0.019626979873375756,536
64,78,0.019750279414457065,549
64,79,0.01961330714728917,519
