sample_index,score,maximum_probability_error
106,row_zscore,0.0
106,row_mad,0.0
106,row_rank,2.7755575615628914e-17
106,global_zscore,0.0
107,raw,0.0
107,min_shift,0.0
107,row_zscore,5.551115123125783e-17
107,row_mad,0.0
107,row_rank,2.7755575615628914e-17
107,global_zscore,5.551115123125783e-17
108,raw,0.0
108,min_shift,0.0
108,row_zscore,1.1102230246251565e-16
108,row_mad,2.220446049250313e-16
108,row_rank,0.0
108,global_zscore,0.0
109,raw,2.7755575615628914e-17
109,min_shift,2.7755575615628914e-17
109,row_zscore,5.551115123125783e-17
109,row_mad,0.0
109,row_rank,0.0
109,global_zscore,0.0
110,raw,0.0
110,min_shift,0.0
110,row_zscore,1.1102230246251565e-16
110,row_mad,0.0
