sample_index,score,absolute_log_odds_change,violated_extension_stability
61,row_rank,0.37500000000000006,True
61,global_zscore,0.006783304736999229,True
62,raw,4.440892098500626e-16,False
62,min_shift,4.440892098500626e-16,False
62,row_zscore,0.5312137987910077,True
62,row_mad,3.2526912469964557,True
62,row_rank,0.1442307692307694,True
62,global_zscore,0.1440481102390132,True
63,raw,1.1102230246251565e-16,False
63,min_shift,1.1102230246251565e-16,False
63,row_zscore,0.1512366662386293,True
63,row_mad,0.1856349625485615,True
63,row_rank,0.08333333333333337,True
63,global_zscore,0.0359375187643734,True
64,raw,0.0,False
64,min_shift,0.0,False
64,row_zscore,0.03339671510866471,True
64,row_mad,2.0873344317891207,True
64,row_rank,0.0833333333333332,True
64,global_zscore,0.009517500826146108,True
65,raw,0.0,False
65,min_shift,0.0,False
65,row_zscore,0.6676021383336794,True
65,row_mad,1.3990004603745483,True
65,row_rank,0.1944444444444442,True
65,global_zscore,0.27034718393919643,True
66,raw,0.0,False
66,min_shift,0.0,False
66,row_zscore,0.028768999521834593,True
66,row_mad,0.15496075590642247,True
66,row_rank,0.08888888888888886,True
66,global_zscore,0.013842393611204318,True
67,raw,0.0,False
67,min_shift,0.0,False
67,row_zscore,0.007801318319645936,True
67,row_mad,0.0,False
67,row_rank,0.02500000000000012,True
67,global_zscore,0.003923816173138181,True
68,raw,4.440892098500626e-16,False
68,min_shift,4.440892098500626e-16,False
68,row_zscore,0.8557753958745962,True
68,row_mad,0.38204263001059413,True
68,row_rank,0.24444444444444435,True
68,global_zscore,0.07423388918319529,True
69,raw,1.1102230246251565e-16,False
69,min_shift,1.1102230246251565e-16,False
69,row_zscore,0.8955990002678995,True
69,row_mad,8.881784197001252e-16,False
69,row_rank,0.11428571428571449,True
69,global_zscore,0.07643349714031744,True
70,raw,0.0,False
70,min_shift,0.0,False
70,row_zscore,0.0567678427294942,True
70,row_mad,0.5664637053059365,True
70,row_rank,2.220446049250313e-16,False
70,global_zscore,0.009649624990771821,True
71,raw,0.0,False
71,min_shift,0.0,False
71,row_zscore,0.015099410788289355,True
71,row_mad,0.021219165775248263,True
71,row_rank,0.13333333333333358,True
71,global_zscore,2.98863738086904e-05,True
72,raw,1.6653345369377348e-16,False
72,min_shift,1.6653345369377348e-16,False
72,row_zscore,0.1198681361715839,True
72,row_mad,0.028321450470367104,True
72,row_rank,0.04807692307692288,True
72,global_zscore,0.039867509514571686,True
73,raw,0.0,False
73,min_shift,0.0,False
73,row_zscore,0.07105091888566317,True
73,row_mad,1.2906939203863583,True
73,row_rank,0.0,False
73,global_zscore,0.035854122486561835,True
74,raw,4.440892098500626e-16,False
74,min_shift,4.440892098500626e-16,False
74,row_zscore,1.0754670723247584,True
