sample_index,score,scale,offset,probability_total_variation,maximum_probability_error
42,row_zscore,2.6447092066596563,1.8623234309653496,7.632783294297951e-17,1.1102230246251565e-16
42,row_mad,2.6447092066596563,1.8623234309653496,1.1188966420050406e-16,1.1102230246251565e-16
42,row_rank,2.6447092066596563,1.8623234309653496,0.0,0.0
42,global_zscore,2.6447092066596563,1.8623234309653496,1.0928757898653885e-16,1.1102230246251565e-16
43,raw,3.258778982181848,0.9641484347409008,0.36959725083739703,0.36959725083739714
43,min_shift,3.258778982181848,0.9641484347409008,0.36959725083739703,0.36959725083739714
43,row_zscore,3.258778982181848,0.9641484347409008,4.163336342344337e-17,5.551115123125783e-17
43,row_mad,3.258778982181848,0.9641484347409008,6.505213034913027e-17,1.1102230246251565e-16
43,row_rank,3.258778982181848,0.9641484347409008,0.0,0.0
43,global_zscore,3.258778982181848,0.9641484347409008,0.0,0.0
44,raw,1.0392624619409765,-0.06985021924263624,0.008859925479861391,0.008859925479861419
44,min_shift,1.0392624619409765,-0.06985021924263624,0.008859925479861391,0.008859925479861419
44,row_zscore,1.0392624619409765,-0.06985021924263624,6.591949208711867e-17,5.551115123125783e-17
44,row_mad,1.0392624619409765,-0.06985021924263624,1.601773184575772e-16,2.220446049250313e-16
44,row_rank,1.0392624619409765,-0.06985021924263624,0.0,0.0
44,global_zscore,1.0392624619409765,-0.06985021924263624,1.9081958235744878e-17,2.7755575615628914e-17
45,raw,2.7296180104326573,1.7883960867744957,0.46657754444409405,0.4665775444440941
45,min_shift,2.7296180104326573,1.7883960867744957,0.46657754444409405,0.4665775444440941
45,row_zscore,2.7296180104326573,1.7883960867744957,1.1796119636642288e-16,1.6653345369377348e-16
45,row_mad,2.7296180104326573,1.7883960867744957,1.2576745200831851e-17,1.3877787807814457e-17
45,row_rank,2.7296180104326573,1.7883960867744957,0.0,0.0
45,global_zscore,2.7296180104326573,1.7883960867744957,1.0018028073766061e-16,1.1102230246251565e-16
46,raw,3.960951400437063,-0.17011603468702585,0.38496336116789287,0.38496336116789287
46,min_shift,3.960951400437063,-0.17011603468702585,0.38496336116789287,0.38496336116789287
46,row_zscore,3.960951400437063,-0.17011603468702585,0.0,0.0
46,row_mad,3.960951400437063,-0.17011603468702585,3.2959746043559335e-17,5.551115123125783e-17
46,row_rank,3.960951400437063,-0.17011603468702585,0.0,0.0
46,global_zscore,3.960951400437063,-0.17011603468702585,4.163336342344337e-17,5.551115123125783e-17
47,raw,3.9541263631077572,-1.0968149101797373,0.4543121495771523,0.4543121495771524
47,min_shift,3.9541263631077572,-1.0968149101797373,0.4543121495771523,0.4543121495771524
47,row_zscore,3.9541263631077572,-1.0968149101797373,4.163336342344337e-17,4.163336342344337e-17
47,row_mad,3.9541263631077572,-1.0968149101797373,7.112366251504909e-17,5.551115123125783e-17
47,row_rank,3.9541263631077572,-1.0968149101797373,0.0,0.0
47,global_zscore,3.9541263631077572,-1.0968149101797373,9.367506770274758e-17,1.1102230246251565e-16
